Number of HBD,Number of HBA,MW (Da),N. Carbon atoms,N. heavy atoms,N. Hydrogen atoms,N. Nitrogen atoms,N. Oxygen atoms,N. Fluorine atoms,N. Sulphur atoms,N. Chlorine atoms,Pentamers,Hexamers,Heptamers,Aromatic cycles,clogP,Dataset
2,6,497.9550000000004,25,34,19,2,4,1,1,1,2,3,0,3,5.412390000000003,AIEMG
2,3,519.0920000000002,33,38,31,4,0,0,0,1,1,4,0,5,5.520390000000004,AIEMG
2,3,415.5620000000002,25,30,25,3,1,0,1,0,1,4,0,4,6.204420000000005,AIEMG
2,2,474.02800000000025,28,34,30,4,1,0,0,1,0,5,0,3,3.962590000000003,AIEMG
2,4,426.52000000000015,26,32,26,4,2,0,0,0,0,3,0,3,3.3295900000000023,AIEMG
1,6,436.5330000000002,24,31,24,2,4,0,1,0,1,3,0,2,3.7209900000000022,AIEMG
2,5,335.386,19,25,18,5,0,1,0,0,0,3,0,3,4.385700000000003,AIEMG
1,6,546.0470000000003,29,38,23,4,2,1,1,1,2,3,0,4,6.053890000000004,AIEMG
0,7,433.5120000000002,24,32,27,5,3,0,0,0,1,4,0,3,2.3132,AIEMG
2,5,404.4430000000001,19,28,19,3,4,1,1,0,0,3,0,2,-0.48309999999999964,AIEMG
3,3,324.4320000000001,18,24,24,6,0,0,0,0,1,3,0,2,0.42349999999999977,AIEMG
0,5,375.32700000000017,19,27,15,1,5,2,0,0,1,3,0,2,3.0459000000000014,AIEMG
1,4,414.8890000000003,22,29,23,2,4,0,0,1,0,3,0,2,4.5203900000000035,AIEMG
1,4,439.6480000000004,26,32,41,5,1,0,0,0,2,3,0,1,2.8680900000000014,AIEMG
2,1,370.4270000000001,24,28,19,2,1,1,0,0,0,3,0,3,4.306190000000003,AIEMG
2,3,349.4150000000001,19,25,15,3,2,0,1,0,1,3,0,4,3.5443000000000016,AIEMG
0,7,434.45500000000015,26,33,18,4,3,0,0,0,0,5,0,4,4.746080000000004,AIEMG
2,4,389.4060000000001,23,29,18,2,3,1,0,0,1,3,0,3,4.572190000000003,AIEMG
1,5,453.2960000000001,21,29,17,4,3,0,0,0,0,4,0,3,4.200000000000003,AIEMG
3,2,384.93100000000015,22,27,27,3,1,0,0,1,0,4,0,2,0.6501000000000012,AIEMG
2,3,307.3730000000001,19,23,19,2,2,0,0,0,1,3,0,2,-0.3360999999999983,AIEMG
1,5,400.4130000000002,23,30,17,4,2,1,0,0,0,4,0,3,3.210890000000001,AIEMG
1,7,395.4190000000001,19,28,14,5,2,1,1,0,1,3,0,3,2.0619899999999998,AIEMG
2,4,425.57200000000034,25,31,34,4,1,1,0,0,2,3,0,3,3.5150000000000023,AIEMG
1,6,363.37300000000005,20,27,17,3,4,0,0,0,1,2,0,2,1.8774,AIEMG
1,3,423.87100000000015,24,30,19,1,3,1,0,1,0,3,0,3,5.523190000000004,AIEMG
1,7,348.41100000000006,18,25,14,5,1,0,1,0,1,3,0,4,2.763600000000001,AIEMG
1,6,390.4430000000002,22,29,22,4,3,0,0,0,1,3,0,3,4.384540000000002,AIEMG
3,3,425.53300000000024,23,31,31,5,3,0,0,0,2,2,0,1,-0.08350999999999531,AIEMG
4,5,375.3640000000002,16,27,18,7,3,1,0,0,1,2,0,2,-0.9248999999999994,AIEMG
3,3,364.298,14,25,15,5,1,5,0,0,2,1,0,2,1.1303999999999994,AIEMG
