smiles,qed,sa,egfr,her2,source
COc1ccccc1CNC(=O)NCc1cc(-c2ccccc2)nc2ccccc12,0.4859,2.9708,-10.4,-10.3,seed42
Cc1cccc(-n2cc(C(=O)N3CCC(C(=O)Nc4ccccc4C)CC3)nc2C)c1,0.69,3.2734,-9.8,-10.8,seed42
C[C@@H](NC(=O)C1=CCN(c2ccccc2)CC1)c1ccc2c(c1)CCC(=O)N2,0.8586,3.9412,-9.4,-10.6,seed42
CNC(=O)Cc1cccc(NC(=O)Nc2ccccc2C(=O)Nc2ccccc2F)c1,0.4848,2.9597,-9.9,-9.9,seed42
CCNC(=O)c1cc(NC(=O)N2CCC[C@H](C(=O)Nc3ccccc3)C2)cc(C)c1C,0.6817,3.5837,-9.5,-10.2,seed42
C[C@@H]1Oc2ccccc2C(=O)N1CCCNC(=O)C(=O)Nc1ccc(F)c(F)c1,0.5924,3.9006,-9.5,-9.8,seed42
Cc1cccc(-c2cc(C(=O)Nc3cccc(C)c3)no2)c1,0.7863,2.8615,-9.3,-9.9,seed42
C[C@H]1CN(c2ccc(C(=O)Nc3ccccc3C(F)(F)F)cc2)C[C@@H](C)O1,0.8507,3.7765,-9.6,-9.6,seed42
Cc1cccc(C)c1NC(=O)c1ccc(NC(=O)CN2CCN(c3ccccc3O)CC2)cc1,0.5196,3.0496,-9.0,-10.2,seed42
Cc1ccc(S(=O)(=O)N2CCC(C(=O)Nc3ccccc3C(=O)NC3CCCCC3)CC2)cc1,0.6467,3.0952,-9.1,-10.0,seed42
C[C@@H](c1nc(-c2cccc(F)c2)no1)N(C)C(=O)c1cccc(S(N)(=O)=O)c1,0.6971,3.8195,-9.0,-10.1,seed42
CNC(=O)N1CCC(C(=O)N2CCC(c3nc4ccccc4cc3C(C)C)CC2)CC1,0.8093,3.5256,-9.7,-9.4,seed42
C[C@@H](c1ccccc1)N(C)C(=O)[C@@H]1CCCN(C(=O)c2ccccc2F)C1,0.8213,3.7143,-9.3,-9.7,seed42
CCOc1cc(F)cc(C(=O)N2CCC(c3nc4ccccc4o3)CC2)c1,0.6855,3.2208,-9.2,-9.8,seed42
C[C@H]1CN(c2cccc(CC(=O)NCc3ccc(N4CCOCC4)cc3)c2)C[C@@H](C)O1,0.7742,3.948,-9.1,-9.9,seed42
Cc1cccc(NC(=O)C(=O)NC2CCC(C(=O)Nc3ccccc3)CC2)c1,0.7128,2.9294,-8.8,-10.1,seed42
COc1ccccc1NC(=O)c1ccc(CNC(=O)c2ccc(C)cc2)cc1,0.6799,2.6086,-9.4,-9.5,seed42
COc1ccccc1-n1c(SCC(=O)Nc2ccc(C)cc2C)nnc1-c1ccccc1,0.3923,3.0296,-8.7,-10.2,seed42
C[C@@H]1COc2ccccc2N1C(=O)CSc1nc2ncccc2c(=O)[nH]1,0.5633,4.0617,-9.5,-9.4,seed42
C[C@H]1CCCN(S(=O)(=O)c2cccc(C(=O)Nc3ccccc3)c2)C1,0.9112,3.2136,-9.2,-9.7,seed42
CNC(=O)c1cccc(NC(=O)C(=O)N2CCC[C@@H]2c2ccccc2)c1,0.8334,3.4621,-9.0,-9.8,seed42
CC(C)NC(=O)N1CCC(NC(=O)CN2C(=O)CCc3ccccc32)CC1,0.8434,3.2348,-8.9,-9.9,seed42
C[C@H]1CCCCN1S(=O)(=O)c1ccccc1C(=O)NCCc1ccccc1,0.8289,3.3985,-9.3,-9.5,seed42
Cc1cc(O)c(C(=O)NCC(=O)N2CCC[C@H](C(=O)Nc3ccccc3)C2)c(C)c1,0.7069,3.6158,-8.9,-9.9,seed42
Cc1cc(C)cc(NC(=O)CSc2nnc(NC(=O)c3ccccc3)n2C)c1,0.6245,3.1717,-8.7,-10.1,seed42
COc1ccccc1[C@H]1C[C@@H](C)N(C(=O)C(=O)Nc2ccccc2C(C)C)C1,0.8104,4.065,-8.7,-10.1,seed42
