smiles,egfr,her2,qed,sa,source
Cc1cc(C2=CCC=C2)cc(C2=COC=CN2c2nc(O)c(F)c(C)c2C#N)c1,-9.6,-9.6,0.7968,3.914,seed42
CC1=CC(C)(c2cccc(-c3ccccc3)c2)C(C2CC=CC2)=C(CCl)C1F,-9.6,-9.4,0.375,3.9299,seed42
CC1=CNCC(Oc2ccccc2C2=CN(C)C=C(C)C2C2=CCC=C2)=C1,-9.5,-9.5,0.8055,4.3764,seed42
COC1(C2=C(Oc3cc(C4=CCC(C)C4)cc([SH]=O)c3O)C=CC(=O)C2=O)C(C)=CN(CO)C=C1C,-9.3,-9.4,0.2904,5.0003,seed42
CCC1=C(C2=C(C=O)C(C3=CC=CC=C3)=C(C(N)=O)C=C2)N=C(N)C=C1,-9.3,-9.3,0.6916,2.5798,seed42
CC1=CC(C)=C(CO)CC1(N=O)C1=CC(C)=NC(F)(C2=CC=CC=C2)C1,-9.2,-9.2,0.6256,4.6376,seed42
NC1=C2C(=C(F)C(c3ccccc3N)=CC2Cl)C=C(C=O)N1C=C1C=CCC1,-9.1,-9.1,0.4544,4.5645,seed42
Nc1ccc(COC2=C(C3C=CCC3)C(O)=C(S)N(c3ccccn3)N2)c(O)c1,-9.1,-9.1,0.2905,3.937,seed42
CC1=CC(C2=C(C)CC=NC2=O)=C(C=O)C(C)=C1C(C=O)=NN(C)C=O,-9.1,-9.1,0.443,4.0078,seed42
COC1=CC(C)=C(C)C=C1C1=CC(C2=CC(N)=CC(O)=C2N)=CC=C1S,-9.1,-9.1,0.3047,2.7247,seed42
CC(=O)c1c(C)c(C2(O)C=NC(N)C2)cc(C)c1C1=C(O)C(C)C(=O)N=C1,-9.1,-9.1,0.7025,4.9077,seed42
NC1=C(C2=C(O)C(Cl)NC=C2)NC(C2=CC=CC=C2)C=C1C1=CNC=CO1,-9.0,-8.9,0.4077,4.8712,seed42
CC1=CC(=O)C(C2=NN=C(CO)C(C3=CC=CC3)C2=O)(c2cc(C)c(O)nc2C)C(F)=C1,-8.9,-9.0,0.7553,5.0187,seed42
CC1=C(Cl)C(N2CCCC2)=C(C#N)C(C)=C1C1=CC(C=O)=CC=C1CO,-8.9,-8.9,0.8121,2.884,seed42
CC1=CCN(C(C2=CCCC2)C2=CNC(N)=C(N(C)C3(c4cc(O)ccc4N)C=CC=CN3)O2)C=C1C#N,-8.9,-8.9,0.221,5.2788,seed42
CC(NC1C=C(N)CC1)=C(F)C1=C(c2cccc(N)c2)CC(=O)C(O)=C1N=O,-8.9,-8.9,0.4549,4.4305,seed42
CC1=C(OC2=C(N)C(C)C=CC2)CN(C2=CCC=C2)C(C2=CCC=CC2)=C1O,-8.9,-8.9,0.6582,4.8556,seed42
CC1=C(c2cc(C)c(C)c(OC#N)n2)C=C(N(C)C2=CCC=C2)C(=O)C1=O,-8.9,-8.9,0.4654,3.9603,seed42
C#CC1=C(C)C=C(C2=C(OCF)CN=C(C)N2C2(N(C)C3=CCCC3)C(C)=CC(C)=CN2C)CC1=C,-8.9,-8.8,0.4192,5.2386,seed42
C=C(O)OC1=C(C(=O)C2(C=O)C=C(C)CC2)C=CC2C(=O)C(CC)=CC=C12,-8.8,-8.9,0.3345,5.0191,seed42
COC1=C(C2(N3C(CO)=NN=CC3C)CC=CN(C)C2)C(=O)C(C2=CC=CN=C2)=CC1O,-8.8,-8.9,0.7064,5.1756,seed42
Cc1cccc(-c2c(F)c(N3CC=CC3)c(C=O)c(C(=O)O)c2C=O)c1O,-8.8,-8.8,0.6208,3.3565,seed42
CNCC1=CN(C(C)(F)C(C)=O)C=CC1(OC1=C(C(N)=O)C(N)NC(=O)C1)C1=CCC=C1F,-8.8,-8.8,0.3882,5.5066,seed42
