smiles,qed,sa,egfr,her2,dual_docking,source
Cc1cnc(Nc2cc([C@@H]3C([NH+]4CCC[C@H](C)C4)CO[C@@H]3C)c([C@@H]3CCCC[NH+]3C)cc2CCC=O)c(COc2ccccc2Cl)c1-c1ccnc2ccccc12,0.113,5.0,-10.3,-9.9,-10.1,seed42
CCO[CH]C(CN(Nc1ccccc1OCC)S(=O)(=O)C([C@@H](C)CCOC)[NH+](C)CC)(Oc1c(F)cccc1NC(=O)c1ccccc1)C(CC)Nc1ccc(F)cc1Cl,0.0496,5.0,-9.5,-9.2,-9.35,seed42
COc1cccc(C2C[C@H](C)C[NH+](C3CO[C@H](C)[C@@H]3c3cc(Nc4ncc(C)c(-c5ccnc6ccccc56)c4CO)ccc3[C@@H]3CCCC[NH+]3)C2)c1O,0.1322,5.0,-9.2,-8.0,-8.6,seed42
Cc1ccc(CC(C)[C@H](O)CC(CC(=O)N(c2ccc(F)cc2C)C2CCCCCC2)[C@@H](C)N)cc1O,0.3315,5.0,-8.8,-7.8,-8.3,seed42
CCC(=O)NCc1cc(-c2ncc(F)cc2COc2cc(CC=Cc3ccco3)ccc2C)ccn1,0.2961,5.0,-8.5,-8.0,-8.25,seed42
C[NH2+]c1nc(C2CC2)c(C2[C@H](C)OC(Cc3c(Nc4cccc(C)n4)cccc3OCNc3ccc4c(c3)COC4)[C@H]3CCC([C@@H](C)C(=O)OC)N23)s1,0.1037,5.0,-8.5,-7.8,-8.15,seed42
C[C@@H]1CCN(C2CC2[C@H]2COCCN2C2CCCC(Nc3nnc4cccc(COc5cccc(O)c5)n34)C2c2ccccc2F)C[C@@H]1O,0.2254,5.0,-8.8,-7.4,-8.1,seed42
C[C@@H]1C(Cc2ccc3c(c2)OCO3)CCCN1C(=O)NC(=O)Cc1ccc(-c2ccc(Br)s2)cc1,0.4178,5.0,-8.5,-7.7,-8.1,seed42
Cc1cc(-c2ccc3scc(C(O[NH+]4CCC[C@H](Cc5ccccc5Cl)C4)c4ccccc4F)c3c2)c(C)s1,0.2047,5.0,-8.8,-7.3,-8.05,seed42
CCOCNNc1c(F)ccc(F)c1C(=O)N(Cc1cccc(Cl)c1Cl)C[C@H](C)Oc1ccccc1,0.1613,5.0,-8.0,-8.0,-8.0,seed42
Cc1[nH+]ccn1CC1CC(Nc2ccc(OC(C)c3ncn(C)n3)cc2)(c2nnn[n-]2)CC(=O)N1CNC(=O)c1cccs1,0.2212,5.0,-8.0,-8.0,-8.0,seed42
Cc1csc(C2[C@H](C)O[C@@H](C)C(c3cccc([N+](=O)[O-])c3C)N2c2ccc3[nH]c(-c4cc(-c5ccc(F)c(Cl)c5)cnc4C[NH+]4CCCC[C@@H]4C)nc3c2)n1,0.117,5.0,-9.2,-6.8,-8.0,seed42
COc1ccccc1O[C@@H](CC(F)(F)c1c(C)ccc(Nc2ccc(Cl)c(NC3CC3)c2)c1NC(C)[C@]1(C)CCC(c2cc(Br)cs2)O1)c1ccccc1S(C)=O,0.091,5.0,-8.4,-7.6,-8.0,seed42
CNCc1ccc(CCBr)c(Sc2ccc(C)cc2)c1-c1c[nH]nc1[C@@H]1CN2CCCC[C@@H]2CO1,0.3283,5.0,-7.9,-8.0,-7.95,seed42
Cc1cc(F)c(Cl)cc1[C@H]1C(COc2ccccc2F)[NH+](C)C(NC2CCCCCC2)C(Nc2cc(Cl)ccc2Cl)N1C,0.2243,5.0,-8.6,-7.3,-7.95,seed42
C[C@H]1CN(c2ccc3[nH]c(-c4cncc(-c5ccc(F)c(Cl)c5)c4)nc3c2)C[C@H](C)O1,0.4474,4.1,-7.7,-8.0,-7.85,seed42
Cc1cccc(Oc2coc(C(=O)N(C)[N+]3=C(N(c4cncc(C)c4)c4ccccc4F)CCC3)c2)c1,0.2935,5.0,-8.6,-7.1,-7.85,seed42
Cn1nc(COc2ccccc2)cc1Nc1sc(C2CC2c2ncon2)nc1C(C)(C)C[C@H]1C[SH](c2nccs2)CCS1,0.1439,5.0,-8.4,-7.3,-7.85,seed42
CN1C[C@H](c2cc(Br)ccc2NC(C2=CCCCC2)(C(CO)Cc2nccs2)[NH+]2CCCCCC2)CC1=O,0.3621,5.0,-8.2,-7.3,-7.75,seed42
CC(C)(c1ccncc1)c1cc(-c2cccnc2CC2(c3cc4ccccc4o3)[CH]COC2)sc1Cl,0.2338,5.0,-8.1,-7.4,-7.75,seed42
COc1ccc(O[C@@H](CC(F)(F)c2c(C)ccc(Nc3ccc(Cl)c(NC4CC4)c3)c2NC(C)[C@]2(C)CCC(c3cc(Br)cs3)O2)c2ccccc2S(C)=O)c(OC)c1,0.085,5.0,-8.2,-7.3,-7.75,seed42
Cc1ccc(Nc2ccc(Cl)cc2)c(NC(C)[C@]2(C)CCCO2)c1C(F)(F)C[C@H](O)c1ccccc1S(C)=O,0.2305,5.0,-7.9,-7.4,-7.65,seed42
C[NH2+]c1nc(C2CC2)c(C2[C@H](C)OC(Cc3ccccc3OCNc3ccc4c(c3)COC4)[C@H]3CCC([C@@H](C)C(=O)OC)N23)s1,0.2241,5.0,-7.8,-7.5,-7.65,seed42
Cn1nc(COc2ccccc2)cc1Nc1sc(C2C(Cc3ccc(O)cc3)C2c2ncon2)nc1C(C)(C)C[C@H]1C[SH](c2nccs2)CCS1,0.0991,5.0,-8.4,-6.9,-7.65,seed42
