smiles,QED,SA,EGFR_Docking,HER2_Docking,source
O=C(Nc1ccc2[nH]c(=O)[nH]c2c1)c1cccc(Cl)c1Cl,0.576,3.063,-9.35,-10.1,seed42
N#Cc1cc(NC(=O)c2occc2C(F)(F)Cl)ccc1OCC(=O)Nc1cc(Br)ccc1F,0.278,3.763,-9.45,-10.3,seed42
Fc1csc(-c2ccc(CNCCc3nnc[nH]3)cc2)n1,0.586,3.973,-8.6,-9.2,seed42
S=C(Nc1ccc2c(c1)OCO2)N1CCN(c2ccccc2F)CC1,0.731,3.08,-9.0,-10.1,seed42
O=C(Cc1cccc(F)c1)c1ccc(F)cc1Cl,0.666,2.764,-8.95,-9.2,seed42
O=[S@@](Cc1ccccc1)C(=O)/C=C/c1ccc2c(c1)CCO2,0.715,4.083,-8.95,-10.2,seed42
CSC[C@H](C)N(C)C(=O)Nc1ccccc1,0.774,3.601,-7.85,-7.7,seed42
SC1=NC=C(c2ccccc2)C1,0.53,3.867,-8.05,-6.8,seed42
S=C(NCc1ccncn1)N1CCCC1,0.654,3.317,-7.9,-6.9,seed42
S[C@@H]1CCCN(c2ccc([N+](=O)[O-])cc2[N+](=O)[O-])C1,0.422,4.011,-8.2,-6.6,seed42
[C@@H](CN(C)c1ccccc1)N1C(=O)[C@@](C)(c2ccccc2)c2ccccc21,0.566,4.19,-9.8,-7.8,seed42
O=C([O-])CN(Cc1ccc(Cl)cc1)C1CCCCC1,0.731,3.377,-8.4,-8.3,seed42
CC(=O)[C@@H](C)CNc1ccccc1Oc1ccccc1,0.757,3.328,-8.7,-9.0,seed42
N#Cc1ccc(C(=O)[C@@H](CO)CCc2ccco2)cc1O,0.694,4.04,-8.5,-8.5,seed42
Fc1ccc(CN/N=C/c2cn(-c3cccc([N+](=O)[O-])c3)s2)cc1,0.321,3.812,-8.85,-9.8,seed42
NC(=[NH2+])c1ccn(Cc2ccccc2)n1,0.414,3.577,-8.55,-8.3,seed42
NNC(=S)NNC(=O)CN1CCN=C1c1ccccc1F,0.234,3.763,-8.75,-8.5,seed42
N#Cc1csc(Cc2ccc(OCc3ccccc3)cn2)c1,0.61,3.311,-8.6,-9.3,seed42
FC(F)(F)c1ncccc1C(=O)N[C@H]1CCN(c2cccc(F)c2)C1,0.762,3.729,-9.15,-10.2,seed42
FC(F)(F)c1cccc2c1NC(=S)N2,0.553,3.658,-8.1,-7.4,seed42
F[C@H](CO)[C@@](CCl)c1ccccc1,0.641,4.245,-7.95,-6.8,seed42
O=C(NC(c1ccccc1)c1ccccc1)c1ccccc1Br,0.594,2.662,-9.55,-8.4,seed42
Cc1ccccc1NC(=O)CSc1ccc(F)cc1F,0.763,2.745,-8.7,-9.8,seed42
[C@H](C)CN1CCN([C@@H](C)C(=O)Nc2ccc(Cl)cn2)CC1,0.802,3.851,-8.5,-8.7,seed42
[C@H]1CCCC[C@H]1CNC(=O)C1CCN(S(=O)(=O)c2ccccc2)CC1,0.774,3.846,-9.1,-10.4,seed42
CC[C@H](C)C(=O)Nc1cc(C(=O)N2CC[C@@H](C(=O)[O-])C2)ccc1C,0.777,4.076,-9.25,-10.1,seed42
CCc1cc(C)cnc1COC(=O)[C@@H]1CN(C)CCO1,0.678,4.164,-8.5,-8.7,seed42
Cc1cc(NNC(=O)c2cccc3ccccc23)c(C)s1,0.608,3.214,-9.05,-9.8,seed42
COc1cccc(C(=O)N2CCC[C@@H](c3nc(C(C)C)co3)C2)c1F,0.741,3.985,-9.25,-9.2,seed42
CS/C([O-])=N/S(=O)(=O)c1ccc(F)cc1,0.467,3.874,-8.1,-7.0,seed42
C[C@H](NC(=O)NCc1nnc(-c2ccccc2)o1)[C@H]1CCS(=O)(=O)C1,0.728,4.215,-5.0,-10.0,seed42
Nc1cccc(C(=O)N2c3nc4ccccc4nc3CCC2)c1,0.602,3.294,-9.7,-10.4,seed42
O=C(CSc1cccc(Br)c1)NC1CCCC1,0.76,2.915,-8.35,-8.6,seed42
c1cc(C[NH+]2CCCC2)ccc1-c1ccccc1[N+](=O)[O-],0.592,4.254,-9.1,-9.5,seed42
c1ccc(CN2CCN(C(=O)[C@H](C#N)c3ccco3)CC2)c([N+](=O)[O-])c1,0.502,3.928,-8.95,-8.7,seed42
