smiles,qed,sa,egfr,her2,true_docking_score,source
Oc1cc(Cl)cc(OCc2nc(-c3ccc4c(c3)OCCO4)nc3c2c2ccccc2C3)c1,0.3872,2.7471,-11.2,-11.99,,seed42
O[C@@H](C=C1CCOCC1)[C@@H]1CCCN(S(=O)(=O)c2ccc3c(c2)CC[C@H](C(=O)N2CCCCC3)C2)C1,0.4902,5.2866,-10.4,-12.19,,seed42
Fc1cc(-c2noc(-c3cccnc3)n2)c(C[NH+]2CCCC[C@@H](CCc3ccccc3)C2)cc1,0.435,3.9166,-10.4,-12.09,,seed42
CC[C@@]1(c2ccccc2)NC(=O)N(Cc2cccc(Cn3cc(CNc4ncccc4C(Cl)(F)F)cn3)c2)C1=O,0.1936,3.3299,-10.6,-11.59,,seed42
F[C@H]1[C@@H][C@@H](C(=O)N2CCC[C@@H](c3nc4ccccc4[nH]c3=O)C2)CCc2ccc(Cl)cc21,0.5699,3.9443,-9.6,-12.49,,seed42
O=C1/C(=C/c2ccc(-c3ccc(F)cc3)o2)C(=O)N(c2cccc(Cl)c2)N=C1C(=O)N1CCCCCCC1,0.3092,2.7409,-9.7,-12.39,,seed42
O=C(Oc1ccccc1C(=O)Nc1ccccc1)c1cnc(C[NH+]2Cc3ccccc3C2)s1,0.3427,3.0949,-10.2,-11.89,,seed42
O=C1c2ccccc2C(=O)C1=C1CCN(C(=O)c2cc3ccccc3o2)CC1,0.4781,2.3917,-10.0,-11.99,,seed42
Fc1cc(/C=C2\CC(C(=O)N3CCOCC3)=NC2=O)nc2c1c1ccccc1C2,0.6292,3.229,-9.6,-12.19,,seed42
NC(=O)c1cccc(CNC(=O)C[C@@H]2CC(=O)N(c3cccc4ccccc34)C2)c1,0.665,2.6462,-9.5,-11.89,,seed42
O=C([C@H]1CSCN1C(=O)c1ccco1)Nc1nc2c(c(C(F)(F)F)c1Br)c1ccccc12,0.3962,3.4784,-9.8,-11.49,,seed42
[NH3+]c1c(C[NH+]2CCN(Cc3ccccc3)CC2)[nH]nc1-c1cnc2nc(-c3ccccc3)[nH]c2c1,0.3062,3.684,-9.6,-11.69,,seed42
c1n[nH]c2[nH]nc(-c3ccc(C(=O)Nc4ccc(C(F)(F)F)cc4)cc3F)c12,0.4551,2.6361,-9.9,-11.29,,seed42
O=[N+](Cn1cccc1[C@@H]1CC[NH2+]C1)N1CCC(C(=O)N(Cc2ccccc2)c2ccc3c(c2)CCC3)CC1,0.4682,4.1603,-9.3,-11.89,,seed42
F[C@@]1(Cc2ccccc2)Cc2ccccc2C[C@H]1[NH2+]Cc1c(F)cccc1F,0.6829,3.7869,-10.0,-11.19,,seed42
[NH3+]Oc1cccc([C@@H]2c3ccccc3OC[C@H]2[C@H]2COc3ccccc32)c1,0.7271,3.7609,-10.5,-10.59,,seed42
[NH3+][C@H]1[C@H](C(=O)N[C@@H]2C[C@@H](c3ccc4c(c3)OCO4)[C@@H]2CCO1)c1ccccc1,0.8305,4.7248,-9.3,-11.79,,seed42
F[C@@H]1N[C@@H](c2nc(CCc3ccccc3)[nH]n2)NC(Nc2ccc(F)cc2)C1,0.4916,3.9987,-9.6,-11.49,,seed42
c1coc(C[NH+]2CCC[C@H](c3nc4ccccc4c(-c4ccccn4)c3)c2)c1,0.5933,3.9842,-10.2,-10.79,,seed42
FC(F)(F)c1ccc(CN2CCC[C@@H](C(=O)Nc3cccc4c3OC(CC([O-])=O)C4)C2)cc1,0.7155,3.4596,-9.8,-11.09,,seed42
c1nn2c(-c3ccccc3C[NH2+]Cc3ccccc3)c3ccccc3nc2c1Cc1cc(F)cc(F)c1,0.3123,3.1619,-11.0,-9.89,,seed42
Oc1c(/C=C/c2ccccc2O)oc2cc3ccccc3nc12,0.5693,2.6087,-9.8,-11.09,,seed42
O=C1O[C@H](CNC(=O)NC[C@H]2CSCN2C(=O)c2ccc(Cl)cc2)CC12CCN(C(=O)c1ccccc1Cl)CC2,0.4817,4.1541,-9.9,-10.89,,seed42
F[C@H]1[C@H]c2ccccc2O[C@@H]2[C@H]1Nc1ccccc1N2C(=O)COc1ccc(Br)cc1Br,0.4445,3.9313,-9.6,-11.19,,seed42
F[C@H]1C[C@@H](c2ccc(Cl)cc2)[C@H]2COc3c(O)cccc3[C@H]2C1,0.7911,3.7978,-10.4,-10.29,,seed42
