smiles,qed,sa,egfr,her2,source
CC[C@@H](CC(=O)Nc1cccc2ccccc12)S[C@H]1CC(=O)Nc2c(F)cccc21,0.5197,3.0,-8.8,-9.9,seed42
Cc1ccc(C)c(N2C[C@@H](C(=O)Nc3ccc(C(=O)N[C@H](C)c4ccccc4)cc3)CC2=O)c1,0.5612,3.25,-9.0,-9.7,seed42
CCn1ccc2ccc(NC(=O)c3cnccc3C(=O)Nc3ccccc3)nc2c1=O,0.5221,3.0,-9.5,-8.8,seed42
Cc1ccc([N+](=O)[O-])cc1NC(=O)C1CCC(CNC(=O)c2onc3ccccc32)CC1,0.4399,3.0,-9.0,-9.2,seed42
O=C(Nc1cccc(C(F)(F)F)c1)C1CCN(C(=O)c2cccc3ccccc23)CC1,0.6139,4.25,-8.6,-9.5,seed42
CCc1nc(-c2ccccc2)ccc1NC(=O)NCc1cccc2cccnc12,0.4996,3.0,-8.6,-9.4,seed42
Cc1cccc(NC(=O)CSc2nnc3c4ccccc4n(N)c3c2C)c1C,0.4063,3.0,-8.5,-9.4,seed42
Cc1ccccc1C[C@@H]1CCC[C@@H]1NC(=O)c1ccc(NC(=O)C2CCCCC2)cc1,0.6363,4.5,-8.7,-8.9,seed42
O=C(N/N=C/[C@@H]1C(=O)NCc2ccccc21)c1ccc(F)c(F)c1,0.6686,4.0,-8.4,-8.9,seed42
O=C(CSc1nc2ccc(O)cc2[nH]1)Nc1cccc(-c2cc[nH]n2)c1,0.4057,3.0,-8.5,-8.7,seed42
C[C@@H]1c2cccn2CCN(Cc2c[nH]nc2-c2ccccc2)CCN1C(=O)[C@@H]1COc2ccccc2O1,0.4591,3.0,-9.2,-8.0,seed42
O=C(c1cc2ccccc2c([O-])n1)N1CC[C@@H]2CCCC[C@H]2C1,0.8135,6.0,-8.2,-8.9,seed42
Cc1ccc(NC(=O)C(=O)N2CCC[C@@H](c3nnc4ccccn34)C2)cc1[N+](=O)[O-],0.403,3.0,-8.5,-8.5,seed42
O=C(c1cc([O-])[nH]n1)N1CCC(c2nn(Cc3ccccc3)c3cc(Cl)ccc23)CC1,0.5314,3.0,-8.8,-8.2,seed42
