smiles,qed,sa,egfr,her2,source
O=C1N=C(N2CCN(c3cccc4ccccc34)CC2)SC1=Cc1ccccc1O,0.6313,5.0,-10.1,-11.9,seed42
Cc1cccc(N2CCN(C(=O)c3noc4c3COc3ccccc3-4)CC2C)c1,0.6655,5.0,-9.8,-11.4,seed42
O=C1N=C(N2CCN(c3cccc4c3=CC=C[SH]=4)OC2)SC1=Cc1ccccc1O,0.4277,5.0,-9.5,-11.6,seed42
Cc1cccc(N2CC[SH](C(=O)c3noc4c3COc3ccccc3-4)CC2C)c1,0.6286,5.0,-10.1,-10.8,seed42
Cc1ccnc(N2CCN(C(=O)c3noc4c3COc3ccccc3-4)CC2C)c1,0.6687,5.0,-10.3,-10.4,seed42
O=C1N=C(N2CCN(c3cccc4c3=CC=C[SH]=4)CC2)SC1=Cc1ccccc1O,0.4311,5.0,-10.1,-10.6,seed42
O=C1N=C(N2CCN(c3cccc4c3=CC=C[SH]=4)CC2)SC1=Cc1ccccc1O,0.4311,5.0,-10.1,-10.6,seed42
Cc1cccc(N2CCN(C(=O)c3noc4c3COc3ccccc3-4)PC2C)c1,0.5879,5.0,-10.0,-10.6,seed42
Cc1cccc(C2CCN(C(=O)c3noc4c3COc3ccccc3-4)CC2C)c1,0.6323,5.0,-10.0,-10.5,seed42
Cc1cccc(N2CCN(C(=O)c3noc4c3COc3ccccc3-4)PC2C)c1,0.5879,5.0,-10.0,-10.4,seed42
O=C(CN1CNCc2ccccc21)Nc1ccccc1C(=O)Nc1ccccn1,0.6268,5.0,-9.7,-10.6,seed42
CC1CN(C(=O)c2noc3c2COc2ccccc2-3)CCN1c1cccc(F)c1,0.6642,5.0,-9.6,-10.4,seed42
Cc1cccc(N2CCN(C(O)c3noc4c3COc3ccccc3-4)CC2C)c1,0.7339,5.0,-9.8,-10.2,seed42
Cc1cccc(N2CCN(C(O)c3noc4c3COc3ccccc3-4)CC2C)c1,0.7339,5.0,-9.8,-10.2,seed42
O=C1N=C(N2CCN(c3cccc4c3=CC=C[SH]=4)CC2)PC1=Cc1ccccc1O,0.3294,5.0,-9.0,-10.9,seed42
O=C(CN1CNCc2ccccc21)Nc1ccccc1C(=O)Nc1ccccc1,0.628,5.0,-10.0,-9.8,seed42
O=C(CN1CSCc2ccccc21)Nc1ccccc1C(=O)Nc1ccccc1,0.6542,5.0,-9.5,-10.2,seed42
N=C(CN1CNCc2ccccc21)Nc1ccccc1C(=O)Nc1ccccc1,0.3967,5.0,-9.2,-10.4,seed42
