smiles,qed,sa,egfr,her2,source
C[C@]1(c2ccc3ccccc3c2)NC(=O)N(CC(=O)NNC(=O)c2ccoc2)C1=O,0.4495,5.0,-10.0,-10.6,seed42
C[C@H](NC(=O)CN1C(=O)N[C@]2(C[C@H](C)CC2=O)c2ccccc21)c1nc2ccccc2[nH]1,0.5897,5.0,-9.9,-10.7,seed42
C[C@@]1(c2ccc3c(c2)OCO3)NC(=O)N(Cc2ccc(-c3ccc(Cl)cc3)[nH]2)C1=O,0.6204,5.0,-9.6,-10.9,seed42
COc1cccc(C(=O)Nc2cc(C(F)(F)F)cc(-c3ccncc3)n2)c1F,0.6624,5.0,-9.7,-10.2,seed42
O=C(C1=Cc2ccccc2OC1)N1CCC(c2nc(-c3cccnc3)no2)CC1,0.6847,5.0,-9.1,-10.7,seed42
CC(C)C[C@H](NC(=O)[C@H]1CCc2ccccc2C1)c1nc2sc3c(c2c(=O)[nH]1)CCCC3,0.5834,5.0,-10.2,-9.5,seed42
Cc1ccc(NC(=O)CSc2nc3ccccc3c(=O)n2-c2ccc3c(c2)OCCO3)cc1,0.3559,5.0,-9.8,-9.8,seed42
Cc1cc(C(=O)NCc2ccccc2F)c2c(C)nn(-c3ccc(C(F)(F)F)cc3)c2n1,0.4463,5.0,-9.8,-9.8,seed42
Cc1ccc(NCc2nnc3n2Cc2ccccc2CC3)cc1Cl,0.7846,5.0,-9.3,-10.3,seed42
COc1ccc(C(=O)C2=C([O-])C(=O)N(Cc3cccnc3)[C@H]2c2ccc(C(C)C)cc2)cc1,0.5211,5.0,-9.0,-10.6,seed42
Cc1cnc2n(c1=O)C[C@H](C(=O)Nc1cccc(C#Cc3ccccn3)c1)CO2,0.681,5.0,-9.4,-10.2,seed42
O=C(NNC(=O)c1cccc(C(F)(F)F)c1)c1cc2ccccc2o1,0.6962,5.0,-9.2,-10.3,seed42
O=C(CNC(=O)Nc1ccc(Cl)c(C(F)(F)F)c1)Nc1nnc(Cc2ccccc2)o1,0.5205,4.9612,-9.2,-10.3,seed42
O=C(Nc1ccc(S(=O)(=O)N2CCCCC2)cc1)c1c([O-])nnc2ccccc12,0.7032,5.0,-9.1,-10.4,seed42
C[C@@H](NC(=O)N[C@H]1CCCOc2c1ccc1ccccc21)[C@@H]1CCCO1,0.8782,5.0,-9.4,-10.0,seed42
Cc1cccnc1NC(=O)Cn1cnc2c(cnn2-c2ccccc2)c1=O,0.6,5.0,-9.4,-9.8,seed42
C[C@H](CC(=O)N[C@H](C)c1ccc2c(c1)OCCO2)[NH+]1CCc2ccccc2C1,0.8336,5.0,-9.0,-10.2,seed42
O=S(=O)(c1ccc(Cl)c(Cl)c1)N1CCc2c([nH]c3ccccc23)C1,0.7227,5.0,-9.3,-9.8,seed42
COc1cccc(-c2nn(C[NH2+]Cc3cccc(C)n3)c(-c3ccccc3)n2)c1,0.53,5.0,-9.8,-9.3,seed42
O=C1N[C@H](c2ccc(F)cc2)[C@@H](C(=O)c2cc3ccccc3o2)N=C1N1CCOCC1,0.6578,5.0,-10.0,-9.1,seed42
COC(=O)Cn1/c(=N/C(=O)c2cc3cc([N+](=O)[O-])ccc3s2)[nH]c2ccccc21,0.315,5.0,-9.2,-9.8,seed42
Cc1ccccc1-c1nnc(S[C@H](C(=O)[O-])c2c[nH]c3ccccc23)n1C,0.5406,5.0,-8.8,-10.2,seed42
Cc1ccc(N2C[C@H](C(=O)NCC3CCN(C(=O)c4ccco4)CC3)CC2=O)cc1,0.823,5.0,-9.2,-9.8,seed42
O=C(Nc1cc(-c2cccnc2)ccc1O)[C@@H]1COc2ccccc2O1,0.7105,5.0,-8.7,-10.2,seed42
CC(=O)N(C)c1ccc(NC(=O)c2ccc(OCc3cccc(C)c3C)cc2)c(OC)c1,0.5623,5.0,-8.8,-10.0,seed42
Cc1ccccc1NC(=O)CCSc1nnnn1-c1ccc(Cl)c(C(F)(F)F)c1,0.558,5.0,-8.8,-9.9,seed42
O=C(Cc1ccc(NC(=O)c2cc3c([nH]c2=O)CCC3)cc1)NC1CCCC1,0.7459,5.0,-8.8,-9.9,seed42
C[NH+]1CCC2(CC1)NC(=O)N(Cc1cc(=O)[nH]c3ccccc13)C2,0.7322,5.0,-9.4,-9.3,seed42
CC1=C(C(=O)Nc2ccccc2C)N(C(C)C)C[C@]1(C)C(=O)Nc1cccc(C(F)(F)F)c1,0.6124,4.7139,-9.4,-9.3,seed42
O=C1/C(=C/c2ccc3c(c2)OCO3)C(=O)N1c1cccc(Br)c1,0.4619,5.0,-8.6,-10.1,seed42
Cn1c(CC2=NN(c3ccc4c(c3)CCC4)CC2)nnc1-c1cccs1,0.7074,5.0,-8.6,-10.0,seed42
c1cn(-c2ccc(NC(=S)N3CCC[C@H]3C(N)=O)nn2)c(-c2ccccc2)n1,0.6535,5.0,-9.5,-9.1,seed42
Cn1c(-c2nnc(CC3CCCC3)n2C2CC2)c2cnn(-c3ccccc3)c2n1,0.5174,5.0,-8.7,-9.9,seed42
C[C@H]1CN(C[C@@H](O)C[NH2+][C@@H]2C(=O)N(c3ccccc3)C(=O)c3ccccc32)C(C)(C)CO1,0.665,5.0,-9.4,-9.2,seed42
CS(=O)(=O)N(C[C@H]1COc2ccccc2O1)C(c1ccccc1)c1ccccc1,0.6201,5.0,-9.5,-9.1,seed42
Cc1ccc(Cl)cc1NC(=O)Cn1c(C(F)(F)F)nc2cc(S(=O)(=O)N3CCOCC3)ccc21,0.5582,5.0,-9.3,-9.3,seed42
Cc1nn(C)c(C)c1CC(=O)Nc1cc(F)c(N2CCCCC2)c2ccccc12,0.7088,5.0,-9.2,-9.3,seed42
COc1ccc2ccccc2c1C(=O)N1CCCSC[C@H]1C[C@H](O)c1cccs1,0.6238,5.0,-8.6,-9.8,seed42
C[C@H](NC(=O)/C=C/c1ccccc1)c1cccc2ccccc12,0.6934,5.0,-8.8,-9.6,seed42
C[C@H](NC(=O)Nc1ccc(F)c(-n2cnnn2)c1)c1ccc(F)cc1,0.7621,4.962,-9.2,-9.1,seed42
Cc1cc(SCC(=O)NC[C@@H](O)c2cccc(F)c2)nc2ccccc12,0.6507,5.0,-9.1,-9.2,seed42
Cc1cccc(N2C[C@@H](C(=O)NCCC3=CCCCC3)CC2=O)c1C,0.8317,4.9563,-8.8,-9.4,seed42
Cc1cccc(NC(=O)C(=O)NCc2ccc(CN3CCOCC3)cc2)c1C,0.7805,5.0,-8.8,-9.4,seed42
CC[C@H](C(=O)Nc1cc(F)cc(Cl)c1)N1CCn2c(nc3ccccc32)C1=O,0.7257,5.0,-8.9,-9.3,seed42
C[C@@H](Oc1ccc(Cl)cc1Cl)C(=O)Oc1cccc(C(=O)NCc2ccco2)c1,0.4234,5.0,-8.9,-9.3,seed42
COc1ccc([C@H](CNS(=O)(=O)c2ccc(C)c(C)c2)[NH+]2CCCCC2)cc1,0.7464,5.0,-9.1,-9.1,seed42
