Tue Aug 25 15:17:18 2026 | 高活性分子: 3 | 悬崖分子: 0 | 平均高活性分数: 0.611 | 平均悬崖分数: 0.000
Tue Aug 25 15:17:50 2026 | 高活性分子: 3 | 悬崖分子: 0 | 平均高活性分数: 0.611 | 平均悬崖分数: 0.000
Tue Aug 25 15:19:27 2026 | 高活性分子: 6 | 悬崖分子: 0 | 平均高活性分数: 0.612 | 平均悬崖分数: 0.000
Tue Aug 25 15:20:30 2026 | 高活性分子: 8 | 悬崖分子: 0 | 平均高活性分数: 0.612 | 平均悬崖分数: 0.000
Tue Aug 25 15:22:14 2026 | 高活性分子: 8 | 悬崖分子: 0 | 平均高活性分数: 0.612 | 平均悬崖分数: 0.000
Tue Aug 25 15:23:20 2026 | 高活性分子: 8 | 悬崖分子: 0 | 平均高活性分数: 0.612 | 平均悬崖分数: 0.000
Tue Aug 25 15:23:59 2026 | 高活性分子: 9 | 悬崖分子: 0 | 平均高活性分数: 0.612 | 平均悬崖分数: 0.000
Tue Aug 25 15:24:31 2026 | 高活性分子: 9 | 悬崖分子: 0 | 平均高活性分数: 0.612 | 平均悬崖分数: 0.000
Tue Aug 25 15:25:00 2026 | 高活性分子: 10 | 悬崖分子: 0 | 平均高活性分数: 0.612 | 平均悬崖分数: 0.000
Tue Aug 25 15:32:12 2026 | 高活性分子: 11 | 悬崖分子: 0 | 平均高活性分数: 0.611 | 平均悬崖分数: 0.000
Tue Aug 25 15:32:23 2026 | 高活性分子: 11 | 悬崖分子: 0 | 平均高活性分数: 0.611 | 平均悬崖分数: 0.000
Tue Aug 25 15:32:47 2026 | 高活性分子: 11 | 悬崖分子: 0 | 平均高活性分数: 0.611 | 平均悬崖分数: 0.000
Tue Aug 25 15:33:44 2026 | 高活性分子: 13 | 悬崖分子: 0 | 平均高活性分数: 0.610 | 平均悬崖分数: 0.000
Tue Aug 25 15:34:04 2026 | 高活性分子: 13 | 悬崖分子: 0 | 平均高活性分数: 0.610 | 平均悬崖分数: 0.000
Tue Aug 25 15:34:38 2026 | 高活性分子: 13 | 悬崖分子: 0 | 平均高活性分数: 0.610 | 平均悬崖分数: 0.000
Tue Aug 25 15:35:05 2026 | 高活性分子: 15 | 悬崖分子: 0 | 平均高活性分数: 0.611 | 平均悬崖分数: 0.000
Tue Aug 25 15:35:56 2026 | 高活性分子: 15 | 悬崖分子: 0 | 平均高活性分数: 0.611 | 平均悬崖分数: 0.000
Tue Aug 25 15:36:12 2026 | 高活性分子: 15 | 悬崖分子: 0 | 平均高活性分数: 0.611 | 平均悬崖分数: 0.000
Tue Aug 25 15:36:41 2026 | 高活性分子: 15 | 悬崖分子: 0 | 平均高活性分数: 0.611 | 平均悬崖分数: 0.000
Tue Aug 25 15:37:20 2026 | 高活性分子: 17 | 悬崖分子: 0 | 平均高活性分数: 0.612 | 平均悬崖分数: 0.000
Tue Aug 25 15:38:17 2026 | 高活性分子: 17 | 悬崖分子: 0 | 平均高活性分数: 0.612 | 平均悬崖分数: 0.000
Tue Aug 25 15:39:22 2026 | 高活性分子: 17 | 悬崖分子: 0 | 平均高活性分数: 0.612 | 平均悬崖分数: 0.000
Tue Aug 25 15:40:58 2026 | 高活性分子: 17 | 悬崖分子: 0 | 平均高活性分数: 0.612 | 平均悬崖分数: 0.000
Tue Aug 25 15:41:20 2026 | 高活性分子: 18 | 悬崖分子: 0 | 平均高活性分数: 0.611 | 平均悬崖分数: 0.000
Tue Aug 25 15:41:44 2026 | 高活性分子: 18 | 悬崖分子: 0 | 平均高活性分数: 0.611 | 平均悬崖分数: 0.000
Tue Aug 25 15:42:52 2026 | 高活性分子: 18 | 悬崖分子: 0 | 平均高活性分数: 0.611 | 平均悬崖分数: 0.000
Tue Aug 25 15:43:13 2026 | 高活性分子: 18 | 悬崖分子: 0 | 平均高活性分数: 0.611 | 平均悬崖分数: 0.000
Tue Aug 25 15:43:39 2026 | 高活性分子: 18 | 悬崖分子: 0 | 平均高活性分数: 0.611 | 平均悬崖分数: 0.000
Tue Aug 25 15:45:00 2026 | 高活性分子: 18 | 悬崖分子: 0 | 平均高活性分数: 0.611 | 平均悬崖分数: 0.000
