iteration,timestamp,num_pareto,num_history,Nov_P_mean,Nov_H_mean,Rep_mean,IER_mean,pareto_pool_size,active_history_size
5,1787642534.8503296,9,18,0.000000,0.000000,0.000000,0.000000,9,18
10,1787643132.6493762,11,29,0.000000,0.000000,0.000000,0.000000,11,29
15,1787643278.4024312,14,37,0.000000,0.000000,0.000000,0.000000,14,37
20,1787643440.228245,17,46,0.000000,0.000000,0.000000,0.000000,17,46
25,1787643704.466748,19,56,0.000000,0.000000,0.000000,0.000000,19,56
30,1787643990.8262472,19,62,0.000000,0.000000,0.000000,0.000000,19,62
35,1787644313.273165,21,73,0.000000,0.000000,0.000000,0.000000,21,73
40,1787644397.6718354,24,78,0.000000,0.000000,0.000000,0.000000,24,78
45,1787644558.3565454,28,89,0.000000,0.000000,0.000000,0.000000,28,89
50,1787644761.1631346,30,96,0.000000,0.000000,0.000000,0.000000,30,96
55,1787644922.8745072,32,104,0.000000,0.000000,0.000000,0.000000,32,104
60,1787645164.0472193,35,115,0.000000,0.000000,0.000000,0.000000,35,115
65,1787646219.618008,36,122,0.000000,0.000000,0.000000,0.000000,36,122
70,1787646800.13963,38,131,0.000000,0.000000,0.000000,0.000000,38,131
75,1787647279.0259373,38,136,0.000000,0.000000,0.000000,0.000000,38,136
80,1787647399.4003725,40,143,0.000000,0.000000,0.000000,0.000000,40,143
85,1787647515.716689,42,150,0.000000,0.000000,0.000000,0.000000,42,150
90,1787647633.3445823,44,158,0.000000,0.000000,0.000000,0.000000,44,158
95,1787647731.4998167,45,164,0.000000,0.000000,0.000000,0.000000,45,164
100,1787647813.6034298,46,170,0.000000,0.000000,0.000000,0.000000,46,170
105,1787647943.2433164,47,178,0.000000,0.000000,0.000000,0.000000,47,178
110,1787648043.6111026,47,184,0.000000,0.000000,0.000000,0.000000,47,184
115,1787648155.40303,50,190,0.000000,0.000000,0.000000,0.000000,50,190
120,1787648273.3088212,51,196,0.000000,0.000000,0.000000,0.000000,51,196
125,1787648436.340717,52,207,0.000000,0.000000,0.000000,0.000000,52,207
130,1787648554.6292818,53,214,0.000000,0.000000,0.000000,0.000000,53,214
135,1787648674.3817177,54,222,0.000000,0.000000,0.000000,0.000000,54,222
140,1787648793.2846038,55,227,0.000000,0.000000,0.000000,0.000000,55,227
145,1787648933.1617558,56,237,0.000000,0.000000,0.000000,0.000000,56,237
150,1787649028.9968998,56,243,0.000000,0.000000,0.000000,0.000000,56,243
155,1787649150.055855,57,249,0.000000,0.000000,0.000000,0.000000,57,249
160,1787649273.9381683,57,257,0.000000,0.000000,0.000000,0.000000,57,257
165,1787649394.0143077,58,265,0.000000,0.000000,0.000000,0.000000,58,265
170,1787649509.9918337,58,273,0.000000,0.000000,0.000000,0.000000,58,273
175,1787649657.2705035,61,283,0.000000,0.000000,0.000000,0.000000,61,283
180,1787649776.761072,63,293,0.000000,0.000000,0.000000,0.000000,63,293
185,1787649872.4503996,63,299,0.000000,0.000000,0.000000,0.000000,63,299
190,1787650014.9966354,67,308,0.000000,0.000000,0.000000,0.000000,67,308
195,1787650437.261744,67,321,0.000000,0.000000,0.000000,0.000000,67,321
200,1787650745.6663888,67,328,0.000000,0.000000,0.000000,0.000000,67,328
205,1787651395.8767524,69,335,0.000000,0.000000,0.000000,0.000000,69,335
210,1787651639.1964605,72,346,0.000000,0.000000,0.000000,0.000000,72,346
215,1787652078.346255,73,352,0.000000,0.000000,0.000000,0.000000,73,352
220,1787653759.8797517,73,357,0.000000,0.000000,0.000000,0.000000,73,357
225,1787654160.3692746,75,369,0.000000,0.000000,0.000000,0.000000,75,369
230,1787654829.1474943,78,377,0.000000,0.000000,0.000000,0.000000,78,377
235,1787655754.1883318,79,387,0.000000,0.000000,0.000000,0.000000,79,387
240,1787656380.3005536,80,399,0.000000,0.000000,0.000000,0.000000,80,399
245,1787657810.5716946,82,412,0.000000,0.000000,0.000000,0.000000,82,412
250,1787658176.656321,83,424,0.000000,0.000000,0.000000,0.000000,83,424
255,1787659196.2760108,87,435,0.000000,0.000000,0.000000,0.000000,87,435
260,1787659601.3751743,88,445,0.000000,0.000000,0.000000,0.000000,88,445
265,1787659918.2020268,89,455,0.000000,0.000000,0.000000,0.000000,89,455
270,1787660139.619258,92,466,0.000000,0.000000,0.000000,0.000000,92,466
275,1787660670.6988854,92,474,0.000000,0.000000,0.000000,0.000000,92,474
280,1787661059.63525,93,483,0.000000,0.000000,0.000000,0.000000,93,483
285,1787661583.0853822,93,495,0.000000,0.000000,0.000000,0.000000,93,495
290,1787662010.3860168,94,502,0.000000,0.000000,0.000000,0.000000,94,502
295,1787662713.1965613,94,507,0.000000,0.000000,0.000000,0.000000,94,507
300,1787663096.8235774,94,516,0.000000,0.000000,0.000000,0.000000,94,516
305,1787663542.4638088,95,528,0.000000,0.000000,0.000000,0.000000,95,528
310,1787664073.458429,98,543,0.000000,0.000000,0.000000,0.000000,98,543
315,1787664477.99582,99,550,0.000000,0.000000,0.000000,0.000000,99,550
320,1787665784.9938595,103,561,0.000000,0.000000,0.000000,0.000000,103,561
325,1787666057.6028006,103,569,0.000000,0.000000,0.000000,0.000000,103,569
330,1787666956.567595,105,582,0.000000,0.000000,0.000000,0.000000,105,582
335,1787667054.4695323,105,587,0.000000,0.000000,0.000000,0.000000,105,587
340,1787667167.2490122,108,594,0.000000,0.000000,0.000000,0.000000,108,594
345,1787667270.7907803,111,602,0.000000,0.000000,0.000000,0.000000,111,602
350,1787667407.944411,111,610,0.000000,0.000000,0.000000,0.000000,111,610
355,1787667503.537459,111,617,0.000000,0.000000,0.000000,0.000000,111,617
360,1787667590.7996783,112,623,0.000000,0.000000,0.000000,0.000000,112,623
365,1787667675.0062423,113,629,0.000000,0.000000,0.000000,0.000000,113,629
370,1787667805.3093138,114,636,0.000000,0.000000,0.000000,0.000000,114,636
375,1787667952.0435405,114,646,0.000000,0.000000,0.000000,0.000000,114,646
380,1787668074.6464696,114,653,0.000000,0.000000,0.000000,0.000000,114,653
385,1787668179.0678532,114,659,0.000000,0.000000,0.000000,0.000000,114,659
390,1787668273.775181,114,665,0.000000,0.000000,0.000000,0.000000,114,665
395,1787668383.5987391,114,671,0.000000,0.000000,0.000000,0.000000,114,671
400,1787668465.615563,115,676,0.000000,0.000000,0.000000,0.000000,115,677
405,1787668568.6500874,117,683,0.000000,0.000000,0.000000,0.000000,117,684
410,1787668687.0746288,117,690,0.000000,0.000000,0.000000,0.000000,117,691
