chembl_id,smiles,activity_type,activity_value,activity_units,pIC50,docking
CHEMBL68920,Cc1cc(C)c(/C=C2\C(=O)Nc3ncnc(Nc4ccc(F)c(Cl)c4)c32)[nH]1,IC50,41.0,nM,7.39,-10.40
CHEMBL69960,Cc1cc(C(=O)N2CCOCC2)[nH]c1/C=C1\C(=O)Nc2ncnc(Nc3ccc(F)c(Cl)c3)c21,IC50,40.0,nM,7.4,-10.70
CHEMBL137635,CN(c1ccccc1)c1ncnc2ccc(N/N=N/Cc3ccccn3)cc12,IC50,9300.0,nM,5.03,-9.20
CHEMBL77085,N#CC(C#N)=Cc1cc(O)ccc1[N+](=O)[O-],Ki,24000.0,nM,4.62,-7.40
CHEMBL76589,N#CC(C#N)=C(N)/C(C#N)=C/c1ccc(O)cc1,IC50,100.0,nM,7.0,-6.00
CHEMBL76904,N#CC(C#N)=Cc1ccc(O)c(O)c1,Ki,11000.0,nM,4.96,-6.10
CHEMBL296407,N#C/C(=C\c1ccc(O)c(O)c1)C(N)=O,Ki,3500.0,nM,5.46,-6.70
CHEMBL309625,N#CC(C#N)=C(N)/C(C#N)=C/c1ccc(O)c([N+](=O)[O-])c1,IC50,60000.0,nM,4.22,-6.80
CHEMBL310798,N#CC(C#N)=Cc1cc(O)c(O)c(O)c1,Ki,1000.0,nM,6.0,-6.20
CHEMBL135592,C/N=N/Nc1ccc2ncnc(N(C)c3ccccc3)c2c1,IC50,8000.0,nM,5.1,-7.90
CHEMBL308134,N#CC(C#N)=Cc1ccc(O)c([N+](=O)[O-])c1,Ki,49000.0,nM,4.31,-6.20
CHEMBL136491,CN(C)/N=N/c1ccc2ncnc(Nc3cccc(Cl)c3)c2c1,IC50,14.0,nM,7.85,-8.50
CHEMBL336113,Cc1cccc(Nc2ncnc3ccc(N)cc23)c1,IC50,1000.0,nM,6.0,-8.30
CHEMBL133024,C/N=N/Nc1ccc2ncnc(Nc3cccc(Cl)c3)c2c1,IC50,100.0,nM,7.0,-8.30
CHEMBL344652,CN(C)/N=N/c1ccc2ncnc(N(C)c3ccccc3)c2c1,IC50,13350.0,nM,4.88,-8.00
CHEMBL47986,O=CN/C=C/c1cc(O)ccc1O,IC50,2000.0,nM,5.7,-6.50
CHEMBL137364,Brc1cccc(Nc2ncnc3ccc(N/N=N/CCN4CCOCC4)cc23)c1,IC50,64.0,nM,7.19,-8.20
CHEMBL309598,N#CC(C#N)=C(O)c1cc(O)c(O)c(O)c1,Ki,4500.0,nM,5.35,-6.40
CHEMBL332096,Nc1ccc2ncnc(NCc3ccccc3)c2c1,IC50,508.0,nM,6.29,-8.40
CHEMBL69964,Cc1cc(/C=C2\C(=O)Nc3ncnc(Nc4ccc(F)c(Cl)c4)c32)[nH]c1C(=O)N1CCN(C)CC1,IC50,210.0,nM,6.68,-10.80
CHEMBL65848,Cc1cc(C(=O)N2CCOCC2)[nH]c1/C=C1\C(=O)Nc2ncnc(Nc3ccc4c(c3)CCC4)c21,IC50,1410.0,nM,5.85,-10.40
CHEMBL76985,N#C/C(=C\c1ccc(C=O)cc1)C(=O)O,IC50,47000.0,nM,4.33,-6.50
CHEMBL136492,CN(c1ccccc1)c1ncnc2ccc(N)cc12,IC50,8400.0,nM,5.08,-8.20
CHEMBL311119,N#CC(C#N)=Cc1ccc(C=O)cc1,Ki,20000.0,nM,4.7,-5.80
CHEMBL76905,N#CC(C#N)=Cc1cc(O)cc(O)c1,Ki,10000.0,nM,5.0,-6.40
CHEMBL305194,Cc1cc(C(=O)O)[nH]c1/C=C1\C(=O)Nc2ncnc(Nc3ccc(F)c(Cl)c3)c21,IC50,29.0,nM,7.54,-10.10
CHEMBL80155,COc1cc(C=C(C#N)C#N)cc(O)c1O,Ki,2200.0,nM,5.66,-6.10
CHEMBL343352,Nc1ccc2ncnc(Nc3cccc(Cl)c3)c2c1,IC50,3.38,nM,8.47,-8.10
CHEMBL52765,Nc1ccc2ncnc(Nc3cccc(Br)c3)c2c1,IC50,0.78,nM,9.11,-8.20
CHEMBL76642,N#C/C(=C/c1cc(O)ccc1O)C(=O)O,Ki,24000.0,nM,4.62,-6.80
CHEMBL308645,Cc1cc(CCC(=O)O)[nH]c1/C=C1\C(=O)Nc2ncnc(Nc3ccc(F)c(Cl)c3)c21,IC50,4.7,nM,8.33,-9.20
CHEMBL134312,CN(C)/N=N/c1ccc2ncnc(Nc3cccc(Br)c3)c2c1,IC50,11.0,nM,7.96,-8.20
CHEMBL77243,CCCCc1cc(/C=C(\C#N)C(N)=O)cc(CCCC)c1O,IC50,55000.0,nM,4.26,-7.80
CHEMBL80745,COc1cc(/C=C(\C#N)C(N)=C(C#N)C#N)cc(O)c1O,IC50,1000.0,nM,6.0,-6.50
CHEMBL305246,Cc1cc(C(=O)N2CCN(C)CC2)[nH]c1/C=C1\C(=O)Nc2ncnc(Nc3ccc(F)c(Cl)c3)c21,IC50,2.8,nM,8.55,-10.70
CHEMBL69966,C#Cc1cccc(Nc2ncnc3c2/C(=C/c2[nH]c(C(=O)NCCN4CCOCC4)cc2C)C(=O)N3)c1,IC50,18.0,nM,7.75,-10.40
CHEMBL77869,COc1cc(C=C(C#N)C#N)ccc1O,Ki,67000.0,nM,4.17,-5.70
CHEMBL137189,C/N=N/Nc1ccc2ncnc(Nc3cccc(C)c3)c2c1,IC50,200.0,nM,6.7,-8.40
CHEMBL137617,C/N=N/Nc1ccc2ncnc(Nc3cccc(Br)c3)c2c1,IC50,39.0,nM,7.41,-8.40
CHEMBL137027,CN(C)/N=N/c1ccc2ncnc(NCc3ccccc3)c2c1,IC50,482.0,nM,6.32,-8.30
CHEMBL78257,N#CC(C#N)=C(N)/C(C#N)=C/c1cc(O)c(O)c(O)c1,IC50,800.0,nM,6.1,-6.80
CHEMBL309334,N#CC(C#N)=C(N)/C(C#N)=C/c1ccc(O)c(O)c1,IC50,2500.0,nM,5.6,-6.50
CHEMBL304971,Cc1c(C(=O)N2CCN(C)CC2)c[nH]c1/C=C1\C(=O)Nc2ncnc(Nc3ccc(F)c(Cl)c3)c21,IC50,410.0,nM,6.39,-10.00
CHEMBL137534,CN(C)CC/N=N/Nc1ccc2ncnc(Nc3cccc(Br)c3)c2c1,IC50,38.0,nM,7.42,-8.10
CHEMBL137788,C/N=N/Nc1ccc2ncnc(NCc3ccccc3)c2c1,IC50,335.0,nM,6.47,-8.60
CHEMBL77030,N#C/C(=C\c1ccc(O)c(O)c1)C(N)=S,Ki,850.0,nM,6.07,-6.20
CHEMBL307179,COc1cc(C=C(C#N)C#N)cc([N+](=O)[O-])c1O,Ki,55000.0,nM,4.26,-6.20
CHEMBL305782,Cc1[nH]c(/C=C2\C(=O)Nc3ncnc(Nc4ccc(F)c(Cl)c4)c32)c(C)c1CCC(=O)O,IC50,180.0,nM,6.75,-9.70
CHEMBL133023,Cc1cccc(Nc2ncnc3ccc(/N=N/N(C)C)cc23)c1,IC50,24.0,nM,7.62,-8.20
CHEMBL136674,COCC/N=N/Nc1ccc2ncnc(Nc3cccc(Br)c3)c2c1,IC50,71.0,nM,7.15,-8.50
