chembl_id,smiles,activity_type,activity_value,activity_units,pIC50,docking
CHEMBL87901,CCCOc1ccccc1-c1nc2c(=O)n(C)c(=O)n(CC(C)C)c2[nH]1,IC50,60.0,nM,7.22,-8.2
CHEMBL87954,CCCCOc1ccccc1-c1nc2c(=O)n(C)c(=O)n(CC(C)C)c2[nH]1,IC50,135.0,nM,6.87,-8.0
CHEMBL433418,CCCOc1ccc(S(N)(=O)=O)cc1-c1nc2c(=O)n(C)c(=O)n(CC(C)C)c2[nH]1,IC50,5.0,nM,8.3,-7.8
CHEMBL314981,CCOc1ccc(S(=O)(=O)N2CCN(C)CC2)cc1-c1nc2c(=O)[nH]c(=O)n(CC(C)C)c2[nH]1,IC50,315.0,nM,6.5,-9.1
CHEMBL314667,CC(C)Cn1c(=O)n(C)c(=O)c2[nH]c(-c3ccccc3OC(C)C)nc21,IC50,77.0,nM,7.11,-8.5
CHEMBL316372,CC(C)COc1ccccc1-c1nc2c(=O)n(C)c(=O)n(CC(C)C)c2[nH]1,IC50,105.0,nM,6.98,-8.3
CHEMBL316209,COc1ccccc1-c1nc2c(=O)n(C)c(=O)n(CC(C)C)c2[nH]1,IC50,1810.0,nM,5.74,-8.4
CHEMBL85230,CSc1ccccc1-c1nc2c(=O)n(C)c(=O)n(CC(C)C)c2[nH]1,IC50,5420.0,nM,5.27,-8.0
CHEMBL420599,CCCn1c(=O)[nH]c(=O)c2[nH]c(-c3cc(S(=O)(=O)N4CCN(C)CC4)ccc3OCC)nc21,IC50,1360.0,nM,5.87,-9.6
CHEMBL410057,CCOc1ccccc1-c1nc2c(=O)n(C)c(=O)n(CC(C)C)c2[nH]1,IC50,73.0,nM,7.14,-8.1
CHEMBL86982,CCCCCOc1ccccc1-c1nc2c(=O)n(C)c(=O)n(CC(C)C)c2[nH]1,IC50,551.0,nM,6.26,-7.7
CHEMBL327666,COCCOc1ccccc1-c1nc2c(=O)n(C)c(=O)n(CC(C)C)c2[nH]1,IC50,1500.0,nM,5.82,-7.7
CHEMBL87777,CCCn1c(=O)n(C)c(=O)c2[nH]c(-c3cc(S(=O)(=O)N4CCN(C)CC4)ccc3OCC)nc21,IC50,100.0,nM,7.0,-9.3
CHEMBL358721,Nc1nc2c(c(=O)n(CC3CC3)c(=O)n2CC2CC2)n1S(=O)(=O)c1ccc(C(F)(F)F)cc1,IC50,49000.0,nM,4.31,-8.5
CHEMBL28079,CCCOc1ccccc1-c1nc2[nH]nnc2c(=O)[nH]1,Ki,130.0,nM,6.89,-9.0
CHEMBL42713,CCCOc1ccccc1-c1nc2nc[nH]c2c(=O)[nH]1,IC50,80.0,nM,7.1,-9.0
CHEMBL436402,COc1ccc(S(=O)(=O)n2c(N)nc3c2c(=O)n(CC2CC2)c(=O)n3CC2CC2)cc1,IC50,440.0,nM,6.36,-7.7
CHEMBL344720,Cn1c(NS(=O)(=O)c2ccccc2)nc2c1c(=O)n(CC1CC1)c(=O)n2CC1CC1,IC50,53000.0,nM,4.28,-8.3
CHEMBL144978,COc1ccc(S(=O)(=O)Nc2nc3c(c(=O)n(CC4CC4)c(=O)n3CC3CC3)n2C)cc1,IC50,54000.0,nM,4.27,-9.4
CHEMBL423933,Nc1nc2c(c(=O)n(CC3CC3)c(=O)n2CC2CC2)n1Cc1ccc([N+](=O)[O-])cc1,IC50,8300.0,nM,5.08,-8.1
CHEMBL355919,COc1cc(Cn2c(N)nc3c2c(=O)n(CC2CC2)c(=O)n3CC2CC2)cc(OC)c1OC,IC50,13000.0,nM,4.89,-6.4
CHEMBL342998,CC(C)Cn1c(N)nc2c1c(=O)n(CC1CC1)c(=O)n2CC1CC1,IC50,11000.0,nM,4.96,-7.4
CHEMBL341866,CS(=O)(=O)n1c(N)nc2c1c(=O)n(CC1CC1)c(=O)n2CC1CC1,IC50,32000.0,nM,4.5,-8.2
CHEMBL142969,Nc1nc2c(c(=O)n(CC3CC3)c(=O)n2CC2CC2)n1Cc1cccc2ccccc12,IC50,9800.0,nM,5.01,-9.1
CHEMBL357921,Nc1nc2c(c(=O)n(CC3CC3)c(=O)n2CC2CC2)n1S(=O)(=O)c1ccc(Cl)cc1,IC50,900.0,nM,6.05,-8.1
CHEMBL144341,Cc1ccc(S(=O)(=O)n2c(N)nc3c2c(=O)n(CC2CC2)c(=O)n3CC2CC2)cc1,IC50,1200.0,nM,5.92,-7.7
CHEMBL144400,COc1ccc(Cn2c(N)nc3c2c(=O)n(CC2CC2)c(=O)n3CC2CC2)cc1,IC50,140.0,nM,6.85,-6.7
CHEMBL144196,COc1ccc(Cn2c(/N=C3/CCCN3C)nc3c2c(=O)n(CC2CC2)c(=O)n3CC2CC2)cc1,IC50,50.0,nM,7.3,-6.9
CHEMBL358574,CC(C)(C)/N=C\Nc1nc2c(=O)n(CC3CC3)c(=O)n(CC3CC3)c2[nH]1,IC50,22000.0,nM,4.66,-9.3
CHEMBL356138,Nc1nc2c(c(=O)n(CC3CC3)c(=O)n2CC2CC2)n1S(=O)(=O)c1cccc(C(F)(F)F)c1,IC50,37000.0,nM,4.43,-9.7
CHEMBL145515,CN(C)/C=N/c1nc2c(=O)n(CC3CC3)c(=O)n(CC3CC3)c2[nH]1,IC50,56000.0,nM,4.25,-8.5
CHEMBL144374,CCCn1c(N)nc2c1c(=O)n(CC1CC1)c(=O)n2CC1CC1,IC50,14000.0,nM,4.85,-7.8
CHEMBL357851,Nc1nc2c(c(=O)n(CC3CC3)c(=O)n2CC2CC2)n1S(=O)(=O)c1ccccc1,IC50,3600.0,nM,5.44,-7.8
CHEMBL439809,CC(C)S(=O)(=O)n1c(N)nc2c1c(=O)n(CC1CC1)c(=O)n2CC1CC1,IC50,38000.0,nM,4.42,-8.2
CHEMBL356323,Nc1nc2c([nH]1)c(=O)n(CC1CC1)c(=O)n2CC1CC1,Ki,7500.0,nM,5.12,-8.1
CHEMBL144940,Cn1c(N)nc2c1c(=O)n(CC1CC1)c(=O)n2CC1CC1,IC50,20000.0,nM,4.7,-8.2
CHEMBL423559,COc1ccc(Cn2c(/N=C/N(C)C)nc3c2c(=O)n(CC2CC2)c(=O)n3CC2CC2)cc1,IC50,240.0,nM,6.62,-6.4
CHEMBL146165,COc1ccc(S(=O)(=O)Nc2nc3c(=O)n(CC4CC4)c(=O)n(CC4CC4)c3[nH]2)cc1,IC50,68000.0,nM,4.17,-8.9
CHEMBL142782,Nc1nc2c(c(=O)n(CC3CC3)c(=O)n2CC2CC2)n1Cc1ccccc1,IC50,840.0,nM,6.08,-7.8
CHEMBL334291,COc1ccc(CNc2nnc(Cl)c3ccc([N+](=O)[O-])cc23)cc1Cl,IC50,3.5,nM,8.46,-9.5
CHEMBL25616,O=C([O-])C1CCN(c2nc(NCc3ccc4c(c3)OCO4)c3cc(Cl)ccc3n2)CC1.[Na+],IC50,3.7,nM,8.43,10000000000.0
CHEMBL114693,O=[N+]([O-])c1ccc2c(NCc3ccc4c(c3)OCO4)nnc(Cl)c2c1,IC50,9200.0,nM,5.04,-10.9
CHEMBL115936,COc1ccc(CNc2nnc(Cl)c3cc(C#N)ccc23)cc1Cl,IC50,140.0,nM,6.85,-9.9
CHEMBL116276,O=[N+]([O-])c1ccc2c(Cl)nnc(NCc3ccc4c(c3)OCO4)c2c1,IC50,63.0,nM,7.2,-10.1
CHEMBL419215,N#Cc1ccc2c(Cl)nnc(NCc3ccc4c(c3)OCO4)c2c1,IC50,100.0,nM,7.0,-9.8
CHEMBL113667,COc1ccc(C(C)Nc2nnc(Cl)c3ccc(C#N)cc23)cc1Cl,IC50,98.0,nM,7.01,-8.8
CHEMBL324363,COc1ccc(CNc2nnc(Cl)c3ccc(C#N)cc23)cc1,IC50,140.0,nM,6.85,-9.3
CHEMBL112699,CCOc1ccc(CNc2nnc(Cl)c3ccc(C#N)cc23)cc1Cl,IC50,49.0,nM,7.31,-9.3
CHEMBL115732,COc1ccc(CNc2nnc(Cl)c3ccc(C#N)cc23)cc1Cl,IC50,4.8,nM,8.32,-8.9
CHEMBL192,CCCc1nn(C)c2c(=O)[nH]c(-c3cc(S(=O)(=O)N4CCN(C)CC4)ccc3OCC)nc12,IC50,1.0,nM,9.0,-9.5
CHEMBL47841,COc1ccc(C(=O)Nc2cccc(C)c2)cc1OC1CCCC1,IC50,15000.0,nM,4.82,-10.4
CHEMBL336003,O=C(c1cc2ccc(O)cc2o1)N1Cc2c(nc3ccccc3c2O)C1c1ccc2c(c1)OCO2,Ki,0.35,nM,9.46,-9.0
CHEMBL344366,O=C(c1ccccc1)N1Cc2c(nc3ccccc3c2O)C1c1ccc2c(c1)OCO2,Ki,2.49,nM,8.6,-7.7
CHEMBL132689,Oc1c2c(nc3ccccc13)C(c1ccc3c(c1)CCO3)N(c1ncccn1)C2,Ki,1.08,nM,8.97,-8.0
CHEMBL423177,O=C(c1ccc(Br)o1)N1Cc2c(nc3ccccc3c2O)C1c1ccc2c(c1)OCO2,Ki,2.07,nM,8.68,-8.1
CHEMBL138799,O=C(c1cccnc1)N1Cc2c(nc3ccccc3c2O)C1c1ccc2c(c1)OCO2,Ki,3.32,nM,8.48,-7.1
CHEMBL45934,COc1ccc(C(=O)Nc2ccccc2C#N)cc1OC1CCCC1,IC50,35000.0,nM,4.46,-9.8
CHEMBL341092,Oc1c2c(nc3ccccc13)C(c1ccc3c(c1)OCO3)N(c1ncccn1)C2,Ki,1.2,nM,8.92,-7.7
CHEMBL416815,COC(=O)c1ccccc1NC(=O)c1ccc(OC)c(OC2CCCC2)c1,IC50,5500.0,nM,5.26,-9.1
CHEMBL45687,COc1ccc(C(=O)Nc2ccccc2[N+](=O)[O-])cc1OC1CCCC1,IC50,65000.0,nM,4.19,-10.2
CHEMBL284594,CN(C)CCN1CC(=O)N2[C@H](c3ccc4c(c3)OCO4)c3[nH]c4ccccc4c3C[C@@H]2C1=O,IC50,134.0,nM,6.87,-6.2
CHEMBL284258,CCCN1CC[C@@H](N2CC(=O)N3[C@H](c4ccc5c(c4)OCO5)c4[nH]c5ccccc5c4C[C@@H]3C2=O)C1,IC50,57.0,nM,7.24,-8.6
CHEMBL351744,Cc1ncc(-c2cnc(N3CCc4c([nH]c5ccccc45)C3c3ccc4c(c3)CCO4)nc2)n1C,Ki,24.0,nM,7.62,-9.7
CHEMBL30936,O=C1[C@H]2Cc3c([nH]c4ccccc34)[C@@H](c3ccc4c(c3)OCO4)N2C(=O)CN1CCN1CCOCC1,IC50,56.0,nM,7.25,-7.8
CHEMBL34628,C=CCCN1CC[C@@H](N2CC(=O)N3[C@H](c4ccc5c(c4)OCO5)c4[nH]c5ccccc5c4C[C@@H]3C2=O)C1,IC50,4.0,nM,8.4,-6.6
CHEMBL779,CN1CC(=O)N2[C@H](c3ccc4c(c3)OCO4)c3[nH]c4ccccc4c3C[C@@H]2C1=O,IC50,1.2,nM,8.92,-8.1
CHEMBL322272,CCn1c(=O)c2c(nc(NC3CCCCC3)n2Cc2cccc(O)c2)n(CC)c1=O,IC50,1.2,nM,8.92,-7.3
CHEMBL541830,COc1ccc(CNc2nnc(N3CCC(O)CC3)c3ccc(C(N)=O)cc23)cc1Cl.Cl,IC50,2.0,nM,8.7,10000000000.0
CHEMBL323746,CCn1c(=O)c2c(nc(NC3CCCCC3)n2Cc2cccc(OC)c2)n(CC)c1=O,IC50,100.0,nM,7.0,-7.0
CHEMBL553075,COc1ccc(CNc2nnc(N3CCC(=O)CC3)c3ccc(C#N)cc23)cc1Cl.Cl,IC50,0.53,nM,9.28,10000000000.0
CHEMBL440705,CCn1c(=O)c2c(nc(NC3CCCCC3)n2Cc2ccccc2)n(CC)c1=O,IC50,12.0,nM,7.92,-6.9
CHEMBL321764,CCn1c(=O)c2c(nc(NC3CCCCC3)n2Cc2ccc3c(c2)OCO3)n(CC)c1=O,IC50,3.7,nM,8.43,-7.6
CHEMBL106447,CCn1c(=O)c2c(nc(NC3CCCC3)n2Cc2ccc(O)c(Cl)c2)n(CC)c1=O,IC50,1.8,nM,8.74,-7.8
CHEMBL544548,COc1ccc(CNc2nnc(N3CCCC(O)C3)c3ccc(C#N)cc23)cc1Cl.Cl,IC50,1.2,nM,8.92,10000000000.0
