smiles,docking,source,rank
[C@@]1(c2ccccc2)NC(=O)N(CC(=O)c2cccc3ccccc23)C1=O,-12.5,AIEMG,1
[C@@]1(CCc2cccc3ccccc23)[C@@H](C(=O)NCCc2c[nH]c3ccccc23)c2ccccc21,-12.4,AIEMG,2
Cc1ccc(-c2cc(C(=O)Nc3cccc(C(=O)[O-])c3)ccc2F)cc1C,-12.4,AIEMG,3
[N+]1=N/C(=C/c2ccc(-c3ccccc3)o2)C(=O)N1c1ccccc1,-12.3,AIEMG,4
CCCOc1ccc(-c2n[nH]c(-c3ccccc3)n2)cc1-c1nc2c(c(C)nn2C)c(=O)[nH]1,-12.3,ChEMBL,5
Fc1ccc(-c2ncc([C@@H]3CCCN3C(=O)c3ccccc3)o2)c(N2CCOCC2)c1,-12.2,AIEMG,6
[C@]1(c2cc(F)cc(F)c2)NC(=O)N1c1ccc(CC(=O)Nc2cccc(C#N)c2)cc1,-12.2,AIEMG,7
COc1ccc(-c2ccc(=O)n(Cc3ccccc3)n2)c2cc(C(C)C)nn12,-12.2,ChEMBL,8
Fc1cc(-c2nc(C[C@@H](C(=O)c3ccc(Cl)cc3)C(F)F)ccc2F)c(Cl)cc1Cl,-12.2,AIEMG,9
[C@@](C#Cc1nc2ccccc2c(=O)n1[C@@H]1CCCCC1=O)c1ccc(C(F)(F)F)cc1,-12.2,AIEMG,10
[N+]=Cc1cccc(/C=C2\C(=O)N(Cc3ccccc3)N=C2Cc2ccc3c(c2)CC(=O)N3)c1,-12.2,AIEMG,11
Cc1ccc(Cn2nc(-c3nnc4c(n3)NC(=O)C43CC3)c3ccc(C)nc32)c(F)c1,-12.1,ChEMBL,12
COc1ccc(C2=NN(Cc3ccccc3)C(=O)CC2)c2cc(C(C)C)nn12,-12.1,ChEMBL,13
COc1ccc(NC(=O)[C@H](C)Nc2nc3c(cnn3C3CCCC3)c(=O)[nH]2)cc1,-12.1,ChEMBL,14
Fc1ccccc1CN1CC[C@@H](c2cccc(OCc3ccccc3C)n2)c2ccccc21,-12.1,AIEMG,15
COc1ccc(NC(=O)[C@@H](C)Nc2nc3c(cnn3-c3ccccc3Cl)c(=O)[nH]2)cc1,-12.0,ChEMBL,16
Cc1ccc(Cn2nc(-c3nnc4c(n3)NC(=O)C4(C)C)c3cc(F)c(C)nc32)c(F)c1F,-12.0,ChEMBL,17
FC(F)(F)c1cccc(Cn2cnnc2-c2ccccc2)c1,-12.0,AIEMG,18
Clc1cccc(-c2noc(CSc3nnnn3-c3ccccc3F)c2N2CCN(C(=O)C3CCCC3)CC2)c1,-12.0,AIEMG,19
Clc1ccccc1Oc1cccc(O[C@H](Cc2ccccc2F)C(=O)c2ccccc2)c1,-12.0,AIEMG,20
CCOc1ccc(Cc2ccc(CCC(=O)NO)cc2)cc1-c1nc2c(CC)nn(C)c2c(=O)[nH]1,-11.9,ChEMBL,21
Clc1ccc(-c2n[nH]cc2Cn2cccc(C(F)(F)F)c2=O)cc1,-11.9,AIEMG,22
CCOc1ccc(CC2CCC(CC(=O)NO)CC2)cc1-c1nc2c(CC)nn(C)c2c(=O)[nH]1,-11.9,ChEMBL,23
[C@H](C(=O)N[C@@H]1CCCC[C@@H]1Cc1c[nH]c2ccccc12)c1ccc(F)cc1,-11.9,AIEMG,24
[C@](C#Cc1nc(-c2ccccc2)no1)c1cc(F)ccc1Oc1ccccc1,-11.9,AIEMG,25
Fc1ccc(-c2cccc(NC(=O)COc3cccc(Cl)c3)c2)cc1,-11.9,AIEMG,26
[C@H]1c2ccc(C(=O)Nc3nc(Cc4ccccc4Cl)c[nH]3)cc2NC1=O,-11.9,AIEMG,27
CCCOc1ccc(-c2n[nH]c(-c3ccccc3)n2)cc1-c1nc2c(c(C)nn2CC)c(=O)[nH]1,-11.9,ChEMBL,28
[C@H](c1cc(C(F)(F)F)ccc1OC(=O)[C@@H]1CC[C@H](c2ccccc2)[NH2+]1)c1ccccc1,-11.9,AIEMG,29
c1cccc2c1Nc1cc(CNS(C)(=O)=O)cc(-c3ccc4c(c3)OCCO4)c12,-11.9,AIEMG,30
CN1CCN(C(=O)c2cccc(-c3cc(Cl)c4c(c3)C3(CCCCC3)NC(=O)N4)c2)CC1,-11.8,ChEMBL,31
Cc1nc2c(cc1F)c(-c1nnc3c(n1)NC(=O)C3(C)C)nn2Cc1ccc(Cl)cc1F,-11.8,ChEMBL,32
Cc1ccc(Cn2nc(-c3nnc4c(n3)NC(=O)C4(C)C)c3cc(F)c(C)nc32)c(F)c1,-11.8,ChEMBL,33
Cc1cccc(Cn2nc(-c3nnc4c(n3)NC(=O)C4(C)C)c3cc(F)cnc32)c1F,-11.8,ChEMBL,34
Cc1nn(Cc2cccc(OP(=O)(O)O)c2)c(=O)c2nc(C)n3nc(-c4ccccc4)cc3c12,-11.8,ChEMBL,35
Cc1ccc2nc(CCc3nc(-c4ccccc4)cn3C)n3nc(C)cc3c2c1,-11.8,ChEMBL,36
[C@@](C#Cc1ccc(C(=O)Nc2ccccc2C(F)(F)F)cc1)C(=O)Nc1cnccn1,-11.8,AIEMG,37
Clc1cnc(-c2cc(F)cc(Oc3ncnc4ccccc34)n2)cc1,-11.8,AIEMG,38
