smiles,docking,source,rank
FN(C(=O)c1ccccc1F)c1nc([C@H]2CCCN(C(=O)c3ccccn3)C2)nc2cccc(F)c12,-12.0,AIEMG,1
FC(F)(F)c1ccccc1NC(=O)c1cc2cccc[n+]2c2nc([C@H]3CC[NH+](Cc4ccccc4)C3)[nH]c12,-11.6,AIEMG,2
C[C@]12O[C@H](C[C@]1(O)CO)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)CNC4=O,-11.6,ChEMBL,3
Fc1ccccc1CC1CCN(C(=O)c2cc(-c3ccccc3F)[nH]c(=O)c2Cl)CC1,-11.1,AIEMG,4
[C@@](C#Cc1nc2ccccc2n1-c1ccc(F)cc1F)c1nc(C2CCCC2)oc1N1CCCC1,-11.1,AIEMG,5
c1cnc2ccc(Nc3ncnc4ccc(-c5cnn(C6CCNCC6)c5)cc34)cc2c1,-11.076,ChEMBL,6
C=CC(=O)Nc1cccc(-n2c(=O)cc(C)c3cnc(Nc4ccc(N5CCN(C)CC5)cc4)nc32)c1,-11.072,ChEMBL,7
C=CC(=O)Nc1cccc(Nc2nc(Nc3ccc(CC(=O)N4CCOCC4)cc3)ncc2Cl)c1,-11.007,ChEMBL,8
N=c1oc2ccccc2cc1C(=O)N/N=C1\C(=O)Nc2ccc(S(=O)(=O)N3CCOCC3)cc21,-11.003,ChEMBL,9
[C@@]1(CCc2cccc3ccccc23)[C@@H](C(=O)NCCc2c[nH]c3ccccc23)c2ccccc21,-11.0,AIEMG,10
[C@@](C(=O)c1ccc(C(=O)N2CCN(Cc3ccc(Cl)c4ccccc43)CC2)cc1OCc1ccccc1)c1ccccc1,-11.0,AIEMG,11
C=CC(=O)N1CCC[C@@H](n2nc(-c3ccc(F)c4ccccc34)c3c(N)ncnc32)C1,-10.986,ChEMBL,12
Cc1ccc(N2NC(=O)/C(=C\c3ccc(-c4cc([N+](=O)[O-])ccc4O)o3)C2=O)cc1C,-10.947,ChEMBL,13
CNC1CC2OC(C)(C1OC)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)C(=O)NC4,-10.925,ChEMBL,14
O=C1Nc2ccccc2N/C1=C\C(=O)c1cccc2ccccc12,-10.917,ChEMBL,15
[NH2+][C@]1(CNS(=O)(=O)c2cccc(F)c2)Cc2ccccc2C(=O)N1C(c1ccccc1)c1ccccc1,-10.9,AIEMG,16
C=CC(=O)Nc1cccc(Nc2nc(Nc3ccc(Oc4ccnc(C(=O)NC)c4)cc3)ncc2F)c1,-10.9,ChEMBL,17
Cc1cc2cc(n1)-c1cnn(C)c1OCCCCCN1/C(=N/C2=O)Nc2ccccc21,-10.825,ChEMBL,18
Cc1cc(/C=C2\C(=O)Nc3ncnc(Nc4ccc(F)c(Cl)c4)c32)[nH]c1C(=O)N1CCN(C)CC1,-10.8,ChEMBL,19
[C@@]1(C(=O)Nc2cccc(C(F)(F)F)c2)CCC2=C(C1)NN2CC(=O)NC(c1ccccc1)c1ccccc1,-10.8,AIEMG,20
Nc1ncnc2c1c(-c1ccc(F)c(O)c1)nn2Cc1ocnc1-c1ccccc1,-10.8,ChEMBL,21
[C@]1(c2ccccc2)[C@H](C(=O)NCCC2=c3ccccc3=[NH+]C2)N1C(=O)c1ccc(F)cc1,-10.8,AIEMG,22
C=CC(=O)Nc1cccc(-n2c(=O)c(-c3ccccc3)nc3cnc(Nc4ccc(OC)cc4)nc32)c1,-10.734,ChEMBL,23
Cc1cc(C(=O)N2CCOCC2)[nH]c1/C=C1\C(=O)Nc2ncnc(Nc3ccc(F)c(Cl)c3)c21,-10.7,ChEMBL,24
Cc1cc(C(=O)N2CCN(C)CC2)[nH]c1/C=C1\C(=O)Nc2ncnc(Nc3ccc(F)c(Cl)c3)c21,-10.7,ChEMBL,25
O=C1CNCCN(Cc2ccn3ncnc(Nc4ccc5c(cnn5Cc5cccc(F)c5)c4)c23)C1,-10.7,ChEMBL,26
C=CC(=O)Nc1cccc(Oc2nc(Nc3n[nH]c4ccccc34)cc(N3CCN(C(C)=O)CC3)n2)c1,-10.685,ChEMBL,27
C=CC(=O)N1CCC2(CC1)CNC(=O)c1cc(-c3ccnc(Nc4ccccc4OC(C)C)n3)[nH]c12,-10.616,ChEMBL,28
Cc1cc(=O)n(-c2ccc(F)cc2)nc1C(=O)Nc1ccc(Oc2ccnc3[nH]ccc23)c(F)c1,-10.606,ChEMBL,29
NCCn1cc(-c2cc(-c3cc4ccccc4s3)c3[nH]ncc3c2)c2nc(N)ncc21,-10.6,ChEMBL,30
O[C@@H]1CNCCN(Cc2ccn3ncnc(Nc4ccc5c(cnn5Cc5cccc(F)c5)c4)c23)C1,-10.6,ChEMBL,31
Cc1ccc(NC(=O)c2ccc(CN3CCN(C)CC3)cc2)cc1Nc1nccc(-c2cccnc2)n1,-10.6,ChEMBL,32
O=C1NC(=O)c2c1c1c3cccc(O)c3[nH]c1c1[nH]c3c(O)cccc3c21,-10.6,ChEMBL,33
C=CC(=O)N1CCC(n2c(NC(=O)c3cccc(C(F)(F)F)c3)nc3cc(C)ccc32)CC1,-10.595,ChEMBL,34
C=CC(=O)Nc1cccc(N2C(=O)N(C)Cc3cnc(Nc4ccc(N5CCN(C)CC5)cc4)nc32)c1,-10.577,ChEMBL,35
C=CC(=O)N1CCC2(CC1)CNC(=O)c1cc(-c3ccnc(Nc4ccccc4OC)n3)[nH]c12,-10.513,ChEMBL,36
[C@H](C)c1c(C(=O)N2CCC[C@H](C(=O)NCCc3ccccc3)C2)cccc1NC(=O)c1ccc(F)cc1,-10.5,AIEMG,37
Fc1cccc(Cn2ncc3cc(Nc4ncnn5ccc(CN6CCCNCC6)c45)ccc32)c1,-10.5,ChEMBL,38
NC(=O)C1CCN(Cc2ccn3ncnc(Nc4ccc5c(cnn5Cc5cccc(F)c5)c4)c23)CC1,-10.5,ChEMBL,39
[C@@]1(Cc2cnc(-c3cccnc3)nc2CN2CCO[C@H]3CCC[C@@H]32)Cc2ccccc21,-10.5,AIEMG,40
