smiles,egfr,qed,sa,her2
[C@@]1(C(=O)Nc2cccc(C(F)(F)F)c2)CCC2=C(C1)NN2CC(=O)NC(c1ccccc1)c1ccccc1,-10.8,0.384,2.977502515934105,-11.7
[C@@](C(=O)c1ccc(C(=O)N2CCN(Cc3ccc(Cl)c4ccccc43)CC2)cc1OCc1ccccc1)c1ccccc1,-11.0,0.25,2.6556629190135226,-11.2
Clc1cccc(-c2noc(CSc3nnnn3-c3ccccc3F)c2N2CCN(C(=O)C3CCCC3)CC2)c1,-10.1,0.36,2.8429363670984813,-12.0
[N+]n1cc(-c2ccccc2)nc1C[NH+]1CCC[C@H](c2ncc(-c3cc(F)ccc3)OC2)C1,-10.2,0.757,4.773175623726271,-11.6
[C@@][C@](CC(=O)NCc1ccc(Cl)cc1)CN1C(=O)c2ccccc2N1C1CC(C)(C)Oc2ccccc21,-9.9,0.436,3.5915580375170766,-11.8
Clc1ccc(S(=O)(=O)N2CC[NH+](CCCCc3cccc(-c4ccccc4)c3)CC2)cc1,-10.1,0.588,2.932591519070876,-11.6
[C@@]1(c2ccccc2)NC(=O)N(CC(=O)c2cccc3ccccc23)C1=O,-9.1,0.664,2.358270104848277,-12.5
[N+]=C1C([O-])=C(C(=O)c2ccccc2Cl)[C@H]1C(=O)N1CCN(c2ccc3ccccc3c2)CC1,-10.2,0.643,3.3783768495417013,-11.2
Clc1cnc(-c2cc(F)cc(Oc3ncnc4ccccc34)n2)cc1,-9.5,0.616,2.482902237230384,-11.8
Clc1ccc(-n2ccnc2-c2ccc(/N=C/C(=O)Nc3ccccc3Cl)o2)cc1,-9.6,0.492,2.818496789653093,-11.7
Clc1ccccc1Oc1cccc(O[C@H](Cc2ccccc2F)C(=O)c2ccccc2)c1,-9.2,0.35,2.570658857980309,-12.0
Clc1cccc(-c2nc(CNc3ccccc3)nc(-c3ccccc3)n2)c1,-10.0,0.584,2.03006076953033,-11.2
[C@@](C#Cc1ccc(C(=O)CS(=O)(=O)[C@@H](C#N)c2ccccc2)cc1)c1ccc2c(c1)CCC2,-9.7,0.488,3.50944209202598,-11.4
[N+]/c1/C(=C/CSc2nc3ccccc3s2)c(O)c2c1Cc1ccccc1-2,-9.4,0.723,3.3256201777227696,-11.6
Clc1nc(-c2ccc3ccccc3c2)oc1N1CCN(c2ncccn2)CC1,-9.6,0.6,2.457611622512525,-11.4
[C@@]1(CCc2nnc(NC(=O)Cc3ccccc3)s2)CCCc2ccccc21,-9.4,0.763,2.5040440387611,-11.4
[C@]1(CC(=O)c2ccccc2)O[C@@H](Cc2ccccc2)Nc2cc(Br)ccc21,-10.0,0.624,3.110761067810936,-10.8
Fc1ccc(-c2cccc(NC(=O)COc3cccc(Cl)c3)c2)cc1,-8.9,0.766,1.673355082330488,-11.9
[N+]1=C(CC2=cc3ccccc3=[NH+][C@H]2SC(=O)c2ccc(F)cc2)NC[C@]1(O)C(F)(F)F,-9.9,0.641,5.325761780429092,-10.9
[C@](O)(CNC(=O)c1cccc(C(=O)N2CCOCC2)c1)c1cccc(C)c1,-9.6,0.9289999999999999,2.2716736141856746,-11.2
[N+]1=CCCC[C@@H]1c1cccc(/N=C/c2cn(-c3ccccc3Cl)nc2OC(F)F)c1,-9.5,0.566,4.059535724347205,-11.2
[N+]1=C2C=C[C@H](Oc3cc(Cc4ccccc4)c([O-])o3)C(=O)N2C(c2ccco2)=N1,-9.7,0.743,4.527908806920223,-11.0
[C@]1(C(=O)NCc2cccc(F)c2F)[C@H]2CN(CCC3=NC(=O)CCN3)C(=O)C[C@H]21,-9.4,0.82,4.082440129744699,-11.2
[C@@]1(CCNC(=O)N[C@@H](c2ccccc2)[C@@H](O)c2ccccc2)c2ccccc2C1,-8.9,0.647,3.1899542606353286,-11.6
[N+]1=CC[C@H](c2ccccc2)C1NC(=O)N1CC=C(c2ccccc2)CC1,-9.2,0.89,3.727445732262314,-11.3
Cl[C@@H](Cc1nc2ccccc2n1[C@@H]1CCCC[C@@H]1C[NH3+])CN1C(=O)N(c2ccccc2)C1=O,-9.9,0.609,4.100310669018215,-10.6
