smiles,qed,sa,egfr,her2
O=C(Nc1ccc2c(c1)CCCC2)c1ccc2c(c1)N(C(=O)c1ccccc1)CC2,0.6657,3.0651,-10.0,-12.5
Cc1cccc(C(=O)N2CCC(C(=O)Nc3ccccc3C(=O)Nc3ccccc3F)CC2)c1,0.5609999999999999,2.9793,-11.0,-10.3
Cc1cc(C)cc(C(=O)Nc2nnc(-c3cccc(C(F)(F)F)c3)o2)c1,0.7288,3.1898,-10.2,-10.9
O=C(c1cccc(NC(=O)C(=O)N2CCC[C@H](c3nc4ccccc4s3)C2)c1)N1CCCC1,0.5892,3.7736,-10.3,-10.6
CCc1ccc(C(=O)N2CCC[C@@H](c3nc(-c4ccc(C)cc4)no3)C2)cc1,0.6571,3.4921,-9.9,-10.8
O=C(Nc1ccccc1C(=O)Nc1cc(Cl)ccc1Cl)c1cccc2ccccc12,0.3671,2.8164,-10.3,-9.9
O=C(Nc1cccc(N2CCCC2=O)c1)c1ccc2c(c1)CCC(=O)N2,0.8841,3.1493,-9.5,-10.5
Cc1nc(-c2ccccc2)c(C(=O)Nc2cccc(C(=O)NCc3ccccc3)c2)s1,0.4286,2.9619,-9.4,-10.6
O=C(Nc1ccccc1)c1ccc(C(=O)N2CCC(c3nc4ccccc4s3)CC2)cc1,0.4404,3.0028,-9.4,-10.5
COc1cc([C@H]2CC(=O)NC(=O)C2=NN2CCN(C(=O)c3ccccc3)CC2)ccc1O,0.6900999999999999,4.1666,-9.1,-10.8
Cc1noc(-c2ccc(NC(=O)c3cccc(OCc4ccccc4)c3)cc2)n1,0.502,2.8995,-9.5,-10.4
O=C(Nc1ccccc1OCc1ccccc1)[C@H]1CCCN(C(=O)c2ccccc2)C1,0.6229,3.265,-9.6,-10.2
O=C(Nc1cccc(N2CCCC2)c1)c1ccc2c(c1)C(=O)N(Cc1cccnc1)C2=O,0.6189,3.151,-9.7,-10.1
O=C(c1cccc2c1OCCO2)c1ccc(S(=O)(=O)N2CCC(Cc3ccccc3)CC2)cc1,0.4843,3.3192,-10.0,-9.7
