smiles,egfr,her2,qed,sa
Cc1cc(N)cc(C2=CC(O)=CC(F)(N=C(F)N(C)C3=CC=CC3)C2)c1C,-9.80,-9.80,0.3444,4.5177
CC1(N)C=C(C2=CC(C3(NC4=C(C(=O)F)C(=O)C=CC4=O)NC3=O)=C(O)C(C(N)=O)=N2)C=CC1,-9.70,-9.80,0.1546,4.8349
C=C1OC=C(C)C(C2=CC(C3=CC=CC=C3)=CC=C2)=C1C1=CC=NC=C1,-9.70,-9.70,0.5753,2.6739
CC1=C(c2ccccc2)OC(C(C)=C2C=CC(c3ccc(C)cc3)=NN2)=C(C2(O)C=CCC2)C1,-9.90,-9.30,0.5361,4.0935
CC1=CC([SH](C)C2(F)CC=CC2)=C2C(C)=C(C)C(C3=C(C)C=COC3)=NC2C1,-9.60,-9.60,0.4391,5.5020
CC1=CC=C(N(S)C2=C(C)C(C3=C(F)C=CC=C3)=C(F)C(C)=C2)C=C1C,-9.60,-9.60,0.4942,2.7803
CC1=C(C)C(C2(c3cccc(C)c3)C=CN(C)CO2)=CC(C)(C2C=CCC2)O1,-9.50,-9.50,0.6402,4.7455
CCC1=C(C2=CC(N)=CC=C2)C(C)=CC(C(Cl)=C2C(C)=CSC=C2C)=C1,-9.50,-9.50,0.5636,3.3164
CC1=C(Br)C(N)=C(c2cc(C3=CCC=C3)cc(C(C=O)C(C)O)c2)C(=O)[SH]1N,-9.40,-9.40,0.3957,5.1355
CC1=CC=CC(C2=C(C)N=C(C)C(C3=C(N)C(C)=C(C)C=C3)=C2C)=C1N,-9.40,-9.40,0.6086,2.7190
Cc1cnccc1NC1=C(C(O)=Nc2ccccc2)CC(C2CC=CC2)=CN1,-9.30,-9.30,0.3858,3.4586
CC(=O)C(=O)C1(C)C(C2=CCC(C3=CC=CC=C3)=C(C)O2)=CC(N)=CN1C=O,-9.30,-9.30,0.6285,4.2428
CC1=C(F)CC(C2(C)C(=O)C(=O)C(F)=NN2C(=O)O)=C2C=CNC(N)=C12,-9.30,-9.30,0.6040,4.7043
CC1=C(C)C(N)=C(C2C(=O)C(=O)NC(F)C2(N)C2=CC=CC=C2)C=C1Cl,-9.20,-9.20,0.4264,4.1285
CC1=C(N)C=C([SH]2C=CC3(C)C(C)=C(O)N=CC3=C2C2CN2C=O)C=C1,-9.20,-9.10,0.3305,5.6965
CNC1=C(C2(Br)C=CC=CC2)C(C)=C(C2=C(N)C(C)=CC=C2N)C(O)=C1,-9.10,-9.10,0.4213,3.9158
CC(=O)C(O)(C1=CNN(C2=C(C)C(C)=CC=C2)C(C)=C1)C1=CC(C)C(N)(C2CN2)C(C)=C1,-9.00,-9.10,0.5319,4.9904
CCc1cc(C2C=C(NC3=CC(O)CC3)C(F)=C(C=O)C2[SH]=O)ccc1C,-9.10,-9.00,0.5171,4.9794
CC1=CC(Br)(c2c(N)c(-c3ccc(C)cc3C)c(N)c(C(=O)F)c2O)NC1,-9.00,-9.00,0.1921,4.0556
CCC1=C(C2=NC(C)N=C(C3=CC=CC3)O2)C2=CC=CSC2=C(NC)N1C,-9.00,-9.00,0.7929,4.9831
Cc1c(O)c(Oc2cccnc2)c(C2=CCC=C2)c(C)c1-c1ccccc1,-9.00,-9.00,0.6051,2.8180
CC1=CC(O)=C(C2=CC(N)=C(C)N(C3=C(N)N(N)C(O)=C(N)N3)O2)C=C1,-9.00,-9.00,0.3558,3.9894
CC(C)(F)c1c(C2(F)CCC=C2N)cc([SH]=O)c(C(=O)N2C=CCC=N2)c1F,-8.80,-8.80,0.7452,5.1979
C=C1NC(C2(N)CC=CC2)=C(C2=CNC=CO2)C(C)=C1Nc1c(C)cccc1O,-8.80,-8.80,0.3974,4.2237
COC(C)(O)C1(C2=CC=CC=C2)C=CC(C2=CC=C(C)C(C)=C2)=C(C)O1,-8.80,-8.70,0.7996,3.7985
CC1(N)C=CC(c2ccccc2)(C(C)(N)NC2(Cl)NC(F)=C(N)C=C2N)C1,-8.70,-8.70,0.1982,5.2272
CC1=C(C)C(C)=C(C)C(N(C)C2=C(Cl)C(CS)=CC(C3(C)CCC3)=C2)=C1,-8.70,-8.70,0.5419,3.2885
CC1=CC(C=O)(C2=C(O)N(c3cccc(C)c3)C(N)=C(OC3(O)C=CCC3)C2)OC=C1,-8.60,-8.70,0.3783,4.8989
CC1=C(F)C(C2(O)C=CC=C(N)C2=O)=C(F)C(C(=O)C2(C)OC2N)=C1N,-8.60,-8.60,0.3419,4.9533
CCc1cc(N(C)c2c(N)c(C3(O)C=C(C)CC3)cc(C)c2C=O)cc(O)n1,-8.60,-8.60,0.4143,4.1308
CCC1OC(OC2(C=O)CC=CC2(O)CN)=NC(C2=C(F)C=CN(C)C2)=C1CN,-8.70,-8.50,0.4371,5.6069
CC(=O)C1=C(C)CC(F)(C2=CCC=C(N)N2)C(C2=CC(C)=CNC2C)=C1,-8.60,-8.60,0.7255,5.2065
C=C1C(C2=CC=C(C3=CCC(N)=CO3)C(N)=C2)=C(N)NC(=O)C1(N)C(C)=O,-8.60,-8.60,0.3823,4.4789
CNc1c(CO)nc(-c2c(O)c(C)c(O)c(O)c2O)c(F)c1N1C=CCC1,-8.60,-8.60,0.3536,3.6301
CC1=CC(O)=C(c2ccncc2)C(F)(C=O)N1C1=CC(C)=C2CCC=C2N1C,-8.60,-8.60,0.6296,4.4574
CC1=CN(C2=C([SH]=O)C(=O)NC3C=NC=CC23C(N)=O)C=C(C(=O)C(C)C2=CCCC2=O)C1,-8.60,-8.60,0.4906,5.7804
CN(C(=O)C(=O)C1=NC(CN)CC=C1C1=CC=CC=C1)C1=CC=CC=N1,-8.60,-8.60,0.8356,3.5610
CNC1C=C(C)C=C(C(C)(CC2(F)CC(C)=C(F)C(C)=C2O)OC)N1C,-8.60,-8.60,0.7598,5.1973
CCc1ccc(C2=CN(C#N)C(C3=C(CCl)C4=C(C)CCC4(N(C)C)C(N)=N3)=C(C)C2)c(C)c1O,-8.60,-8.60,0.4284,4.7524
CCN(C)C(C)c1c(F)cc(F)c(F)c1-c1ccc(C2=CCC=C2)c(C)n1,-8.70,-8.50,0.6140,3.6858
C=CC1=C(CC)C(F)(C2=C(O)C=CC=C2)C=C(C2=C(NC)C=CC=N2)N1,-8.60,-8.50,0.7429,3.9201
CCN(c1ccc(C)cc1C=O)C(NO)N1C=C(CC2(C3(O)CC=CC3)CC=CC(C)=C2S)C(S)=C(C)C1,-8.50,-8.60,0.0859,5.2856
