smiles,qed,sa,egfr,her2,dual_docking
Nc1cccc(-c2cc3c(cc2Cc2ccccc2F)OC([NH+]2CCc4ccccc4C2)CO3)c1,0.4375,4.5,-8.3,-7.0,-7.65
C[C@@H]1CCCN(C(=O)c2cccc([C@@H](Oc3ccc(-c4ccc(C#N)cc4)cc3)C(=O)N3CCCC3)c2)C1,0.4202,5.0,-8.2,-6.6,-7.4
Cc1nc(C2CCNC(C(=O)NCc3cnc(-c4ccc(F)cc4F)cc3[C@@H]3CCO[C@@H]3C)C2)cs1,0.4946,5.0,-8.3,-6.4,-7.35
C#Cc1cc2c(cc1-c1ccc(C[NH+]3CCC[C@H](C)C3)cc1C[NH+]1CCCC[C@H]1C)OCO2,0.6915,4.2,-8.0,-6.7,-7.35
C[C@H]1CCC(c2ccc3c(c2)OCO3)(c2cccc3[nH]ccc23)CN1C(=O)N[C@@H]1CCS(=O)(=O)C1,0.5787,5.0,-7.7,-6.8,-7.25
Cc1ccc(C(=O)N2CC(N(Cc3ccccn3)C(C)NC(=O)c3ccoc3C)CCCC2N)cc1F,0.4689,5.0,-7.3,-7.2,-7.25
C[C@@H]1O[C@@H](C)CC(c2ccc([C@@H](N)C#N)cc2F)C1(Nc1ccc(C(N)=O)cc1)[C@H]1CC[NH2+][C@@H]1C,0.5047,5.0,-7.7,-6.7,-7.2
CNC(=O)c1ccc(C2COC[C@@H](Cc3cc(-c4cc(Br)ccc4OC)no3)O2)cc1,0.5623,5.0,-7.8,-6.6,-7.2
CCOC(N[C@H]1[CH]CCC(Cc2ccc(F)c(F)c2)C1)c1cccc(N)n1,0.7139,4.8,-6.8,-7.5,-7.15
Cc1cc(C2=C[C@@H]([NH3+])C[C@@H]2C2C(Nc3cncc(-c4nncn4C)c3)C[C@@H](C)C[C@@H]2C)on1,0.6195,5.0,-7.9,-6.4,-7.15
Cc1cc(Cl)ccc1NC1C(Nc2cncc(-c3nncn3C)c2)C[C@@H](C)C[C@@H]1C,0.5912,4.6,-7.5,-6.5,-7.0
NCc1cc(CNc2cccc(-c3cc4c(cc3Cc3c(F)cccc3F)OCCO4)c2)on1,0.3991,5.0,-7.7,-6.3,-7.0
C#Cc1cc2c(cc1-c1ccc(C(=O)NC)cc1C[NH+]1CCCC[C@H]1C)OCO2,0.7872,3.5,-7.4,-6.5,-6.95
COc1ccc(C(=O)[C@@H]2CC(C(=O)Nc3ccc(C(=O)Nc4nccs4)cc3C)CO2)cc1Br,0.418,5.0,-7.1,-6.8,-6.95
CCn1nc(C)c(NC2(C(=O)N3CCC(C)CC3)C[C@@H](C)CN(C=O)C2[C@@H](O)C2CC2)c1C,0.6118,5.0,-6.6,-7.3,-6.95
