smiles,qed,sa,egfr,her2,true_docking_score
F[C@@]12OCCCc3ccc(S(=O)(=O)N4CCCC[C@@H]4C3)cc2C1,0.6808,5.9828,-15.1,-17.490000000000002,
N/[NH+]=C1/NC(=S)NC(SCC(=O)N/N=C/c2cccc3cc(-c4cccc(O)c4)oc23)C1=O,0.1201,4.1336,-10.5,-11.290000000000001,
Cc1ccc2[nH]c(=O)ccc2c1NC(=O)[C@@H](NC(=O)c1c(F)cccc1F)c1cccc(Cl)c1,0.3793,2.8985,-11.4,-10.39,
Oc1cc2[nH]c(=O)ccc2n1Cc1cccc(S(=O)(=O)N[C@H]2CCOc3ccccc32)c1,0.4318,3.1195,-9.9,-11.790000000000001,
N[C@]1(c2ccc3c(c2)CCC3)CCCN(Cc2noc(-c3ccccc3Br)n2)C1,0.6329,3.1871,-9.9,-11.790000000000001,
F[C@]12CCC[C@H]1C[C@@H](COc1ccccc1)/C2=C\c1ccc2ccccc2c1,0.4875,3.5674,-10.7,-10.99,
C[C@@]1(SCc2ccc3ccccc3c2)CCCN1C(=O)COc1ccccc1C(F)(F)F,0.4209,3.1908,-10.2,-11.39,
O=c1o[C@H](C(=O)NCc2ccccc2)nc1-c1cn(-c2ccccc2)nc1-c1ccc(F)cc1,0.4508,3.1164,-10.7,-10.690000000000001,
O[C@H]([C@@H]1CC[NH+](Cc2cccc3ccccc23)C1)[C@H]1CCOc2ccccc21,0.7355,4.3427,-9.5,-11.89,
FCCS(=O)(=O)c1ccc(S(=O)(=O)Nc2ccc3c(c2)[C@@H](CC(=O)c2ccc(F)cc2)CCCC3)cc1,0.2838,3.0701,-9.9,-11.39,
c1coc(-c2ccccc2)c1CN1CC[C@H](Nc2ccc(F)cc2)c2ccccc21,0.4079,2.8085,-9.1,-12.190000000000001,
Oc1cc(-c2nc3ccccc3n2-c2ccc(F)c(Cl)c2)cc(OCc2ccccc2)c1,0.3251,2.2279,-9.7,-11.39,
O=C([C@H]1CCC[C@H]1c1nc(C2CCCCC2)no1)N1CCc2ccc(F)c(F)c2C1,0.7181,3.5183,-9.7,-11.290000000000001,
N#Cc1ccc(-c2ccccc2CN2CCO[C@@H](c3ccccc3F)C2)[nH+]n1,0.7028,3.6441,-10.0,-10.89,
