seed,top_n,avg_egfr,avg_her2,avg_qed,avg_sa,internal_diversity,scaffold_count,scaffold_coverage
seed123,48,-9.53125,-11.031666666666666,0.6083333333333333,3.2240333333333333,0.8724439514941265,48,1.0
seed123,96,-9.229166666666666,-10.711875000000001,0.6227104166666666,3.1960864583333333,0.8779857276188509,96,1.0
seed123,384,-8.576562500000001,-9.912135416666667,0.6833489583333332,3.2991927083333334,0.8822870309580455,381,0.9921875
seed333,48,-9.658333333333333,-11.2525,0.56401875,3.086122916666666,0.8690371837847755,48,1.0
seed333,96,-9.330208333333333,-10.883750000000001,0.6023031249999999,3.0274854166666665,0.8715907368570478,96,1.0
seed333,384,-8.66171875,-10.02125,0.6690583333333334,3.1391687499999996,0.8792308562691467,383,0.9973958333333334
seed42,48,-9.716666666666667,-11.23375,0.5435354166666667,3.4292000000000002,0.8738998819237747,48,1.0
seed42,96,-9.38125,-10.901458333333332,0.5635697916666668,3.3084552083333336,0.876955304372139,96,1.0
seed42,384,-8.71328125,-10.056666666666667,0.6687393229166667,3.2557070312500005,0.882085959389716,381,0.9921875
seed999,48,-9.55625,-11.085833333333333,0.5662208333333334,3.15735625,0.871166667238312,48,1.0
seed999,96,-9.331249999999999,-10.74,0.6023625,3.247575,0.8770508200623404,96,1.0
seed999,384,-8.7015625,-9.988697916666666,0.6773778645833334,3.1719911458333336,0.8807507527710418,381,0.9921875
