SMILES,QED,SAScore,EGFR_Docking,HER2_Docking
CCN(CCN1CCCc2ccccc21)[C@@H]1CCS(=O)(=O)C1,0.8307,2.8778,-5.92,-7.63
Cc1nc([C@H]2CCCCN2C(=O)Cc2ccccn2)ncc1C(=O)N1CCCCC1,0.7781,2.9349,-6.29,-8.71
CN1C(=O)C[C@H](NC(=O)NC[C@H](O)c2ccco2)[C@@H]1c1ccc(Cl)cc1,0.7443,3.5554,-6.27,-8.24
NC(=O)[C@H]1COCCN1C(=O)c1cnn(Cc2ccccc2Cl)c1,0.8888,2.8281,-6.1,-8.22
CCC[C@@H](CC)[NH2+][C@H]1CCc2cc(N)ccc21,0.7535,4.2894,-5.5,-7.45
CCN(CC)S(=O)(=O)c1ccc(NC(=O)C2CCCC2)cc1,0.8748,1.8347,-5.8,-8.04
N#Cc1ccc(Oc2ccnc(-c3ccccc3)n2)c(Cl)c1,0.7164,2.0921,-6.14,-8.46
CCc1onc(C)c1NC(=O)c1cc(=O)[nH]c2cc(F)ccc12,0.7777,2.5439,-6.35,-8.58
O=C([O-])CC1C[C@@H]2CC[C@H](C1)N2C(=O)c1ccc(Cl)s1,0.8565,4.5872,-5.39,-7.51
Cc1nc(-c2ccccc2)sc1C(=O)NNC(=O)NC(Cl)=C(Cl)Cl,0.5347,2.6525,-6.26,-8.57
CC(C)c1cc(C(=O)Nc2ccc(C[NH+]3CCCC3)cc2)n[nH]1,0.7901,3.5048,-5.98,-8.55
C[C@@H]1CC[C@@H](NC(=O)OC(C)(C)C)C[NH2+]1,0.6737,4.2526,-5.23,-6.4
CCc1n[nH]c(C(=O)Nc2cc(C(=O)[O-])ccc2Cl)n1,0.8589,2.8791,-5.82,-8.42
CC(C)(C)c1ccc(-n2ncc3c2CCC[C@H]3NC(=O)CCc2ccccn2)cc1,0.6734,2.86,-6.37,-8.63
CC(C)N(Cc1cccs1)C(=O)NCc1ccccc1,0.8897,1.962,-5.57,-6.8
C[C@H](Oc1ccc(C#N)cc1)C(=O)Nc1ccc2c(c1)OC1(CCCC1)O2,0.8866,3.2248,-6.13,-8.68
CCCN(C(=O)Nc1ncnn1C)[C@H]1C[C@@H](OCC)C1(C)C,0.8746,3.9603,-5.55,-7.64
C[C@@H]1CCCC[C@@]12NC(=O)N(Cc1ccccc1C(F)(F)F)C2=O,0.8347,3.4942,-6.26,-8.34
Cc1cccc(CNC(=O)C(=O)Nc2ccc(NC(=O)C3CC3)nc2)c1,0.7166,2.0321,-5.85,-9.51
CCc1ccccc1OCC[NH+]1CCC(c2nnc3ccccn23)CC1,0.7399,3.3952,-6.1,-8.73
Cn1cc([C@@H]2SCC(O)=Nc3c2cnn3C(C)(C)C)cn1,0.8794,4.1253,-5.86,-7.39
C=CCNC(=O)CSc1ccc(-c2sc(-c3cccs3)nc2C)nn1,0.4888,2.7199,-5.98,-8.61
CS(=O)(=O)[N-]c1ccc(O)c(C(=O)N2CCC[C@H]3CCC[C@H]32)c1,0.9182,3.9147,-6.06,-7.7
NC(=O)[C@H]1COCCN1C(=O)Cc1csc(-c2cccc(F)c2)n1,0.8988,2.8601,-6.03,-7.99
CSc1ccc(NC(=O)c2ccc(C)[nH]c2=O)cc1,0.8458,2.0286,-5.99,-7.62
CCOC(=O)c1nnc2ccccc2c1N1CC[NH+](C(C)C)CC1,0.8455,3.4922,-5.9,-8.24
Cn1ncc2c(NCc3ccco3)nc(CCc3ccccc3)nc21,0.5859,2.3255,-6.13,-9.23
CCN1CCN(C2=NC(=O)/C(=C/c3ccc(N(C)C)cc3)S2)CC1,0.7874,2.3374,-5.82,-7.52
CCC(CC)[C@H]([NH3+])c1cc(F)c(F)c(F)c1,0.773,3.5845,-5.27,-6.59
CN(C)c1ccc(/C=C2\C(=N)N3N=C(C(F)(F)F)SC3=NC2=O)cc1,0.8161,2.8934,-5.98,-7.68
COc1ccc(/C=C2\NC(=O)N(CC(=O)Nc3ccccc3C(F)(F)F)C2=O)cc1,0.5755,2.2631,-6.26,-9.01
Cc1occc1C(=O)Nc1nc(CC(=O)OCC2CCCCC2)cs1,0.7867,2.3893,-5.92,-8.33
Cc1nc2nc(N)nn2c(C)c1CCC(=O)N[C@@H](C)c1ccc(F)cc1F,0.7146,2.9558,-6.29,-8.92
CN1CCN(C)C1=NSc1ccccc1[N+](=O)[O-],0.4743,3.0974,-5.64,-6.87
NC(=O)c1cc(-c2csc(NC(=O)Cc3cccs3)n2)c[nH]1,0.6688,2.4895,-5.94,-8.77
CN1C[C@H](NC(=O)/C=C/c2cnc(C(C)(C)C)s2)CCC1=O,0.8682,3.3403,-5.81,-7.65
Cc1ccccc1O[C@H](C)CNC(=O)NC[C@@H]1CCC[C@H](O)C1,0.7544,3.1544,-5.84,-8.27
O=C(C[NH+]1CCc2sccc2C1)N[C@@H]1CCC[C@H]1Oc1ccccc1,0.857,4.2928,-6.25,-7.85
C[C@@H](C1CC1)N(C)C(=O)NC[C@H](c1cccc(F)c1)[NH+](C)C,0.8199,4.0551,-5.72,-8.36
O=C(c1ccc(F)cc1)[C@H]1CCCN(C(=O)CCCn2ccnn2)C1,0.7544,2.7629,-6.0,-8.8
Cc1cccc([C@H](C)NC(=O)[C@H]2COCCO2)c1C,0.9057,3.0488,-4.95,-7.44
Cc1ccccc1-c1cc(N(C)C(=O)c2n[nH]c(=O)[nH]2)n[nH]1,0.6714,3.0287,-6.23,-9.08
C[C@@H]1C(=O)CCN(c2ccc(F)cc2F)[C@H]1C,0.7507,3.1573,-5.65,-7.04
CCNC(=O)NC(=O)C[NH+](CC)[C@H](C)c1cccc(O)c1,0.6049,4.016,-5.56,-7.33
C[NH2+][C@@H](C)c1cc(F)ccc1OC[C@H](O)c1ccccc1,0.8564,3.4389,-5.79,-8.24
O=C(NCc1cc(F)ccc1Br)NC[C@H](O)c1ccco1,0.7704,2.7393,-5.94,-8.35
COc1ccc(CNS(=O)(=O)c2c[nH]nc2N)cc1,0.7384,2.4779,-5.75,-7.49
C[C@H]1Cc2ccccc2N1C(=O)CNCC[NH+](C)C,0.7149,3.6793,-5.7,-7.44
C[C@H]([NH2+][C@H](C)c1ccccc1)c1ccc(N2CCCS2(=O)=O)cc1,0.9055,3.7148,-6.15,-8.24
c1ccc(-c2nc(SCc3cn4cccnc4n3)oc2-c2ccccc2)cc1,0.3827,2.4537,-6.33,-8.87
CC(C)n1cc(S(=O)(=O)[N-]c2ccccc2F)c2cccnc21,0.7206,3.3231,-6.14,-8.6
O=C([O-])[C@H]1CCCN1C(=S)Nc1ccccc1,0.7778,2.8643,-5.47,-7.05
Cc1cc(C(=O)N[C@@H]2CC2(C)C)sc1/C=C/C(=O)[O-],0.8452,3.7969,-5.46,-7.61
CCc1n[n-]c([S@@](=O)CC(=O)Nc2c(Cl)cccc2Cl)n1,0.8955,3.9296,-5.77,-8.24
O=C(CCCOc1ccccc1)Nc1ccc(N2CCOCC2)cc1,0.7858,1.7538,-5.94,-8.5
COc1ccc(Cl)cc1CNC(=O)C[NH+]1CCC(NC(N)=O)CC1,0.5627,3.4077,-5.69,-7.5
CC(C)CC[C@H](C)[NH2+]CC(=O)Nc1ccc(Cl)cc1,0.7939,3.3281,-5.29,-7.11
CNC(=O)c1ccc(Cl)c(NC(=O)C[C@H](C)c2cccc(OC)c2)c1,0.822,2.3777,-6.12,-8.91
CC[NH+](CC)C[C@@H](C)NC(=O)[C@@H]1CCC[NH2+][C@@H]1C,0.5487,5.6944,-5.42,-7.04
CC[C@@H](C[NH3+])[C@@H](O)c1csc(I)c1,0.8163,4.8671,-5.35,-6.71
Fc1cccc([C@H]2Nc3c(F)cc(F)cc3[C@@H]3C=CC[C@@H]23)c1,0.7364,3.4642,-6.09,-8.21
CCOc1ccc(NC(=O)CSc2ccc(Br)cn2)cc1,0.7853,1.8843,-5.63,-8.27
O=C(Nc1ccccc1C(=O)N1CCOCC1)c1ccc(OC[C@@H]2CCCO2)cc1,0.7924,2.4791,-6.21,-8.61
CC[C@H](C)[NH2+]CCNS(=O)(=O)c1ccc(C)s1,0.7206,3.96,-5.27,-6.61
Cc1ccc([C@@H](C)CNC(=O)N(C)Cc2nnc(C)n2C)cc1,0.9212,2.7924,-5.71,-8.22
O=C(NCc1ccc(Cl)cc1)Nc1cc(N2CCN(c3ccccc3)CC2)ncn1,0.6542,2.0967,-6.56,-9.28
