smiles,QED,SA,EGFR_Docking,HER2_Docking
N#Cc1cccc(C(=O)NCc2nc3ccccc3c(=O)[nH]2)c1N,0.5280,3.4080,-9.3,-10.2
NC(=O)C[C@H](Cc1ccccc1)N(C)S(=O)(=O)C1CCCC1,0.7280,3.9150,-8.85,-8.6
Nc1ccc2c(c1)ncn2NCc1ccco1,0.5720,3.5760,-8.75,-8.1
NS(=O)(=O)c1cc(C(=O)N2CCC[C@@H]2c2ccc(F)cc2F)on1,0.7970,4.1340,-9.0,-9.0
Cc1cc(C)cc(NC(=O)C(=O)Nc2ccc(F)cc2Cl)c1,0.7290,2.9010,-9.3,-10.5
CCn1c(=O)c(C(=O)Nc2ccc(Br)cc2)cn2nc(C)nc21,0.6600,3.5220,-9.05,-9.7
C[S@](=O)c1ccc(CNC2CCCC2)c(Br)c1,0.8240,3.9380,-8.35,-7.9
Cc1ccc([C@H](C)NC(=O)N(C)CCC2CCCC2)cc1,0.7620,3.4720,-8.95,-9.9
COc1c(C)scc1C(=O)Nc1ccc2oc(C)c(C)c2c1,0.6630,3.4330,-9.2,-9.5
Cn1cnnc1SCC(=O)N(C)CCOc1ccccc1,0.6250,3.1360,-8.25,-8.2
[S@](=O)c1ccc(CNC(=O)[C@@H]2CCCC[C@@H]2C(=O)[O-])cc1,0.7550,4.4910,-8.9,-8.5
S1CCC[C@@H]([C@@H](CNC(=O)c2ccc(O)c(F)c2)N2CCOCC2)C1,0.7340,4.3860,-9.05,-8.4
O=C(N/N=C/c1ccc(F)cc1)c1cccc(F)c1,0.5690,2.7280,-8.85,-10.2
OC[C@@H](Nc1cccc(Cl)c1)C(=O)[O-],0.6320,3.9650,-8.05,-7.1
O=C(Nc1nc2cc(Cl)ccc2o1)c1c(F)c([N+](=O)[O-])ccc1O,0.4500,3.6030,-9.5,-11.2
CSc1ncccc1C(=O)Nc1nnc(-c2cccc(Cl)c2Cl)s1,0.5360,3.3480,-9.1,-8.8
S1=C/C(=C/c2ccc(NC(=O)C3CC3)cc2Br)S1,0.2750,4.3050,-8.5,-8.6
Sn1c(Cc2cccs2)nnc1SCC(=O)Nc1ccc(Cl)cc1Cl,0.3400,3.6130,-8.55,-8.8
S=C(NCC(F)(F)F)N(Cc1ccco1)c1ccccc1,0.7710,3.3900,-8.6,-7.2
S/C(=N/C(=C\NN=S)Nc1cccc(C(F)(F)F)c1)Nc1ccccc1Cl,0.1200,4.2670,-8.6,-6.1
SCCn1c(=O)[nH]c(=O)c2cc(Cl)ccc21,0.6960,3.4320,-8.3,-7.4
COc1cc(OC)c(C(=O)[C@H](C#N)c2nc3ccccc3s2)cc1OC(F)F,0.4430,3.9790,-8.85,-10.1
O=C(Nc1ccc(Cl)c(Cl)c1)c1ccc(Cl)c(-c2ccncc2)c1,0.5120,2.8460,-9.45,-11.3
n1cncn1CCNC(=O)c1cc(-c2ccccc2F)nn(C#N)c1=O,0.6090,3.7830,-9.3,-10.3
O=C(NCCOc1ccccc1)Nc1cccc(OCc2ccc(F)cc2)c1,0.4610,2.7740,-9.35,-10.4
NC(=O)COCCNC(=O)c1ccc([N-]S(=O)(=O)c2ccc(F)cc2)cc1,0.5220,3.9730,-8.9,-9.2
COc1ccc(-c2cc(C(=O)[C@@H](C(C)(C)C)C(C)C)ccc2O)cc1,0.6240,3.7290,-9.2,-8.2
O=C(Cn1c(=O)[nH]c2ccccc21)Nc1ccccc1OCC(F)(F)F,0.6300,3.1590,-9.1,-10.4
[NH3+]Cc1ccc(OC[C@H]2COc3ccccc32)cc1,0.8090,4.1000,-8.9,-9.0
[NH3+]Cc1ccc(N2CCOCC2)cc1C(F)(F)F,0.7710,3.7680,-8.6,-8.2
[NH3+][C@@H](c1ccccc1F)C1CCCCC1,0.6740,4.0990,-8.5,-8.1
[C@@H]O[C@@H](CNC(=O)Cc1ccc(-c2ccccc2)cc1)c1ccc(Cl)cc1,0.5220,3.6570,-9.15,-10.5
[C@@H](CNC[C@H]1CCCO1)N[C@H](C)c1ccc(C(N)=O)cc1,0.5320,4.3620,-8.45,-8.7
[C@@H]1[C@H](c2ccc(Cl)cc2)Nc2c1ccc1ccc(Cl)cc12,0.4930,4.1420,-5.0,-9.8
[C@@H](C#N)S(=O)(=O)NNC(=O)CSCc1ccccc1,0.6160,3.7600,-8.45,-7.8
[C@@H]1C(C)(C)C[C@H]1C(=O)NCc1cccc([N+](=O)[O-])c1,0.5680,3.9820,-8.75,-9.1
[C@@H]1C(=O)N(CCc2cccc(Cl)c2)Nc2cc(S(N)(=O)=O)ccc21,0.7670,3.9270,-9.35,-9.7
[C@@H](C)c1ccc(C(=O)N2CC[C@@H](CO)C2)c(OCc2ccccc2)c1,0.7790,3.7260,-9.2,-9.7
[C@@H]1CCCN(C(=O)c2ccccc2OC2CCC(C(=O)[O-])CC2)C1,0.7450,3.9610,-9.35,-9.4
[C@@H](C)c1ccc(CNC(=O)c2ccc(NC(=O)c3ccoc3)cc2)cc1,0.6070,3.2240,-9.25,-10.2
[C@@H]1CCCCN1C(C)C,0.4190,4.2050,-7.35,-5.6
[C@@H]S(=O)(=O)c1ccc(C(=O)N2CCOCC2)cc1,0.6870,3.2970,-8.45,-8.1
[C@@H]OC(=O)CCN1C(=O)c2ccc(S(=O)(=O)NCc3ccccc3C)cc2C1=O,0.4450,3.5800,-9.2,-10.4
[C@@H](C(=O)N1CCN([C@@H](C)c2ccccc2)C[C@@H]1O)c1ccc([N+](=O)[O-])cc1,0.5470,4.4200,-9.05,-9.5
[C@@H]([NH3+])c1cc(Cl)ccc1OC[C@H]1CCCCO1,0.7950,4.1960,-8.6,-8.2
[C@@H]OCCS(=O)(=O)Cc1cccnc1OCc1ccccc1,0.6470,3.6520,-8.55,-7.9
[C@@H]Oc1ccc(NC(=O)COc2ccccc2C(=O)OCc2ccccc2)cc1,0.4870,3.1300,-9.15,-9.8
[C@@H]1CCN(CCOc2c(Cl)cccc2Cl)C1,0.7220,3.5760,-8.25,-7.2
[C@@H]1CCC[C@@H]1CNC(=O)Nc1ccc(Cl)cc1Cl,0.7620,3.9710,-8.6,-9.2
[C@@H]#Cc1cccc(C(=O)Nc2c(F)cccc2F)c1,0.7220,2.9800,-9.3,-9.6
[C@@H](C)[C@@H](NC(=O)c1ccccc1Br)C(=O)N[C@@H](c1ccccc1)c1ccccc1,0.4500,3.7620,-9.55,-8.7
Nc1cccc(OCC(=O)N2CCC[C@H]2Cn2cccn2)c1,0.7500,3.7350,-8.9,-9.2
Cc1cccc(NC(=O)CN(C)c2[nH+]ccn2C)c1,0.7970,4.1890,-8.5,-8.5
CC(=O)N/C(=C\c1cc2ccccc2c2c(Cl)cccc21)c1ccc(C)cc1,0.2130,3.4450,-10.25,-11.1
O=C(Cn1ccsc1=O)N1CCN(c2ccc(Br)cc2)CC1,0.7160,3.2680,-8.75,-8.4
FC(F)(F)C1NN(C(=O)c2c(F)cccc2Cl)C1,0.7020,4.2460,-9.15,-7.9
FC(F)(F)CS(=O)(=O)c1ccc(Cl)cc1Cl,0.7380,3.2840,-8.45,-7.4
FC(F)(F)C1CCN(C(=O)c2ccc(F)cc2Cl)CC1,0.6210,3.0990,-8.85,-9.3
Fc1c(Cl)cccc1NCc1cc([N+](=O)[O-])ccc1C#N,0.5870,3.2780,-8.9,-9.0
FC(F)(F)c1ccc(Cn2c(=O)[nH]c3ccccc32)cc1,0.6720,2.9400,-9.2,-9.3
Fc1ccc([O-])c(CSc2nccs2)c1,0.6740,4.0290,-8.25,-7.6
FC(=O)c1cccc(C[NH2+]Cc2ccc(F)cc2Cl)c1,0.7460,4.2220,-8.95,-10.1
Fc1ccc(OCCNSc2nnc(Cc3ccccc3)o2)cc1,0.3980,3.4460,-8.65,-9.6
FC(F)(F)Oc1cccc(CO/N=C/c2ccccc2)c1,0.5130,3.1060,-8.8,-10.1
FC(F)(F)[C@@H](Oc1ccccc1)C(=O)NCc1ccccc1,0.8200,3.4400,-8.9,-9.6
Fc1ccc(CN(Cc2cccc(F)c2)C(=O)Cn2cnc3ccccc32)cc1,0.3840,3.0890,-9.75,-9.5
FC(F)Cn1nnnc1S[C@@H]1CCCCC1=O,0.7230,4.3470,-8.4,-8.2
F[C@H](c1ccccc1)[C@@H]1CN(Cc2cccc(F)c2)CCO1,0.7530,3.9610,-9.15,-9.4
Fc1cccc(C(=O)NNc2nncs2)c1,0.6940,3.3000,-8.6,-9.2
[C@H](C)NC(=O)Nc1ccc(N(C)C)cc1,0.6950,3.3830,-8.2,-7.5
[C@H]1CCCN(C(=O)C(=O)Nc2c(F)cccc2F)C1,0.6880,3.7170,-8.95,-8.5
[C@H](C(=O)NCc1ccc(C(C)(C)C)cc1)NCc1ccccc1,0.7570,3.2030,-8.65,-10.0
[C@H](C(=O)c1ccsc1)[C@H]1CCCC[C@@H]1c1ccc(Cl)cc1,0.5550,4.3780,-8.8,-9.1
[C@H]Oc1ccccc1CN(C)C(=O)Cn1cnc2cc(Cl)ccc2c1=O,0.5930,3.5530,-9.2,-9.3
[C@H]Oc1ccc2c(c1)NC(=O)[C@@H]2c1cccc(NC(=O)CCn2cccn2)c1,0.5940,4.2660,-9.45,-10.3
[C@H](C#N)CNC(=O)Nc1ccc([N+](=O)[O-])cc1C(F)(F)F,0.4060,3.8090,-8.6,-8.5
[C@H](CC[C@H](O)c1ccccc1)C(=O)Nc1ccc(Cl)c(Cl)c1,0.7060,3.7360,-8.75,-10.0
[C@H]1CCCN(C(=O)[C@@H]2CCCN(c3cnn(C)c(=O)c3)C2)C1,0.7120,4.3220,-8.65,-10.0
[C@H]Oc1cccc(S(=O)(=O)N[C@H]2CCCc3ccccc32)c1F,0.8340,4.1100,-9.3,-9.4
[C@H](C)OC(=O)CN1C(=O)/C(=C/Nc2ccc([N+](=O)[O-])cc2)Sc2ccccc21,0.2420,3.8220,-9.2,-8.2
[C@H]O/N=C1\Sc2ccccc2N(Cc2cccc(C(F)(F)F)c2)C1=O,0.5660,3.8670,-9.25,-9.2
[C@H]1C(=O)c2ccc(O)cc2[C@@H]1C(=O)NCc1ccc([N+](=O)[O-])cc1,0.5610,4.1320,-9.45,-10.2
[C@H]Oc1cccc(C(=O)N2CC[C@@](C)(C(=O)N3CCCC3)C2)n1,0.7500,4.3780,-8.75,-10.0
[C@H](C(=O)C1CCCCC1)c1ccccc1OCC(N)=O,0.7650,3.3890,-8.8,-8.9
[C@H](C)Oc1ccc(=O)n(CCNCc2cccc(C(F)(F)F)c2)c1,0.6880,3.7140,-8.85,-10.1
[C@H]Oc1cccc(CN(C[C@@H](O)c2ccccc2)c2nnnn2C2CCCC2)c1,0.5330,4.3930,-9.45,-8.5
[C@H]1C(=O)C(=O)N(c2ccc(Cl)cc2)[C@@H]1c1ccc(F)cc1,0.6980,3.8200,-9.4,-8.5
[C@H]Oc1ccccc1C[C@@H](C)Nc1ncnc2sccc12,0.6780,4.2300,-8.75,-9.9
[C@H]1CC[C@H](Cc2nnnn2Cc2ccccc2)C1,0.7240,4.1130,-8.7,-9.1
[C@H](C)c1cccc(NC(=O)Cn2cnc3cc(C(=O)[O-])ccc32)c1,0.6730,3.8150,-9.35,-10.6
[C@H](C)C(=O)N(Cc1ccccc1)[C@@H]1CCN(CC(F)(F)F)C1,0.7340,3.9950,-8.95,-8.3
[C@H]1C(=O)NC2=C(C(=O)CCC2)[C@H]1c1ccc2nccnc2c1,0.7730,4.4580,-9.35,-9.8
[C@H](C#N)CCCn1ncc2ccccc21,0.6080,3.8400,-8.1,-7.2
[C@H](C)[C@H](C)NC(=O)CCc1cccs1,0.6940,4.1040,-8.0,-7.2
[C@H]1CCCC[C@@H]1c1nc(CCC(=O)N2CCc3ccccc32)cs1,0.7200,4.2350,-9.45,-10.8
[C@H]1CCN(/N=C/c2cccc(Cl)c2)C1,0.5810,3.9690,-8.3,-8.0
[C@H](C)CNC(=O)Nc1ccc(F)cc1C(=O)[O-],0.7030,3.9410,-8.6,-7.8
[C@H]S/C(=C\c1cccc2ccccc12)c1c(C)nn(C2CC2)c1N,0.6170,3.9660,-8.95,-8.7
[C@H]1C[C@H](C)CN(C(=O)CNC(=O)c2ccc(O)cc2F)C1,0.7830,4.2400,-8.95,-8.8
NC1=NC(=O)[C@H](CSc2ccc3c(c2)OCCO3)C1,0.7470,4.3500,-8.9,-8.8
CNC(=O)c1cccc(N)c1COc1cccc(F)c1,0.7410,3.0480,-9.0,-8.8
O=C([O-])[C@H]1COc2ccccc21,0.4810,4.1790,-8.1,-7.0
[C@H]=C(C#N)Cc1ccc(F)c(C#N)c1,0.5620,4.0750,-8.15,-7.3
[C@H](C)c1nc2cc(OCc3ccncc3)nn2c(=O)[nH]1,0.6630,4.1570,-9.0,-10.1
[C@H](C#N)c1ccc(COc2ccccc2)nc1,0.7000,3.4230,-8.25,-8.5
[C@H]Oc1cccc(-c2csc(NC(=O)CN(C(C)=O)c3ccccc3)n2)c1,0.6060,3.5570,-9.45,-10.2
[C@H](C#N)C1=NN(Cc2cccc(C#N)c2O)C(=O)N1Cc1ccco1,0.6520,4.1760,-8.6,-7.9
[C@H]Oc1ccc(NC(=O)c2ccc(=O)n(C)c2)cc1[N+](=O)[O-],0.5820,3.5850,-9.0,-9.4
[C@H](C)Oc1ccccc1n1c(C(F)(F)F)nc2cc(S(=O)(=O)N3CCCCC3)cnc21,0.4790,3.9520,-8.95,-9.9
[C@H]1CCC[C@@H]1C(=O)OCCNC(=O)c1cn(C)nc1C(C)(C)C,0.5650,4.4830,-8.45,-9.3
[C@H]Oc1ccccc1OC[C@@H](O)Cc1ccccc1OCC(=O)[O-],0.6340,4.2690,-8.75,-8.8
[C@H](C(=O)Nc1ccccc1-n1cccn1)[NH+]1CCC(c2nnc(-c3ccccc3)o2)CC1,0.3930,4.3300,-9.45,-10.3
[C@H]Oc1ccc(Br)cc1C(=O)c1ccccc1[O-],0.7190,4.0750,-8.75,-9.2
[C@H]1CCN(C(=O)c2cccc([N+](=O)[O-])c2[N+](=O)[O-])C1,0.5080,3.8120,-8.4,-7.8
[C@H]Oc1ccc(C(=O)Nc2ccccc2C=O)cc1S(=O)(=O)N1CCC[C@H](C)C1,0.6330,4.0460,-9.6,-9.8
[C@H]1C(=O)NC[C@H](CC(=O)Nc2ccc(O)cc2O)C1,0.3780,4.3620,-8.6,-8.4
[C@H]Oc1cccc(OCCNC(=O)CCc2nnnn2C)c1,0.6090,3.7120,-8.5,-8.7
[C@H]Oc1ccc(NC(=O)Cc2cccnc2Cl)cc1,0.7720,3.4110,-8.5,-8.8
[C@H](CCNC(=O)c1cccc(F)c1)n1cncn1,0.7090,3.7510,-8.5,-8.2
[C@H]([C@H](C)c1cccc(F)c1)NC(=O)Nc1ccc(F)cc1,0.7760,3.8290,-9.0,-10.3
[C@H]Oc1ccc(NC(=O)CSc2nnc(C3CC3)n2C)cc1,0.7290,3.5180,-8.35,-8.6
[C@H]1CCc2nc(NC3CCCCC3)ncc2[C@@H]1c1ccccc1,0.8070,4.2000,-9.05,-9.0
[C@H]Oc1ccc(CN2CCC[C@@](CC(=O)Nc3nc(C)c(C)o3)C2)cc1,0.7590,4.2160,-9.3,-9.5
[C@H]Oc1ccccc1/C=C/C(=O)N[C@@H](CO)C(C)(C)C,0.7100,4.3190,-8.4,-6.5
[C@H](C#N)C1=NC(NC(=O)c2ccc(C#N)cc2)c2ccccc21,0.8440,4.3780,-8.8,-9.2
[C@H]Oc1ccccc1CNC(=O)N1CCN(c2cc(CCCCC#N)c([N+](=O)[O-])cc2F)CC1,0.2380,3.9030,-9.15,-10.1
[C@H]Oc1ccc(NC(=O)CCc2ccc([N+](=O)[O-])cc2)cc1Cl,0.5430,3.2710,-8.75,-9.5
[C@H]Oc1ccc(N2C[C@@H](C(=O)Nc3ccccc3)CC2=O)cc1,0.8450,3.6530,-9.15,-9.7
[C@H]Oc1ccccc1CCNC(=O)c1cc(C(C)C)ccc1OC,0.7410,3.3320,-9.0,-9.4
[C@H](C)C(=O)N1CCO[C@H](c2cccnc2)C1,0.6500,4.1510,-8.3,-7.6
[C@H]Oc1ccc(OCCN2CCc3cc([N+](=O)[O-])ccc32)cc1SC,0.3260,3.7990,-8.7,-8.8
[C@H]Oc1ccc(NC(N)=O)cc1NC(=O)C[C@H](O)c1ccccc1C(F)F,0.4930,4.2740,-9.15,-9.4
[C@H](c1cccc([N+](=O)[O-])c1)[C@@H]1CCCN1C(=O)c1ccc(OC(F)(F)F)cc1,0.4590,4.0670,-9.25,-10.4
[C@H]1CCN(C(=O)COCc2ccc(N(C)C3CCCCC3)cc2)C1,0.7020,3.6420,-8.9,-9.8
[C@H]Oc1cccc(NC(=O)N(C2CC2)[C@H](C)c2ccco2)c1F,0.7980,4.3900,-8.8,-8.8
[C@H](C)NC(=O)N1CCN(C(C)C)CC1,0.6150,3.7470,-7.8,-6.7
[C@H]1C(C)(C)C[C@]1(O)C(=O)OCc1ccccc1,0.7130,4.0070,-8.45,-8.7
