smiles,qed,sa,egfr,her2
O=C(NCc1ccc(S(=O)(=O)Nc2ccccc2Cl)cc1)c1cccc(-c2nc3ccccc3[nH]2)c1,0.2612,3.0,-9.5,-10.2
CCc1cccc(NC(=O)COc2ccc(NC(=O)c3cc(-c4ccc(F)cc4)ncc3C)cc2)c1,0.3208,3.0,-8.8,-10.1
O=C(c1cccc(C[NH+]2CCC[C@H](c3nnc(-c4cccc(F)c4)o3)C2)c1)N1CCOCC1,0.6447,3.0,-9.4,-8.9
Cc1cccc(C(=O)N2CCN(CC(=O)Nc3cccc4c3CCCC4)CC2)c1,0.8703,5.0,-8.3,-9.8
COc1cccc(-c2ccc(CNC(=O)C(=O)N[C@H]3CCCc4ccccc43)cc2)c1,0.6159,3.25,-8.4,-9.7
CCc1ccc(C)c(C(=O)[C@@H]2CCCN(C(=O)Cc3cccc4ccccc34)C2)c1,0.5407,5.25,-9.0,-9.1
Cc1cccc(C(=O)N[C@H](C(=O)Nc2ccccc2-c2ccccc2)c2nc3ccccc3n2CC)c1,0.2889,3.0,-9.4,-8.4
O=C(CNC(=O)c1ccc2c(c1)-c1ccccc1C2)NC[C@@H]1CCCCO1,0.7314,3.5,-8.4,-9.3
C[C@@H]1CN(Cc2ccc(Cl)cc2)CCN1C(=O)c1cc(-c2cccnc2)nc2ccccc12,0.418,3.0,-9.5,-8.2
Cc1nn(-c2ccc(F)cc2)c(C)c1C[NH+]1C[C@@H](c2ccc(OCc3ccccc3)cc2)[C@@H](C(C)C)C1,0.3399,3.0,-8.7,-8.8
CC(C)Oc1cccc(NC(=O)c2nc3nc(-c4ccccc4)cc(C)n3n2)c1,0.5566,3.0,-8.1,-9.3
Cc1ccc(-n2nc(C)c(C(=O)NCCC(=O)Nc3ccccc3F)c2C)cc1Cl,0.6125,3.0,-8.3,-9.1
COc1ccccc1CNc1ccccc1C(=O)N/N=C\c1ccccc1,0.4937,3.0,-8.3,-8.8
CC(=O)Nc1ccc(NC(=O)COC(=O)Cc2cn(C)c(=O)c3ccccc23)cc1Cl,0.5719,3.0,-8.0,-9.1
O=C(Nc1ccccc1)c1ccccc1NC(=O)[C@H]1COc2ccccc21,0.7392,3.75,-8.7,-8.4
COc1cccc(CNC(=O)CN2C(=O)c3oc4ccc(Cl)cc4c(=O)c32)c1,0.7134,3.0,-8.3,-8.8
Cc1ccccc1-n1cc(NC(=O)N2CCc3ccccc3C2)cn1,0.7764,4.75,-7.9,-9.1
C[C@@H](NC(=O)c1cccc(F)c1)C(=O)Nc1cccc(C(=O)N2CCOCC2)c1,0.8057,3.0,-8.4,-8.6
O=C(NCCOc1ccc(NC(=O)c2ccco2)cc1)C(=O)NCc1cccc2c1NCCC2,0.3017,3.0,-8.4,-8.6
COc1cccc(NC(=O)C(=O)N2CCc3cnc(Nc4ccccc4)nc3C2)c1,0.6505,3.0,-8.6,-8.3
COc1ccc(NC(=O)c2cccc(NC(=O)c3cccc(C)c3)c2)cc1Cl,0.6275,3.25,-8.3,-8.6
O=C(Nc1cccc(C(=O)N2CCCC2)c1)c1cc(F)ccc1Cl,0.9139,5.5,-8.5,-8.4
O=C(COC(=O)C1CCCC1)Nc1ccc(Oc2ncnc3sc(-c4ccccc4)cc23)cc1,0.3401,3.0,-8.0,-8.8
O=C(OCc1nc2ccccc2c(=O)[nH]1)c1ccc(C(F)(F)F)cc1F,0.5694,3.0,-7.9,-8.8
Cc1ccc(C(=O)Nc2ccc(N(C)C3CCCCCC3)cc2)c(C)c1,0.7158,6.5,-7.6,-9.1
COc1ccccc1CN1CCN(C(=O)CN2C(=O)COc3ccc([N+](=O)[O-])cc32)CC1,0.497,3.0,-8.0,-8.7
COc1ccc(-c2ccc(O)cc2C[NH+]2CCC(C(=O)NC3CCCCCC3)CC2)nc1,0.6061,3.0,-8.2,-8.5
Cc1c(C(=O)NNC(=O)c2cccc([N+](=O)[O-])c2)cnn1-c1ccncc1,0.5318,3.0,-8.1,-8.5
COc1cccc(CCNC(=O)c2ccc(NC(=O)COc3ccc(F)cc3)cc2)c1,0.5497,3.0,-8.0,-8.6
Cc1ccccc1C(=O)N1CCN(C(=O)c2cc3ccccc3cc2OC(C)C)CC1,0.6277,3.75,-8.3,-8.3
CC(C)c1ccc(NS(=O)(=O)c2cccc(NC(=O)CCCc3ccccc3)c2)cc1Cl,0.3891,3.0,-7.5,-9.1
Cc1ccc(NC(=O)[C@H]2CC(=O)N(/N=C/c3ccccc3O)C2=O)cc1,0.5002,3.5,-7.9,-8.6
CNC(=O)c1ccc(Cl)c(OCC(=O)Nc2nc3ccc(F)cc3s2)c1,0.6952,3.0,-8.0,-8.5
O=C(CCN1CCCC1=O)N[C@@H](C(F)(F)F)c1ccc(-c2ccc(F)cc2)cc1,0.7278,3.0,-8.3,-8.2
COc1ccc(CNC(=O)C[C@H]2C(=O)Nc3nc(-c4ccccc4)nn32)cc1,0.6859,3.0,-7.9,-8.6
O=C(CSc1nnc(-c2ccccc2)n1Cc1ccco1)Nc1cccc(OC[C@@H]2CCOC2)c1,0.3213,3.0,-7.9,-8.6
COc1cccc(CNC(=O)CC/N=C(\O)c2cc3cc(Br)ccc3[nH]2)c1,0.392,3.0,-7.8,-8.6
Cc1cccc(N2CCN(C(=O)c3cnn(-c4ccc(C)cc4)c3C)CC2)c1,0.7009,4.25,-8.0,-8.4
CCc1ccccc1N1CCN(C(=O)/C=C/c2cnn(-c3ccccc3)c2)CC1,0.6266,3.25,-8.1,-8.3
CNC(=O)C1CCN(C(=O)c2ccccc2Cn2c(=O)[nH]c3ccccc3c2=O)CC1,0.6646,3.25,-7.7,-8.7
O=C(NCCN1C(=O)/C(=C/c2ccc(F)cc2)SC1=S)C(=O)NCc1ccc(F)cc1,0.3929,3.0,-8.0,-8.4
COc1ccc2c(c1)C(=O)/C(=C/c1cc(C)c3c(c1)OCO3)CC2,0.7856,3.5,-8.3,-8.1
O=C(Nc1ccc2c(c1)OCCO2)c1cccc([C@@H]2CCCC[NH2+]2)c1,0.903,3.5,-8.1,-8.3
CC(C)CNC(=O)CSc1cccc(NC(=O)c2ccc3[nH]c(=O)ccc3c2)c1,0.5197,3.0,-7.8,-8.6
CC(=O)c1ccccc1NC(=O)c1cccc(-c2ccoc2)c1,0.7266,4.75,-8.1,-8.3
Cc1cc2c(c(=O)o1)[C@@](C)(C(=O)NCc1c(F)cccc1O)NC(=O)C2=O,0.6771,3.0,-8.4,-8.0
Cc1c(Cl)ccc(C)c1NC(=O)C1CCN(c2ccccc2[N+](=O)[O-])CC1,0.6079,4.5,-7.9,-8.5
Cc1cc(O[C@H](C)C(=O)/N=C(\[O-])c2ccc(Cl)c(Cl)c2)ccc1Cl,0.5889,3.0,-7.4,-8.8
O=C(NCc1cc(-c2ccccc2)no1)c1cc2c(Cl)cccn2n1,0.6091,3.0,-7.8,-8.4
COc1ccc(CCN2C(=O)/C(=C/c3cccc([N+](=O)[O-])c3)N=C2C)cc1,0.4457,3.0,-8.0,-8.2
CCOc1ccc(NC(=O)c2cc(C)n(-c3cc(F)ccc3F)n2)cc1,0.7476,3.0,-7.7,-8.5
CN(C(=O)CCSc1nc(-c2ccccc2)cc(-c2ccccc2)n1)C(C)C,0.4122,3.0,-8.4,-7.8
CCc1ccc(CC)c(NC(=O)[C@H](C)n2c(=O)[nH]c3ccccc3c2=O)c1,0.7289,4.25,-7.6,-8.5
Oc1c(Cl)c(NC[C@@H](c2ccccc2)c2ccccc2)cc([N+](=O)[O-])c1,0.463,3.75,-8.2,-7.9
COc1ccccc1NC(=O)C1CN(C(=O)[C@@H]2CCOc3ccccc32)C1,0.9034,3.0,-7.8,-8.3
Cc1cc(NC(=O)C[NH+]2CCC[C@H](c3ncc(-c4ccccc4)o3)C2)no1,0.7208,3.0,-8.3,-7.8
CCc1ccc(C(=O)/C=C/c2cc(C(F)(F)F)cc(C#N)c2C)cc1,0.5549,5.0,-7.6,-8.5
N#Cc1ccc(Oc2cccc(C(=O)NCc3ccccc3Cl)c2)cc1,0.6992,3.0,-7.4,-8.7
CC(C)N(C[C@H]1COc2ccccc2O1)CNC(=O)c1cc2ccccc2o1,0.6613,3.0,-7.7,-8.3
Cc1ccc(NC(=O)[C@@H](C)N2CCC[C@@H](c3ccc(C)cc3)C2)cn1,0.92,5.0,-7.9,-8.1
Cc1cccc(CNC(=O)C(=O)NCc2nc(-c3ccccc3)oc2C)n1,0.6772,3.0,-7.4,-8.6
COc1ccc(CNC(=O)c2nnc3n2CCCCC3)cc1C(F)(F)F,0.9009,3.0,-7.6,-8.3
COC(=O)c1c(NC(=O)c2cccc(-c3ccccc3)c2)sc2c1CC[NH+](C(C)C)C2,0.5995,3.0,-7.9,-8.0
CCc1ccc(NC(=O)C(=O)NCCC(=O)Nc2ncc(-c3ccccc3)s2)cc1Cl,0.4656,3.0,-7.6,-8.3
Cc1ccc(C(=O)NCC(=O)NCC(=O)NCc2ccc(Cl)cc2)cc1C,0.6796,3.5,-7.4,-8.5
O=C(/C=C1\C(=O)N(CC(C)C)c2ccccc21)NCc1ccc2c(c1)OCO2,0.8121,3.0,-7.8,-8.1
Cc1ccc(Cl)cc1NC(=O)C1CCN(C(=O)CCc2ccc(Cl)cc2)CC1,0.7322,4.5,-7.3,-8.6
Cc1ccc(Cl)cc1NC(=O)Cn1cnc2nc(C)ccc2c1=O,0.7935,3.0,-7.4,-8.4
Cc1ccc(C(=O)/C=C/c2cc(C)n(-c3ccccc3)c2C)cc1,0.4729,6.75,-7.9,-7.9
CN1CCC[NH+](Cc2nc(-c3ccco3)nc3cc(Cl)c(N4CCCCC4)cc23)CC1,0.6745,3.0,-8.3,-7.5
O=C(c1ccc2[nH]c(-c3cccnc3)nc2c1)N1CCCCC1,0.7903,3.75,-7.8,-8.0
CC(C)c1cccc(OCC(=O)c2cn(CC(N)=O)nc2-c2ccccc2)c1,0.6095,3.0,-8.5,-7.3
