smiles,qed,sa,egfr,her2
O=C1N=C(N2CCN(c3cccc4ccccc34)CC2)SC1=Cc1ccccc1O,0.6313,5.0,-10.2,-11.9
Cc1cccc(N2CCN(C(=O)c3nsc4c3COc3ccccc3-4)CC2C)c1,0.6355,5.0,-9.7,-11.5
Cc1cccc(N2CCN(C(=O)c3noc4c3COc3ccccc3-4)CC2C)c1,0.6655,5.0,-9.7,-11.3
Cc1cccc(N2CC[SH](C(=O)c3noc4c3COc3ccccc3-4)CC2C)c1,0.6286,5.0,-10.2,-10.8
O=C1N=C(N2CCN(c3ccnc4c3=CC=C[SH]=4)CC2)SC1=Cc1ccccc1O,0.4286,5.0,-10.0,-10.9
O=C1N=C(N2CCN(c3cccc4c3=CC=C[SH]=4)CP2)SC1=Cc1ccccc1O,0.314,5.0,-9.4,-11.5
O=C1N=C(N2CCN(c3cccc4c3=CC=C[SH]=4)CC2)CC1=Cc1ccccc1O,0.4482,5.0,-9.9,-10.9
O=C1N=C(N2CCN(c3cccc4c3=CC=C[SH]=4)CC2)SC1=Cc1ccccc1O,0.4311,5.0,-10.1,-10.6
Cc1cccc(N2CNN(C(=O)c3noc4c3COc3ccccc3-4)CC2C)c1,0.7236,5.0,-9.7,-11.0
Cc1cccc([SH]2CCN(C(=O)c3noc4c3COc3ccccc3-4)CC2C)c1,0.6369,5.0,-9.6,-11.0
O=C(CN1CNOc2ccccc21)Nc1ccccc1C(=O)Nc1ccccc1,0.6251,5.0,-10.1,-10.4
O=C(CN1CNCc2ccccc21)Nc1ccccc1C(=O)Nc1ccccc1,0.628,5.0,-9.8,-10.1
O=C1N=C(N2CCN(c3cccc4c3=CC=C[SH]=4)CO2)SC1=Cc1ccccc1O,0.4277,5.0,-9.1,-10.7
O=C(CN1CNCc2ccccc21)Nc1ccccc1C(=O)Oc1ccccc1,0.5186,5.0,-9.9,-9.8
O=C(Nc1ccccc1)c1ccccc1NS(=O)CN1CNCc2ccccc21,0.5855,4.9855,-9.8,-9.7
N=C(N)c1cc#cc(OCCC(=O)NCc2cc(=O)[nH]c3ccccc23)c1,0.3758,4.2857,-9.4,-9.9
O=C(CN1PNCc2ccccc21)Nc1ccccc1C(=O)Nc1ccccc1,0.5624,5.0,-9.1,-10.2
O=C(Nc1ccccc1)c1ccccc1NC(O)CN1CNCc2ccccc21,0.488,5.0,-9.7,-9.6
O=C(Nc1ccccc1)c1ccccc1NC(=P)CN1CNCc2ccccc21,0.5414,5.0,-9.9,-9.3
O=C(CCOc1c#ccc(C(=O)O)c1)NCc1cc(=O)[nH]c2ccccc12,0.5934,4.4301,-9.6,-9.6
CC1CN(C(=O)c2noc3c2COc2ccccc2-3)CCN1C1=CS(C)=CC=C1,0.7109,5.0,-9.2,-10.0
O=C1C2C3C=CC(CC3)C2C(=O)N1N=CC1=C(O)C=CS2=CC=CCC12,0.3526,5.0,-9.1,-10.1
O=C(CN1CNCc2ccccc21)Nc1ccccc1C(=O)Nc1cccnc1,0.6268,5.0,-9.3,-9.7
O=C1N=C(N2CCN(c3cccc4c3=CC=C[SH]=4)CC2)SC1Cc1ccccc1O,0.5714,5.0,-9.0,-9.9
O=C1N=C(N2CCN(c3cccc4c3=CC=C[SH]=4)CC2)S[PH]1=Cc1ccccc1O,0.4106,5.0,-9.3,-9.6
