smiles,qed,sa,egfr,her2
CC(=O)N1CCc2cc(C(=O)Nc3cc4c(cc3Cl)NC(=O)N(C)C4=O)ccc21,0.6716,5.0000,-10.3,-10.6
Cc1ccc(C)c(-c2nnc(SCc3cc(=O)oc4ccc(OC(F)F)cc34)o2)c1,0.3012,5.0000,-9.7,-10.8
Cc1ccc(C(=O)Nc2sc3c(c2C(N)=O)CCN(C(=O)Nc2ccccc2)CC3)cc1,0.5609,5.0000,-9.7,-10.7
Cc1[nH]c(S[C@H](C)c2nc3ccccc3c(=O)[nH]2)nc(=O)c1Cc1ccccc1,0.3903,5.0000,-9.6,-10.6
O=C(NC1(c2nc(-c3cc(F)c(F)c(F)c3)no2)CC1)c1ccccc1,0.7234,5.0000,-9.2,-10.7
O=C1CCc2c1nc(NNC(=O)c1ccccc1Cl)n2Cc1ccccc1Cl,0.615,5.0000,-9.4,-10.4
COc1cccc(-n2cc(CNC(=O)C3CCN(S(=O)(=O)c4ccc(C)cc4)CC3)nn2)c1,0.5692,5.0000,-9.6,-10.0
NC(=O)[C@@H]1CN(C(=O)Nc2cccc(OC3CCCC3)c2)c2ccccc2O1,0.8497,5.0000,-10.0,-9.6
O=C(CN1C(=O)NC2(CCC1)Oc1ccc(C(F)(F)F)cc1C2)N1CCCCC1,0.8134,5.0000,-9.1,-10.5
CCOc1ccc([N-]S(=O)(=O)c2cccc(C(=O)Nc3cccc4cnccc34)c2)cc1,0.4163,5.0000,-9.4,-10.2
COc1ccccc1NC(=O)c1cccc(N2C(=O)C(=O)c3ccccc32)c1,0.7069,5.0000,-9.6,-10.0
O=C(Nc1cccc(O)c1)c1cccc(S(=O)(=O)Nc2cccc(F)c2)c1,0.6245,5.0000,-9.5,-10.0
Fc1ccccc1[C@H](NCc1[nH+]ccn1Cc1ccccc1)c1c(F)cccc1F,0.4744,5.0000,-9.9,-9.5
Cc1cc(C)cc(C2=CCN(C(=O)[C@@H]3N=NC4=C3CCC4)CC2)c1,0.8052,5.0000,-9.2,-10.2
CCCCc1c(C(=O)NCc2cc(=O)[nH]c3ccccc23)sc2ccccc12,0.4858,5.0000,-9.3,-10.0
O=C(NCc1cccc(F)c1)c1nc(-c2cccc(C(F)(F)F)c2)no1,0.7139,5.0000,-8.9,-10.4
O=S(=O)(/N=C(\[O-])COc1ccc2c(c1)CCCC2)c1cccc(F)c1,0.6035,4.9547,-9.4,-9.8
Cc1onc(-c2ccccc2Cl)c1C(=O)Nc1cccc(OCc2cc[nH]c2)c1,0.4442,5.0000,-9.0,-10.0
Cc1ccc(NC(=O)[C@H](C)S(=O)(=O)c2nnc(C3CCCCC3)s2)c(C)c1,0.809,4.8904,-8.8,-10.2
N#Cc1ccc(OC(=O)c2cccc(NC(=O)c3ccccc3F)c2)cc1,0.5594,5.0000,-9.0,-9.8
O=C(Nc1cccc(Cl)c1)Nc1cccc(S(=O)(=O)/N=C2/CCCN2)c1,0.7414,4.9133,-8.8,-10.0
C[C@@H]1CC[C@@H]2C(=O)N(c3ccc(-c4ccccn4)cc3)C(=O)[C@H]12,0.8,5.0000,-8.8,-9.9
Cc1nn(-c2ccccc2)c(C)c1NC(=O)C(=O)N[C@H](C)CCc1ccccc1,0.632,5.0000,-8.9,-9.8
O=C(NCc1ccccc1F)c1cnn2c(-c3ccccc3)ccnc12,0.6155,5.0000,-8.8,-9.9
C[C@H]1CCC[C@H](C)N1C(=O)c1cccc(-c2ccccc2)c1,0.7817,5.0000,-9.0,-9.7
CCOC(=O)c1ccccc1NC(=O)c1cccc(-c2noc(C3CC3)n2)c1,0.6516,5.0000,-9.2,-9.5
CC(C)CNC(=O)NC(=O)C1=CN(c2cccc(F)c2)C(=O)N(C)C1=O,0.8386,4.3365,-9.1,-9.6
C[C@H](Sc1ccccc1)c1nc(-c2ccc(Cl)c(C(N)=O)c2)no1,0.6849,4.8710,-9.0,-9.6
Cc1ccc(C(=O)N(C)c2ccc(NC(=O)c3cccs3)cc2)cc1C,0.7162,5.0000,-9.3,-9.3
O=C(NCc1ccc(F)cc1C[NH+]1CCOCC1)c1cc2cc(Cl)ccc2o1,0.6881,5.0000,-8.9,-9.7
C[C@@H](NC(=O)[C@@H]1CC(=O)N(c2cccc(Cl)c2)C1)C(=O)Nc1ccccc1,0.8302,5.0000,-9.0,-9.6
O=C(Nc1nnc(CCc2c[nH]c3ccccc23)s1)c1ccc([N+](=O)[O-])cn1,0.3813,5.0000,-8.9,-9.7
COC(=O)c1c(/N=C/c2cccc([N+](=O)[O-])c2)oc2c1/C(=N/NC(N)=S)c1ccccc1-2,0.1552,5.0000,-9.0,-9.6
Cc1cc(C)c(NC(=O)[C@H]2CC(=O)N(C3CCCCC3)C2)c(C)c1,0.9189,5.0000,-8.7,-9.9
CC(C)C[C@@H]1CCN(C(=O)c2nc(-c3cccnc3)nc3ccccc23)CC1,0.6701,5.0000,-9.3,-9.2
CC(=O)Nc1ccc(C(=O)OCC(=O)N2CCc3cc(F)ccc3C2)cc1,0.8395,5.0000,-8.6,-9.9
CC(C)Oc1ccc2c(C(=O)N(C)CCCc3ccccc3)cc(=O)oc2c1,0.5749,5.0000,-9.2,-9.3
COc1cccc(NC(=O)CCc2nc3ccccc3c(=O)n2-c2ccccc2)c1OC,0.4806,5.0000,-9.2,-9.3
NS(=O)(=O)c1cccc(S(=O)(=O)N[C@@H](c2ccccc2)c2ccc(F)cc2)c1,0.639,4.8592,-9.3,-9.1
