SMILES,Dock,QED,SA
[C@@](O)(COc1ccc(-c2cc(Cl)ccc2F)cc1)C(=O)Nc1nc2sc3c(c2c1=O)CCCC3,-10.4,0.603,3.1413
[C@]1(C[NH+](Cc2cccc(Cl)c2)NCc2cn(CCc3ccccc3)nc2-c2ccccc2)c2ccccc21,-10.2,0.336,3.6199
C[C@H]1CCc2c(sc3nc(CNC(=O)Nc4ccccc4C)c4ccccc4c23)C1,-10.2,0.528,2.8275
[C@@](C[NH+]1CCN(C(=O)N[C@@H]2CCN(c3ccccc3)c3ccccc32)CC1)c1ccc(Cl)cc1,-10.1,0.698,3.8019
[C@@](C#Cc1nc2ccccc2c(=O)[nH]1)[C@@]1(NC(=O)c2ccc(C(C)C)cc2)N(C(C)C)C1,-10.1,0.595,4.0033
[C@@](C#Cc1ncoc1C(=O)NC[C@H]1CCC[C@H](C2CC2)S1)c1ccc2c(c1)OCCO2,-9.8,0.830,4.3690
c1ccc(-c2nc(NC3CCC3)nc(Nc3ccc(F)cc3)n2)cc1,-9.7,0.834,2.0296
[C@@]1(c2ccc([C@@H]3CCCN3)nc2-c2ccccc2F)C(=O)N(CC(=O)c2cccs2)N1c1ccc(Cl)cc1,-9.7,0.396,3.6133
O=C(c1nnn(-c2ccccc2)c1CN1CCOCC1)N1CCO[C@@H](c2ccccc2)C1,-9.7,0.725,2.8682
[NH+]=C([O-])c1cccc(NC(=O)[C@H]2CCCN(S(=O)(=O)c3ccc(F)cc3)C2)c1,-9.6,0.627,2.9785
[NH+]=C(Nc1n[nH]c2c1CCCC2)N1CCN(c2ccccc2)CC1,-9.6,0.663,2.8260
c1cc(C(=O)O[C@@H]2CCCN(c3ccc(F)cc3F)C2=O)cc2c1OCO2,-9.6,0.882,2.8017
[C@H]Oc1cccc(C(=O)Nc2ccc(Cl)cc2C(=O)N2CCC(C)CC2)c1OC,-9.6,0.891,2.4675
[C@@]1(NC2CCN(c3cccc[nH+]3)CC2)CCC[C@H]1CC(=O)N1CCN(C2CCCC2)CC1,-9.6,0.851,3.9926
[C@@](C#Cc1ccc(CNC(=O)NCc2ccccc2F)cc1)c1ccccc1,-9.6,0.756,2.4160
NS(=O)(=O)c1cccc(-c2n[nH]cc2-c2cccc3ccccc23)c1,-9.6,0.703,2.3881
[C@@]Oc1ccc(C2=NN=C(Oc3nc4ccccc4cn3)[C@H](c3ccccc3)[CH-]2)cc1OC,-9.5,0.534,4.0162
[C@]O[C@@H]1C(=O)Nc2cc(OCc3ccccc3F)c(NCc3ccccc3)cc21,-9.5,0.731,3.1825
