SMILES,Dock,QED,SA
O=C(NCc1nnc(-c2ccc(Cl)cc2)n1-c1ccccc1)c1ccccc1,-10.2000,0.4965,5.8622
O=C(c1cccc(-c2ccccc2)c1)N1CCC(Oc2ccc(F)cc2)CC1,-10.0000,0.5791,4.8654
O=C(Nc1nccc2ccccc12)c1ccccc1OCc1ccccc1,-10.0000,0.4945,5.8116
O=C(c1ccc(F)cc1)N1CCC[C@@H](C(=O)N2CCC(Cc3ccccc3)CC2)C1,-9.9000,0.7123,4.0922
O=C(c1cccc(NC(=O)C(=O)N2CCC(C(=O)NCc3ccccc3)CC2)c1)N1CCCCC1,-9.9000,0.5986,4.9286
O=C(c1n[nH]c2c1CCC2)N1CCC[C@@H](c2nc(-c3ccccc3)no2)C1,-9.8000,0.7228,4.3512
O=C(Nc1ccccc1)c1ccccc1C(=O)N1CCCc2ccccc21,-9.7000,0.6994,4.4676
O=C(c1cccc(C(F)(F)F)c1)N1CCC[C@H](c2nnc3ccccn23)C1,-9.7000,0.6362,3.7321
O=C(NCc1nc(-c2ccccc2)no1)c1cccc(-c2ccccc2)c1,-9.7000,0.5284,5.6483
O=C(Cc1cn(Cc2ccccc2)nc1-c1ccccc1)Nc1ccccc1,-9.6000,0.4831,5.9937
O=C(Nc1ccc2c(c1)CCCC2)c1cccc(NC(=O)Cc2ccccc2)c1,-9.6000,0.6004,5.5718
O=C(Nc1nc2c(s1)CN(C(=O)c1ccccc1C(F)(F)F)C(=O)CC2)c1ccccc1,-9.6000,0.5340,5.3938
Cc1cc(C(=O)CN2C(=O)N[C@@](C)(c3ccccc3)C2=O)c(C)n1C1CCCCC1,-9.6000,0.5446,5.0593
O=C(NC1CCN(c2ccccc2)CC1)c1cccc(-c2ccccc2Cl)c1,-9.6000,0.5959,5.2575
O=C(c1ccc(-c2ccccc2)cc1)N1CCC[C@@H](c2nnc3n2CCCCC3)C1,-9.6000,0.5908,4.9983
O=C(NC[C@H]1COc2ccccc2O1)c1cccc(C(=O)N2CCCC2)c1,-9.6000,0.8528,3.8026
O=C(c1nn(-c2ccccc2)c2c1CCC2)N1CCC(OCc2ccccc2)CC1,-9.5000,0.5943,5.3488
O=C(NCc1ccccc1)c1ccc(N2C(=O)C(=O)N(c3ccccc3)C2=O)cc1,-9.5000,0.4776,5.0618
CC(C)[C@@H](NC(=O)NC[C@@H](c1ccccc1)c1ccccc1)c1ccccc1,-9.5000,0.5136,5.8301
O=C(CNC(=O)c1cc(-c2ccccc2)n[nH]1)NNC(=O)c1ccccc1,-9.5000,0.4609,5.4804
Cc1ccc([C@H]2CCCN2C(=O)CCNS(=O)(=O)c2ccccc2)cc1,-9.5000,0.7975,4.076
O=C(Nc1ccc2c(c1)CCCC2)c1c[nH]c2ccccc12,-9.5000,0.6759,3.6408
O=C(Nc1nccc(C(F)(F)F)c1Cl)[C@@H]1CCCCN1c1ccccc1,-9.5000,0.7814,3.9891
O=C(Nc1ncccc1F)c1cccc(NC(=O)c2cccc(Cl)c2)c1,-9.5000,0.6666,4.883
