SMILES,Dock,QED,SA
CNC(=O)CC(N)(CN)N(C(=O)C1=C(N2CCC(Br)=C2CC(N)CO)N(C)CC1=O)C(CS)(NCO)NC(C)C,-9.003225,0.050840,5.524967
CCN[SH]1C(=O)C=C(C)C(C(NC(C)C)(C(=O)C(O)(F)C(O)(O)N(C)C(C)(F)NS)C2=C(OC(C)=O)CSC2)=C1F,-7.883880,0.062944,6.067331
CNC(CN)CC1=C(CCN)NCC1(OCCl)N(CC(C)(N)F)C(C)(N)O,-7.800000,0.116355,5.486853
C=C(N)C1=CC(N)=C(NC2(C(O)(COC)C(O)(CC)C(=O)N[SH]=O)OC(N)(CF)O2)C1=O,-7.650000,0.135273,5.684817
CCNCN(C)C(CC)(CCS)N(C1=C(OC)SC(=O)C1)C(C)C(C)N,-7.500000,0.340789,5.259714
CCCN(C)C1(N)SC(C(N)(C(=O)C=O)C(C)OC)=C(Cl)C1(N)CCN,-7.500000,0.216780,5.279886
CC(N)C(N)C(=O)C(CN)(NC1(OCN)ON=C(O)O1)C(=O)C(C)(C)N,-7.500000,0.143422,5.513514
CCC(F)C(N)C1=NCC(NC(O)C(C)N)(C(C)(CCCl)C(=O)CNC)N1,-7.500000,0.187846,5.648448
CC(CN)NC(C(=O)C(=O)F)=C1CN(C(OCO)S(C)=O)C(C(C)(N)O)=N1,-7.500000,0.109463,5.613646
CNC(C)C1=C(ON)C(O)(C(C)(C(C)=O)N(C#N)CN)C(C(C)CN)=C1,-7.350000,0.149707,5.467102
C=C(N)CNC(N(CC)C(=O)C(=O)C12N=C(O)OC1(O)[SH]2N)(C(C)(C)O)C(N)(O)O,-7.350000,0.069012,5.877000
CC(Cl)C(C)(C)N(CN)C1(F)CC(C(N)C(N)CO)=C(S)C1(O)OC(N)O,-7.350000,0.092801,5.974341
CC1=C(C(=O)N(C)CN)CS(=O)(C=C([SH]=O)N(C)CC=O)(N(C)C(N)(O)F)C1,-7.350000,0.135803,5.678074
CC(CO)(C(N)N)C1(C(=O)C(=O)F)NC(N)=C(C(O)C(N)=O)N1C(N)N,-7.200000,0.108487,5.323652
CCC1=C(C(C)(CF)C(O)O)C2(C(C(=O)S)C(C)N)C(=O)C2(C(C)(O)CNC)C1,-7.200000,0.166474,5.683214
CCN(C(=O)O)C(O)(NC)C(=N)C1(OC=O)C(=O)C(=O)C(C(C)=O)=C1C,-7.200000,0.135170,4.728983
