SMILES,Dock,QED,SA
Fc1cccc(Oc2cccc3c2ccc2ccccc23)c1,-9.0000,0.4156,4.4038
NOc1ccccc1CCNc1ccccc1Cc1ccccc1F,-8.9000,0.6316,5.4558
Oc1cccc(NOc2ccccc2Nc2ccccc2)c1O,-8.9000,0.4188,5.7153
NOc1ccccc1CCNc1ccccc1Cc1ccccc1,-8.8000,0.6423,5.3439
COc1cc(Cc2ccccc2)ccc1C(=O)Nc1ccc(S(=O)(=O)NO)cc1,-8.8000,0.5171,5.8771
O=C(Cc1ccccc1O)OONc1ccccc1Cc1ccccc1,-8.8000,0.4979,5.8678
CCc1ccc(C(=O)Nc2ccc(S(=O)(=O)NF)cc2)cc1NCO,-8.8000,0.4424,5.0366
Oc1cccc(NOc2ccccc2Nc2ccccc2)c1,-8.7000,0.6042,5.3825
Oc1ccccc1Oc1ccccc1Oc1ccccc1F,-8.5000,0.7262,4.7339
CNc1cc(C(=O)Nc2ccc(S(=O)(=O)NF)cc2)ccc1CN,-8.5000,0.5899,4.9109
O=c1c2c(ncn2Cc2ccccc2)n(CF)c(=O)n1CNc1ccccc1,-8.5000,0.5584,5.6447
Oc1ccccc1Nc1ccccc1ONc1ccccc1F,-8.5000,0.4729,5.4865
CC(=O)Nc1ccc(S(=O)(=O)NCc2ccccc2)c(NNF)c1N,-8.5000,0.2869,5.7337
c1ccc(Oc2cccc3c2ccc2ccccc23)cc1,-8.4000,0.4191,4.2943
CCc1c(NC(C)=O)ccc(S(=O)(=O)NCc2ccccc2)c1C,-8.3000,0.8442,3.8905
Fc1ccccc1CCOc1ccccc1Oc1ccccc1F,-8.3000,0.6054,5.071
Cc1cc(NC(=O)c2ccc(Cc3ccccc3)cc2)ccc1S(=O)(=O)NN,-8.3000,0.4411,5.1844
Nc1cc(C(=O)Nc2ccc(S(=O)(=O)NF)cc2)ccc1Cc1ccccc1,-8.3000,0.4373,5.3846
CC(=O)Nc1ccc(S(=O)(=O)NCc2ccccc2)c(NNF)c1F,-8.3000,0.4417,5.0034
Cc1ccccc1CNOOC(=O)Cc1ccccc1NN,-8.3000,0.3138,4.7804
Cc1cc(S(=O)(=O)NCc2ccccc2)ccc1NC(=O)Cc1ccccc1,-8.2000,0.6422,5.4226
O=C(Cc1ccccc1)Nc1ccc(S(=O)(=O)Nc2ccccc2)c(F)c1O,-8.2000,0.5519,5.5588
NNS(=O)(=O)c1ccc(NC(=O)c2ccc(Cc3ccccc3)cc2)cc1F,-8.2000,0.4382,5.1076
Nc1cc(Cc2ccccc2)ccc1C(=O)Nc1ccc(S(=O)(=O)NO)cc1,-8.2000,0.3764,5.527
Cc1cc(C(C)C(=O)O)ccc1CC(C)Cc1ccccc1,-8.1000,0.8452,3.8843
O=C(Cc1ccccc1Cc1ccccc1)OOCc1ccccc1,-8.1000,0.4721,5.1776
Nc1ccccc1CC(=O)OONCc1ccccc1Cc1ccccc1,-8.1000,0.2773,5.9257
CC(=O)Nc1ccc(S(=O)(=O)NCc2ccccc2)c(C)c1C,-8.0000,0.8838,3.4294
Fc1cccc(Cc2ccccc2)c1Nc1ccccc1,-8.0000,0.6942,4.2115
Fc1cccc(Cc2ccc(-c3ccccc3)cc2)c1,-8.0000,0.6169,3.3981
Fc1ccccc1CCOc1ccccc1Oc1ccccc1,-8.0000,0.6198,4.9615
O=C(Nc1ccc(S(=O)(=O)NO)cc1)c1ccc(Cc2ccccc2)cc1O,-8.0000,0.4767,5.5936
Cc1ccc(C(=O)Nc2ccc(S(=O)(=O)NF)cc2)cc1NO,-8.0000,0.4934,4.284
Nc1cc(C(=O)Nc2ccc(S(=O)(=O)NF)cc2)ccc1Cc1ccccc1F,-8.0000,0.4226,5.4941
c1ccc(NCCc2ccccc2Oc2ccccc2)cc1,-7.9000,0.6786,5.0636
Nc1cccc(NCCc2ccccc2Oc2ccccc2)c1,-7.9000,0.6480,5.3298
CCNc1cc(C(=O)Nc2ccc(S(=O)(=O)NF)cc2)ccc1CC,-7.9000,0.6582,4.7133
Nc1cc(NC(=O)c2ccc(Cc3ccccc3)cc2)ccc1S(N)(=O)=O,-7.9000,0.5894,4.7869
O=C(Nc1ccc(S(=O)(=O)NO)cc1)c1ccc(Cc2ccccc2)cc1,-7.9000,0.5707,5.2608
COc1c(O)cccc1NOc1ccccc1Nc1ccccc1,-7.9000,0.5811,5.9843
CCc1ccc(C(=O)Nc2ccc(S(=O)(=O)NF)cc2)cc1NCF,-7.9000,0.5172,4.661
CC(=O)Nc1ccc(S(=O)(=O)NCc2ccccc2)c(C)c1,-7.8000,0.8888,3.3135
NS(=O)(=O)c1ccc(NC(=O)c2ccc(Cc3ccccc3)cc2)cc1F,-7.8000,0.7072,4.6303
CNc1cc(C(=O)Nc2ccc(S(=O)(=O)NF)cc2)ccc1C,-7.8000,0.7315,3.7776
CCc1ccc(C(=O)Nc2ccc(S(=O)(=O)NF)cc2)cc1NC,-7.8000,0.6985,4.1849
Cc1ccc(C(=O)Nc2ccc(S(=O)(=O)NN)cc2)cc1F,-7.8000,0.5866,3.8404
Cn1c(=O)n(Cc2ccccc2)c(=O)c2c1ncn2Cc1ccccc1N,-7.8000,0.5591,5.4193
Oc1c(F)cccc1Oc1cccc2c1ccc1ccccc12,-7.8000,0.4862,4.7366
O=C(Cc1ccccc1)OONCc1ccccc1,-7.8000,0.4902,3.3654
NNS(=O)(=O)c1ccc(NC(=O)c2ccc(Cc3ccccc3)cc2)cc1,-7.8000,0.4513,4.9981
Nc1ccccc1CC(=O)OOONc1ccccc1OF,-7.8000,0.3512,4.6597
CC(=O)Nc1ccc(S(=O)(=O)NCc2ccccc2)c(C)c1CF,-7.7000,0.8411,3.841
Cc1ccc(C(=O)Nc2ccc(S(=O)(=O)NO)cc2)cc1C,-7.7000,0.7527,3.5069
NS(=O)(=O)c1ccc(NC(=O)c2ccc(Cc3ccccc3)cc2)cc1,-7.7000,0.7267,4.5208
COc1cc(C(=O)OF)ccc1NC(C)CCc1ccccc1N,-7.7000,0.7555,4.9545
FOc1ccccc1NCCc1ccccc1Oc1ccccc1,-7.7000,0.6315,5.8152
O=C(Cc1ccccc1)Nc1ccc(S(=O)(=O)NCc2ccccc2)cc1CO,-7.7000,0.5321,5.749
COc1ccccc1COOC(=O)Cc1ccccc1OF,-7.7000,0.5807,4.1569
NOc1ccccc1CCNc1ccccc1NF,-7.7000,0.5525,3.9158
O=C(Cc1ccccc1)OONCc1ccccc1Cc1ccccc1,-7.7000,0.3801,5.6595
Nc1ccccc1CC(=O)OOONc1ccccc1,-7.7000,0.3636,4.1847
O=C(Cc1ccccc1NOO)OOONc1ccccc1,-7.7000,0.3885,5.2847
COc1cc(C(=O)O)ccc1NC(C)Cc1ccccc1,-7.6000,0.8533,3.9597
Fc1ccccc1Oc1ccccc1Oc1ccccc1,-7.6000,0.6358,4.4011
