SMILES,Dock,QED,SA
CC(=O)N/C(=C\c1cc2ccccc2c2c(Cl)cccc21)c1ccc(C)cc1,-10.4,0.313,3.445
Cc1cccc2nc(C)c(CCC(=O)N3CCCC[C@@H]3C(=O)Nc3cccc(C#N)c3)nc12,-10.2,0.643,3.935
[C@]1(c2nc(Cc3ccccc3)n[nH]2)CC(=O)N(c2ccc(F)cc2)c2ccc(OCc3ccccc3)cc21,-10.2,0.289,3.739
[C@](c1ccccc1)[C@@H]1Oc2ccccc2[C@@H]1NC(=O)c1c[nH]c2ccccc12,-10.2,0.558,4.341
[C@H]Oc1ccc(-c2noc(N)c2C(N)=O)cc1C(=O)N[C@H](C)c1ccc(C)cc1,-10.1,0.591,4.156
[C@H]1c2cc(C(=O)NCc3ccccc3)ccc2-n2c1nn1c2nnnc1=O,-10.0,0.504,4.098
Cc1ccc(C(=O)N(c2c(F)cc(F)cc2F)C(=O)c2ccccc2C#N)cc1C,-9.9,0.568,3.502
[C@H]Oc1ccc2nc(C)c(C(=O)Nc3ccn(Cc4cccc([N+](=O)[O-])c4)n3)nc2c1,-9.9,0.377,3.864
[C@]1(c2ccccc2)Oc2c(cccc2C(=O)Nc2cnn(C)c2)c2ccccc21,-9.9,0.562,3.550
[C@](C#CN(C)C(=O)c1cccc(NC(=O)c2cc(F)c(F)cc2Cl)c1)c1ccc(F)cc1,-9.9,0.336,3.856
[C@]1([C@@H](O)c2ccccc2O[C@H](C)c2ccccc2)Cc2ccccc2C1,-9.8,0.687,4.213
O=C1C[C@H](C(=O)N2CCN(c3ccc(OC(F)F)cc3F)CC2)c2cc(S(=O)(=O)N3CCCCC3)ccc2N1,-9.7,0.576,4.174
[C@H]Oc1cccc(Oc2ccccc2NC(=O)c2c[nH]c3ccccc23)c1,-9.7,0.513,3.324
[C@](O)(C[NH2+][C@@H](c1ccc(F)cc1)c1c[nH]c2ccccc12)c1ccc(F)cc1,-9.7,0.466,4.413
[C@]1(C(=O)NCCC(=O)N[C@H](c2ccccc2)c2ccccc2)C2(CCC2)C1(C)C,-9.6,0.746,3.946
[C@H](C)c1cccc(C(=O)NC[C@H](c2ccccc2)c2ccc(S(C)(=O)=O)cc2)c1,-9.6,0.639,3.725
[C@](O)([C@@H]1CCCN1C(=O)c1ccccc1C(F)(F)F)c1cc(F)ccc1F,-9.6,0.79,3.902
Fc1ccc(CN(Cc2cccc(F)c2)C(=O)Cn2cnc3ccccc32)cc1,-9.5,0.484,3.089
[C@H]1c2ccccc2C(=O)N1c1cc(N2CCOCC2)nc(N2CCCC2)n1,-9.5,0.831,3.886
[C@]Oc1ccccc1N1Cc2ccccc2N[C@H]1c1ccc(F)cc1,-9.5,0.74,4.137
[C@]1(c2ccccc2)NC(=O)NC(=S)N1c1cccc(C(F)(F)F)c1,-9.5,0.813,3.650
[C@](O)(c1nc2ccccc2c(=O)[nH]1)c1ccc2[nH]ncc2c1,-9.5,0.527,3.695
[C@H]1C(=O)CC[C@@H](NC(=O)C(=O)Nc2ccc(F)c(Cl)c2)[C@@H]1c1ccccc1,-9.5,0.794,4.294
