SMILES,Dock,QED,SA
Cn1c(N2CCOCC3)nc(NC[C@@H]2CCC[NH+](C)C3)n1,-15.2,0.6516,3.3617
CC1=C(C(=O)N[C@@H](c2ccc(Cl)cc2)[C@@H]2CCCC[C@@H]2[NH2+]1)[C@@H]1C[C@H]1c1ccc(Cl)cc1,-11.0,0.6416,5.0758
Cc1cc(F)ccc1NC(=O)C1=C(N)Oc2nnnn2[C@H]1c1ccc(F)cc1C,-10.7,0.7013,4.7992
Cc1c(N2CCC[C@H]2c2nc3ccc(F)cc3c(=O)[nH]2)ncnc1N1CCCC1,-10.7,0.7355,4.6972
Cc1c(F)cccc1NC(=O)[C@@H]1[C@H](c2ccc([N+](=O)[O-])cc2)c2ccccc2C1=O,-10.6,0.3902,5.4108
Cc1ccc(/C=C2\C(=N)N(C3CCCCC3)C(=O)[C@H]2C(=O)Nc2cccc(C(F)(F)F)c2)cc1,-10.6,0.5553,5.8381
C[C@@H]([NH2+]CC(=O)NC[C@H]1CC(c2ccccc2)=Nc2ccccc21)c1ccccn1,-10.6,0.6408,5.4328
CC1=C(C(N)=O)CC(=O)N(c2cccc3ccccc23)[C@@H]1c1cccnc1Cl,-10.6,0.6806,4.6115
Cc1ccccc1NC(=O)[C@H]1CC(=O)N([C@H](C)c2ccc3ccccc3c2)C1,-10.5,0.7218,4.8106
C[C@@H](Oc1cccc2c1CC(C)(C)CC2)C(=O)N1CCc2c(nn(-c3ccc(C(F)(F)F)cn3)n2)C1,-10.5,0.5268,5.9449
C[C@@H](c1cccc(NC(=O)c2cccc(C#N)c2)c1)c1ccc2c(c1)OCCCO2,-10.5,0.6618,5.6042
CC1=C2C(=O)C([O-])=C(C(=O)c3ccc(C(=O)N4CCOCC4)cc3)C(=O)[C@H]2[C@@H]2CC[C@]1(C)C2,-10.5,0.5165,4.3622
Cn1cc(-c2cccc(NC(=O)c3cc(=O)[nH]c4ccccc34)n2)c2ccccc21,-10.5,0.4779,5.9476
CN1C(=O)[C@H](Sc2nc(-c3ccccc3)nc3c2C(=O)CC(C)(C)C3)c2ccccc21,-10.5,0.5416,5.632
CN(C)C(=O)c1ccc2c(c1)CCN2C(=O)[C@@H]1[C@@H](C(=O)[O-])[C@@H]2[C@@H]1C(=O)c1ccccc2O1,-10.5,0.6849,5.1625
CN(Cc1cccc2ccccc12)C(=O)NCc1ccc2ccc(C(F)(F)F)cc2c1,-10.4,0.4082,5.859
Cc1ccc(C(=O)O[C@@H]2C(=O)N(Cc3ccccc3)C(=O)c3ccc(C(=O)[O-])cc3C2=O)cc1,-10.4,0.3268,5.6421
Cc1c(-c2ccco2)oc2c1C(=O)N(c1cccc(-c3ccccc3)c1)C2=O,-10.4,0.4588,5.7112
C[C@H](Nc1ccc(Cl)cc1C(=O)[O-])c1ccc2c(c1)CCN2C(=O)c1cc(F)ccc1F,-10.4,0.6202,5.7165
Cc1ccc([C@@H]2C3=C([O-])C(=O)N(c4ccccc4C)C(=O)[C@@H]3[C@@H]2c2ccccc2)cc1,-10.4,0.6160,4.7014
CC1=C2[C@H](C(=O)Nc3ccc4c(c3)[C@H](O)CC[C@@H]4C#N)[C@@H](NC(C)=O)[C@H](c3ccccc3)[C@@H]2C1,-10.4,0.5978,5.7563
CC1=C(C(=O)c2cc(S(=O)(=O)N3CCOCC3)ccc2C)C(C)(C)Oc2ccc(Br)cc21,-10.4,0.5512,5.4135
Cc1cccc(-n2nc(C)c(N3CCN(C(=O)c4ccc5c(c4)OCCCO5)C3)c2)c1C,-10.4,0.6287,5.192
Cc1cc2c(c(Cl)c1OCC(=O)N[C@H](c1ccccc1)C(=O)N1CCOCC2)CC1,-10.3,0.7580,3.2374
Cc1c(C(=O)[C@@H]2CCCN(C(=O)Nc3ccc(F)cc3F)C2)oc2ccccc12,-10.3,0.6211,4.9515
Cc1cc(NC(=O)[C@H]2CC(=O)Nc3c(C)cc(C)cc32)c2ccccc2n1,-10.3,0.7194,4.3322
CC1=NOc2ccccc2[C@H]1CC(=O)N1CC[C@H]2[C@H](CC(=O)N(c3ccccc3)C2=O)C1,-10.3,0.6984,4.5259
Cc1c(O)cc(C(=O)N2CCOCC2)c(OC(=O)c2cccc3cccnc23)c1C,-10.3,0.5306,4.7023
Cc1ccc(C(=O)N2CCCC2)cc1NC(=O)c1ccc2ccccc2n1,-10.3,0.7678,4.3356
CC1=C[C@H](c2ccc(Cl)c(N3C(=O)[C@H](C)CCC3=O)c2)[C@@H](c2ccccc2Cl)C(C#N)=C(N)O1,-10.3,0.5439,5.9749
CN1C(=O)[C@@H]2C=CC[C@H]2[C@@H](c2ccc3ccccc3c2)N1C(=O)c1ccc(F)cc1,-10.3,0.5831,4.4831
Cc1ccc(N2C(=O)[C@@]3(Cc4ccccc4O3)c3ccccc3O2)cc1Cl,-10.2,0.6100,4.367
Cn1c(-c2ccc(Cl)cc2)nn([C@H]2CCCc3ccccc32)c1=O,-10.2,0.7116,3.7473
Cn1c([C@H]2CC(=O)N(c3cc(C(F)(F)F)c4ccccc4n3)C2)nc2ccccc21,-10.2,0.4830,4.9688
Cc1c(NC(=O)c2cccc3c2CCN(C(=O)c2ccccc2)C3=O)ccc2c1OC[C@H](C)C2,-10.2,0.5845,5.6011
C[C@H](CNC(=O)c1cnc2cc3cccnc3n2c1[O-])[NH+]1CCc2ccccc2C1,-10.2,0.5275,5.9952
CNC(=O)c1ccc(S(=O)(=O)[N-]n2c(=O)[nH]c3ccc([N+]3=[NH+]C=N3)cc23)cc1,-10.2,0.5932,5.5648
Cc1c([C@@H](C)N2CCC[C@H]2c2ccc3c(c2)OCCCO3)oc2c1C(=O)CC(C)(C)C2,-10.2,0.6242,5.4536
Cn1c(=O)c2c(nc3n(-c4ccccc4)c(C(=O)N(C)C)ccc32)c2ccccc21,-10.2,0.4573,4.6493
CN(C(=O)N1CCC[C@H](Nc2ccc3ccccc3c2)C1)c1cccc(C(N)=O)c1,-10.2,0.6904,5.0482
Cc1c(C)c(=O)oc2c1[C@@H](c1ccc(F)cc1)C[C@H]2C(=O)OCc1ccccc1,-10.2,0.6010,5.0996
Cc1c(F)cccc1NC(=O)c1ccc2ccccc2c1NC(=O)C(C)(C)C,-10.2,0.6300,4.8435
CNC(=O)c1ccc(Br)c(C(=O)N2CC[C@@]3(CCCN(c4ccc(C)cc4)C3)C2)c1,-10.2,0.7301,4.5686
CN(CC1(c2ccccc2)CCN(c2ncccc2)CC1)C(=O)Nc1ccc(F)cc1,-10.2,0.6396,5.584
Cc1cccc(-c2ccc(C)cc2C(=O)Nc2cccc(CO)c2)c1C,-10.2,0.6971,4.7715
Cc1c(F)cccc1-c1cccc(CN2CC3(CCC4(C3)CCCCC4)C2)n1,-10.2,0.6383,4.7689
CC1(C)CCC2=C(C(=O)CC(C3)CC(O)(C(F)(F)F)[C@H]3C2)COC1,-10.1,0.7256,1.4719
C[C@@H](Oc1ccccc1)C(=O)N1CCCC[C@H](C(=O)Nc2ccc(F)cc2F)C1,-10.1,0.8225,4.4074
Cn1cc([C@@]2(C)NC(=O)CN2C(=O)[C@@H]2CCCc3ccccc32)c(-c2ccccc2)n1,-10.1,0.7149,4.6717
CN1C(=O)[C@@]2(C3=CCc4ccccc43)[C@H](CS(=O)(=O)c3ccccc3)n2NC1=O,-10.1,0.7759,4.9542
CN1C(=O)[C@@H]2CCCN2C(=O)[C@H]1CC(=O)c1ccccc1N1C(=O)c2ccc(Cl)cc2C1=O,-10.1,0.5105,4.6186
C[C@H](C1CCCCC1)S(=O)(=O)c1cc(F)ccc1C(=O)Nc1ccc(F)c(C(F)(F)F)c1,-10.1,0.5415,5.5348
Cc1ccccc1CNC(=O)[C@@H]1CCCN(S(=O)(=O)c2ccc3ccccc3c2)C1,-10.1,0.6789,5.0204
