SMILES,Dock,QED,SA
C[C@H](NC(=O)c1nn(-c2ccc(F)cc2)c(=O)c2c1CCCC2)c1ccc(F)cc1,-11.2,0.7114,4.8896
Cn1c(N2CCCC2)nc2cc(-c3ccc(C(=O)NC(=O)N4CCO[C@@H](C)C4)cc3)cc(=O)n21,-11.0,0.6352,5.4789
CC1=C(C(=O)NCc2cccc(C(F)(F)F)c2)c2cc(C(=O)N3CCCC3)cc(C)c2C1,-10.9,0.7327,4.8303
Cc1ccc(-c2ccccc2)c(CNC(=O)[C@@H]2CCCc3ccccc32)c1,-10.7,0.6670,4.8866
CN1CC[NH+](CC(=O)Nc2ccccc2C(=O)Nc2c(C)nn(Cc2ccccc2)c2)c2c(F)cccc21,-10.7,0.5746,5.915
C[C@@H](C(=O)c1ccc2ccccc2c1)[NH+]1CCCC[C@H]1C(=O)NCc1ccccc1C,-10.7,0.6059,5.094
Cn1cccc1C(=O)Nc1cc([C@H]2COc3ccccc3C2)c2ccccc2n1,-10.5,0.5649,5.4727
C[C@@H]([NH2+]C1c2ccccc2Oc2ccccc21)c1nnc2ccccc2n1,-10.5,0.6104,4.8175
Cc1ccccc1N1C(=O)c2ccccc2C(=O)N1CCC[C@H]1CCC[NH2+][C@H]1C,-10.5,0.7256,4.3557
Cc1cccc(N2CCN3C(=O)c4cccnc4C3=C2C(=O)N(C2CCCCC2)C2CCCC2)c1,-10.5,0.6210,5.8896
CC(C)CN1C(=O)c2ccccc2[C@H]1C(=O)NCC(=O)N1CCC[C@@H]1c1ccc(C(C)C)cc1,-10.4,0.6626,5.8151
CN(Cc1ccccc1)C(=O)c1oc2ccccc2c1-c1ccc(C(C)(C)C)cc1,-10.4,0.3852,5.9501
Cc1ccc([C@H]2CC([NH3+])(Cn3c(=O)oc4ccccc43)c3ccccc32)cc1,-10.4,0.5983,4.6453
Cc1ccc(S(=O)(=O)c2nn(-c3ccccc3)c(=O)c3c2CCCC3)cc1,-10.4,0.6994,4.1929
CC1(C)C(=O)N(c2ccc(C(=O)Nc3ccccc3C(F)(F)F)cc2)C(=O)C[C@@H]1C,-10.4,0.7226,4.3292
Cc1c(O)c(=O)oc2c(C(=O)Nc3ccc(C(F)(F)F)cc3)cc3c[nH+]ccc3c21,-10.4,0.3817,4.9113
Cc1cccc(-n2c(=O)c(S(=O)(=O)[C@H]3CCC[C@@H]3C)c3nc(C4CCC4)ncc3c2)c1,-10.4,0.6071,5.5973
Cn1nc(-c2cc(CNC(=O)c3cccc(F)c3)ccc2Cl)c2ccccc21,-10.3,0.5322,5.5188
Cn1c(=O)[nH]c2[nH]ccc2c1=N\C(=N\Cc1ccc(Br)cc1)C(=O)Nc1ccccn1,-10.3,0.3087,5.2636
Cc1c(-c2ccccc2)oc2c1[C@@H](c1ccc(C(F)(F)F)cc1)[C@H]1CCC[C@H]21,-10.3,0.4530,5.2553
COc1ccccc1[C@H](NC(=O)[C@H]1Cc2ccccc2C[NH2+]1)c1cccc2nocc12,-10.3,0.5262,5.4476
Cc1cccc(-n2c(C)c([N+](=O)[O-])c(C(=O)NNC(=O)c3ccc(N4CCOCC4)cc3)n2)c1,-10.3,0.4374,5.9137
COc1ccc(C)c(NC(=O)N2CCC[C@@H](n3c(=O)oc4ccccc43)C2)c1,-10.3,0.7490,4.6141
Cc1c(F)ccc(F)c1Cc1ccnc(NCc2ccc(F)c(Br)c2)c1,-10.2,0.5658,5.4927
Cc1ccc(-c2nn(-c3ccc(F)cc3)nc2C)cc1NC(=O)N1CCN(C)C(=O)C1,-10.2,0.7035,4.4422
Cn1ccnc1-c1cc(C(=O)NCc2ccc(F)c(F)c2)nc(N2CCCCCC2)n1,-10.2,0.6763,5.3607
COc1cccc(-c2c(N(C)C(=O)Nc3cc(=O)[nH]c4ccccc34)oc2=O)c1,-10.1,0.6662,4.9747
CN1C(=O)c2ccc(NC(=O)Nc3cccc(Cl)c3)cc2C(=O)N2c3ccccc3C[C@@H]21,-10.1,0.6033,5.3171
Cc1c(-c2ccc(C(=O)N3CCC[C@H](C)C[C@@H]3Br)o2)c2ccccc2n1C,-10.1,0.3856,4.8072
CN1C(=O)[C@@H](CC(=O)Nc2cccc3c2OCCO3)C(=O)c2ccc(S(=O)(=O)N3CCCCC3)cc21,-10.1,0.6095,5.6196
COc1cccc([C@H]2Nc3ccccc3C(=O)N2C(=O)[C@H]2CCC(=O)N(C(N)=O)C2)c1,-10.1,0.7308,4.6367
CN1CC(=O)N(c2ccc(Cl)cc2)C(=O)/C1=C\NC(=O)c1nc(-c2ccccc2)no1,-10.1,0.4929,5.1632
C[C@H](Oc1ccc2c(c1)OCCCO2)C(=O)N1CCC[C@@H](c2nc3c(Cl)cccc3[nH]2)C1,-10.1,0.6241,5.8469
CC(C)[C@H](NC(=O)Cc1ccc(NC(=O)N2CCOCC2)cc1)C(=O)Nc1cccc(C)c1,-10.1,0.6008,5.4633
CNC(=O)c1cccc(NC(=O)c2ccc3c(c2)CCN3C(=O)c2cccc(CO)c2)c1,-10.1,0.5807,5.3942
Cc1cccc(C)c1NC(=O)N1CCC[C@H]1c1ccc(N2CCCCCC2)cc1,-10.1,0.6908,4.8542
Cn1c(N2CCC(N3CCC(O)CC3)CC2)nc(-c2ccc3ccccc3c2)n1,-10.1,0.7437,4.5728
C[C@H](CC(=O)N1CC(O)=Nc2ccccc21)[C@@H]1CC(=O)NC(c2ccccc2)=N1,-10.0,0.8402,4.4208
Cn1c2ccccc2c2cc(C(=O)N(C)c3cccc4ccccc34)cc(C(=O)[O-])c21,-10.0,0.4518,5.4727
Cc1cccc2sc(N(C(=O)c3ccccc3)C(=O)c3ccccc3)nc12,-10.0,0.4706,5.3128
Cc1c(C(=O)N2CCO[C@H](c3ccc(F)cc3)C2)cc(=O)[nH]c1-N1C(=O)c2ccccc2C1=O,-10.0,0.6050,4.8956
C[C@@H]([NH2+][C@H](c1ccccc1)c1ccc2c(c1)CCC2)c1ccc(F)c(F)c1,-10.0,0.6653,4.631
Cc1ccc2nc(CN3C(=O)S/C([O-])=C(/C(=O)Nc4ccccc4)C3=O)sc2c1,-10.0,0.5422,5.5536
Cn1c(=O)[nH]c(=O)c2c(C(=O)Oc3ccc4ccccc4c3C)[nH]c(=O)nc12,-10.0,0.3956,5.441
Cn1c([C@@H]2CC(=O)N(Cc3cccc(-c4ccc(Cl)cc4)n3)C2)cc(=O)[nH]c1=O,-10.0,0.7144,4.566
C[C@H](CNC(=O)[C@@H]1CC(=O)N(c2cccc3ccccc23)C1)c1ccccc1,-10.0,0.7326,4.8186
Cc1c(-c2ccc(Cl)cc2)nn(C)c1NC(=O)c1n[nH]c2ccccc12,-10.0,0.5716,5.11
Cn1cc(-c2cccc(F)c2F)c2c1C(=O)C[C@H]2NC(=O)C1CCCCC1,-10.0,0.8736,4.0354
C[C@@H](c1ccc2ccccc2c1)N(C)C(=O)Nc1cc(C(=O)N(C)C(F)F)ccc1Cl,-10.0,0.4886,5.738
CN1CCc2cc(-c3ccc4c(c3)OCO4)cc(NC(=O)C3CCCC3)c2C1,-10.0,0.8697,4.5635
CN1CC(=O)[C@@H]2[C@@H](CC(=O)c3cc(F)ccc3F)N[C@H](c3ccc([N+](=O)[O-])cc3)C2=N1,-10.0,0.4460,4.9862
C[C@@H](O)c1ccc(CNC(=O)C(=O)NC[C@@H](c2ccc3c(c2)OCCO3)C(F)(F)F)cc1,-10.0,0.5858,4.9615
Cc1cc(C)c2c(=O)n(C(=O)c3cncc4ccnn34)c(Br)cc2c1C,-10.0,0.4504,4.306
C[C@@H](NS(=O)(=O)c1ccccc1)C(=O)N[C@@H]1CCCn2nc(-c3ccccc3)cc21,-10.0,0.6364,5.4431
C[C@H](O)[C@H]1Cc2ccccc2N1C(=O)c1nc2ccccc2c(=O)[nH]1,-10.0,0.7485,3.826
Cn1c([C@H](Cl)C(F)(F)F)ccc1NC(=O)C(=O)Nc1cccc(N2C(=O)c3ccccc3C2=O)c1,-9.9,0.3151,5.9925
Cc1c(NC(=O)c2ccc3c(c2)CCC(=O)N3)cccc1-c1ccc(F)cc1,-9.9,0.6823,4.9172
Cc1c(Br)cccc1NC(=O)c1ccc2c(c1)C(=O)N(Cc1ccccc1)C2=O,-9.9,0.5820,5.5691
Cc1c(Br)cccc1NC(=O)c1ccc(S(=O)(=O)c2ccc(F)cc2F)cc1,-9.9,0.5433,5.3919
COc1cccc(N2C[C@H](C(=O)NOCc3cccc4cccnc34)CC2=O)c1,-9.9,0.6538,5.1566
Cc1cc(NC(=O)C2CCN(S(=O)(=O)c3ccc4c(c3)OCO4)CC2)cc([N+](=O)[O-])c1F,-9.9,0.5311,5.1825
COc1ccc(-c2[nH]c3ccccc3n2)cc1NC(=O)c1cccc(C(=O)[O-])c1,-9.9,0.5484,5.4636
Cc1ccccc1-n1cc(C(=O)OC(=O)c2cncnc2)c(-c2ccc(C)cc2)n1,-9.9,0.3822,5.7268
Cc1ccc([C@H](C)C(=O)N2CCN(S(=O)(=O)c3ccc4c(c3)OCCO4)CC2)c(C)c1,-9.9,0.7249,4.1066
CN(C(=O)CCC(=O)N1CCC(C)c2nc3ccccc3n21)c1noc(C2CC2)n1,-9.9,0.6439,5.172
C[C@H](NC(=O)N[C@@H](Nc1ccccc1)c1cccc(C)c1)c1cc(F)ccc1F,-9.9,0.4867,5.9886
Cc1c(F)cc(C(=O)NNC(=O)[C@@H](C)Oc2ccc(N3C(=O)c4ccccc4C3=O)cc2)cc1,-9.9,0.4487,5.6789
CN1CC[NH+]([C@@H]2Cc3ccccc3C2=O)CN1c1ccccc1NC(=O)c1ccccc1O,-9.9,0.5748,5.5793
Cn1ccnc1-N1CCN(C(=O)c2cn(-c3ccccc3)nc2-c2ccncc2)CC1,-9.9,0.5144,5.3151
Cc1cc(N)cc(C(=O)N2CCC[C@@H](c3ccc(F)cc3)C2)c1,-9.9,0.8588,2.8116
C[C@@H]([NH2+][C@H](c1cccc(F)c1)c1ccc(C)cc1)c1nc2ccccc2n1C,-9.9,0.5508,5.1482
C[C@@H](C(=O)c1cccn(O)c1=O)[C@@H]1CCC[NH+](Cc2cccc3ccccc23)C1,-9.9,0.5190,4.6088
CN(CC[NH+]1CCOCC1)c1nc2cc(C(F)(F)F)cn(-c3ccccc3)c2n1,-9.9,0.7015,4.3611
Cn1cc(-c2nc3c(cc4ccccc4N3)n2)c(-c2ccccc2)n1,-9.9,0.5307,4.592
Cn1cc(-c2cccc(C(=O)N3CCC([NH+]4CCNC(=O)c5sccc54)CC3)c2)cn1,-9.9,0.6568,5.0849
C[C@H](NC(=O)Cc1n[nH]c2ccccc12)c1cccc(C(F)(F)F)c1,-9.8,0.7494,4.0986
Cc1c(Cl)cccc1Nn1c(=O)[nH]c(=O)c2cc(F)ccc21,-9.8,0.7629,3.2816
Cc1ccc(-n2nc3c(c2CCc2ccc(O)cc2)CC(=O)N3)cc1,-9.8,0.7705,4.5
Cc1cccc(N2C(=O)C[C@@H](NC(=O)c3cccc4c3OCC4)c2Cl)c1,-9.8,0.6670,3.5692
