SMILES,Dock,QED,SA
Cc1ccccc1-n1c(SCC(=O)Nc2ccc3c(c2)OCO3)nc2ccccc2c1=O,-10.8,0.3671,6.7876
Cc1cccc(NC(=O)c2nc(-c3ccccc3OC)nc3ccccc23)n1,-10.4,0.5807,5.5417
Cc1ccccc1CCN1CC(=O)N2[C@H](CC(C)=C[C@H]3C[C@@H]2[C@@H]2CCS(=O)(=O)N23)C12CCCCC2,-10.3,0.5984,4.4769
O=C(CSc1ncnc2sc3nc(-c4ccccc4F)nn3c12)Nc1ccc2c(c1)OCO2,-10.3,0.2974,7.9619
O=C(N[C@H]1CCCc2ccccc21)N[C@H](c1ccccn1)C1CCCCC1,-10.1,0.7957,4.7292
C[C@@H]1C[C@@H](c2cccc(F)c2)N(C(=O)[C@H]2CC[C@H]3CCCC[C@@H]3[NH2+]2)C1,-10.1,0.8789,2.1254
O=C(Nc1ccc2c(c1)OCCCO2)C1CCC(CNc2ncc3c(n2)CC[NH2+]C3)CC1,-10.0,0.6610,5.5022
Cc1ccccc1[C@@H]1c2ccsc2CCN1C/C=C/c1ccccc1F,-10.0,0.5613,5.0914
Cc1ccc(NC(=O)c2cccc(-c3ccccn3)c2)cc1N1CCOC1=O,-10.0,0.7415,5.1137
Cc1cc(NC(=O)CCN2C(=O)c3ccccc3C2=O)nc(-c2ccccc2)n1,-9.9,0.6805,5.0841
Cc1cccc(C(=O)Nc2ccc(NC(=O)Nc3ccc4c(c3)CCC(=O)N4)cc2)c1,-9.9,0.4945,5.9853
C[C@@H]1c2ccccc2CCN1C(=O)Cn1c(C(F)(F)F)nc2ccccc21,-9.9,0.6752,3.7674
Cc1ccc2c(c1)C(C)(C)C[C@]1(CO1)C[C@H]1C(=O)NC(=O)N1CC2,-9.8,0.5871,1.8113
Cc1ccc(S(=O)(=O)N[C@H](C(=O)Nc2ccccc2Cl)c2ccccc2)cc1,-9.8,0.6308,5.5398
CC(=O)N1CSc2c(O)cc(C(=O)Nc3c(F)c(F)c(F)c(F)c3F)cc2C1,-9.7,0.4429,3.7882
NC(=O)c1cccc(NC(=O)N2CCC(NC(=O)c3ccc(Cl)cc3)CC2)c1,-9.6,0.7344,4.0869
COc1cccc(C(=O)Nc2c(-c3ccc(OC)cc3O)nn(-c3ccncc3)c2C#N)c1,-9.6,0.4668,7.0644
C[C@@H](Cc1nc2ccccc2c(=O)[nH]1)NC(=O)c1n[nH]c2c1CCCC2,-9.5,0.6675,4.5956
COc1cc(C)ccc1NC(=O)C1=NN(c2ccccc2)[C@@H]1c1ccccc1Cl,-9.5,0.6333,6.012
Cc1ccccc1-c1nnc(SCc2cc(=O)n3ccccc3n2)[nH]1,-9.5,0.5731,4.9706
Cc1ccccc1-c1ccc(CN2CCC[C@H](C[NH+]3C[C@H](C)C[C@@H](C)C3)C2)nc1,-9.5,0.8347,4.1741
Cc1ccccc1NC(=O)C(=O)N[C@H](c1ccccc1)c1ccc(Cl)cc1,-9.4,0.6569,4.7543
Cc1ccc(NC(=O)Cn2nc(-c3ccccc3)ccc2=O)c(C)c1,-9.3,0.7975,4.0499
NC(=O)[C@H]1Cc2ccccc2N2C(=O)c3ccccc3N[C@H]12,-9.3,0.8407,3.0689
O=C(CSc1nc(-c2ccc(Cl)cc2)n[nH]1)Nc1ccc(N2CCCCCC2)cc1,-9.3,0.5117,6.669
Cc1nc(-c2ccc[nH]2)sc1CC(=O)NCc1ccc(C[NH+]2CCCCCCC2)cc1,-9.3,0.5283,5.8854
Nc1nc(-c2ccc3c(c2)CCN3S(=O)(=O)c2ccc(Cl)s2)cs1,-9.3,0.7276,5.0023
Cc1cc(C)cc(O)c1C(=O)N[C@@H](c1ccccn1)[C@@H](C)CC1CCOCC1,-9.3,0.7801,5.1048
C[C@H]1Cc2ccccc2N(C(=O)c2ccccc2Cl)C1,-9.3,0.7696,2.2743
O=C(Nc1ccccc1Cl)c1cccc(S(=O)(=O)N2CCCCCC2)c1,-9.3,0.8491,4.1194
NC(=O)c1ccccc1NC(=O)c1ccc(Cl)cc1Cl,-9.3,0.9124,3.0252
COc1ccccc1-c1cccc(N2CCN(C(=O)c3ccc([N+](=O)[O-])cc3)CC2)n1,-9.2,0.4644,5.4388
Cc1cccc(N2CCN(Cc3ccc(OCc4ccc(C)c(C)c4)cc3)CC2)[nH+]1,-9.2,0.6148,5.2418
Cc1cccc(NC(=O)[C@H](C)N2CCN(C(=O)c3ccccc3)CC2)c1C,-9.2,0.9059,3.5125
Cc1cccc(N2C[C@H](C(=O)Nc3cc(C)on3)CCC2=O)c1C,-9.2,0.9401,3.1888
O=C(Nc1cnc(S(=O)(=O)N2CCCCC2)cc1)C(O)(c1ccccc1)c1ccccn1,-9.2,0.5944,5.5843
Cc1ccc(C)c(OCCn2cnnc2S(=O)(=O)Cc2ccc(Cl)cc2)n1,-9.1,0.5990,5.3937
O=C(Nc1nc2ccccc2s1)[C@@H]1CCCN(S(=O)(=O)[C@@H]2CCS(=O)(=O)C2)C1,-9.1,0.7654,4.9301
CS(=O)(=O)[C@@H]1N[C@H](c2ccccc2)[C@@H]2[C@H]1C[C@H]2OC(=O)c1ccccc1Cl,-9.1,0.7905,4.3879
O=C(CCc1cccc(O)c1)Nc1ccccc1N1CCc2sccc2C1,-9.1,0.6828,5.7091
O=C(CCn1ccnc1-c1ccccc1)N[C@@H](c1ccccc1)c1ccccn1,-9.1,0.5200,6.2578
Cc1ccccc1CN[C@H](c1ccccc1)c1c(F)cccc1F,-9.1,0.6843,4.5574
