SMILES,Dock,QED,SA
Cc1cccc(N2CCN(C(=O)c3noc4c3COC3=CC=CC=S34)CC2C)c1,-9.9,0.7081,4.332
O=C1CCC2(CCCN(C(=O)c3ccccc3)C2)CN1CCC1=CNC[NH+]1,-9.9,0.8210,4.4846
Cc1cccc(N2CCN(C(=O)c3noc4c3COc3ccncc3-4)CC2C)c1,-9.8,0.6687,4.4282
O=C(CN1CCCc2ccccc21)Nc1cpccc1C(=O)Nc1ccccc1,-9.8,0.6364,5.8483
Cc1cccc(N2CCN(C(=O)c3noc4c3COc3ccccc3-4)CC2C)c1,-9.7,0.6655,4.5396
O=C1C2C3C=CC(CC3)C2C(=O)N1N=Cc1c(O)ccc2c1=CCCC=2,-9.7,0.4972,4.072
Cc1cccc(N2CCN(C(=O)c3noc4c3COC3CC=CC=C43)CC2C)c1,-9.7,0.7833,4.0606
O=C1C2C3CCC(CC3)C2C(=O)N1N=Cc1c(O)ccc2ccccc12,-9.6,0.6686,4.0613
O=C1C2C3CCC(CC3)C2C(=O)N1N=CC1=C(O)CCc2ccccc21,-9.6,0.6570,3.7803
O=C1C2C3CCC(CC3)C2C(=O)N1N=CC1=C(F)CCc2ccccc21,-9.6,0.6016,3.5484
CC(=O)N1CCCC(C(=O)N2CCC(OCc3cc#ccc3)CC2)C1,-9.5,0.8415,2.6857
O=C(NCc1cccc(NC(=O)C2CCC2)c1)Nc1ccc(Cl)cc1F,-9.5,0.7176,4.8304
O=C1CCC2(CCCN(C(=O)c3ccccc3)C2)CN1CCc1csc[nH+]1,-9.5,0.8137,3.4213
CCc1cccc(NC(=O)CN2C(=O)NC(C)(c3ccc4c(c3)COC4)C2=O)c1,-9.5,0.7649,4.496
O=C1C2C3C=CC(CC3)C2C(=O)N1N=Cc1c(O)ccc2ccccc12,-9.5,0.5160,4.0345
O=C(Nc1ccccc1C(F)(F)F)c1cccc(OC2=CN=CC=I2)c1,-9.4,0.6380,5.1851
O=C(NCc1cccc(NC(=O)C2CCC2)c1)Nc1cpc(Cl)cc1F,-9.4,0.6595,5.1898
O=C1N=C(N2CCN(c3cccc4ccccc34)CC2)SC1=Cc1ccccc1O,-9.4,0.6313,5.1882
O=C(NCc1cccc(NC(=O)C2CCC2)c1)Nc1ccc(Cl)nc1F,-9.3,0.6911,4.7124
Cc1c(C(=O)NNC(=O)c2ccc3c(c2)OCO3)[pH]c2ccc(F)cc12,-9.3,0.6780,4.1059
N=C(Nc1cccc(CNC(=O)Nc2ccc(Cl)cc2F)c1)C1CCC1,-9.3,0.4392,5.2508
NCc1ccccc1NC(=O)CNC(=O)C1CCCN1C(=O)C1=CC=CC1,-9.3,0.6987,4.9535
Cc1coc(-c2ccc(C)c(NC(=O)C(=O)NCC(C)(C)c3ccncc3)c2)n1,-9.3,0.6489,5.0325
NC(=O)c1cccc(OCCC(=O)NCc2cc(=O)[nH]c3cc#ccc23)c1,-9.2,0.5871,5.7605
CC1CC(C)CN(C(=N)C(Cc2ccccc2)NC(=O)c2ccco2)C1,-9.2,0.6376,4.1767
Cc1c(C(=O)NNC(=O)C2=CC=C3OCOC3C2)oc2ccc(F)cc12,-9.2,0.8038,3.6942
O=C1C2C3C=CC(CC3)C2C(=O)[SH]1N=Cc1c(O)ccc2ccccc12,-9.2,0.4835,4.6794
O=C(c1ccc(-c2ccccc2)cc1)C1CCCN(C(=O)CSc2ncccn2)C1,-9.2,0.3388,5.8246
NC(=O)C1=CCCC(OCCC(=O)NCc2cc(=O)[nH]c3ccccc23)=C1,-9.2,0.6900,5.3168
O=C1N=C(N2CCN(c3cccc4ccccc34)CC2)SC1=Cc1pcccc1O,-9.2,0.5818,5.559
NC(=O)C1=CCCC(OCCC(=O)NCc2cc(=O)[nH]c3ccccc23)C1,-9.2,0.6862,5.2395
CC1=C(C(=O)NNC(=O)c2ccc3c(c2)OCO3)OC2CC=C(F)C=C12,-9.2,0.7904,3.6475
O=C1C2C3CCC(CC3)C2C(=O)N1N=CC1=C(F)SCc2ccccc21,-9.1,0.5844,3.9415
CCOC(=O)Nc1cccc(NC(=O)NC(C)c2ccc(C)c(F)c2)c1C,-9.1,0.6978,4.914
Cc1cccc(N2CCN(C(c3nnnn3Cc3ccccc3)C(C)C)CC2)c1C,-9.1,0.6244,5.5016
O=C(NNC(=O)c1oc2ccc(F)cc2c1P)c1ccc2c(c1)OCO2,-9.1,0.5281,4.3069
CC1CC(Cl)CN(C(=N)C(Cc2ccccc2)NC(=O)c2ccco2)C1,-9.1,0.4781,4.243
Cc1ccc(C)c(NC(=O)NCC2(O)CCCc3ccccc32)c1,-9.1,0.8069,3.4966
Cc1ccc(NC(=O)CC2C(=O)N(C)C(=S)N2NC(O)c2ccc(Cl)cc2)c(C)c1,-9.1,0.4671,5.2105
CCc1ccc(NC(=O)CO[PH](=O)C2CC(=O)N(c3ccc(C)cc3)C2)cc1,-9.1,0.7178,5.1199
CC1=CC=C(C)C(NC(=O)NCC2(O)CCCc3ccccc32)=I1,-9.1,0.6335,3.7575
CCCNC(O)C[NH+]1CCCC(c2c(-c3cc(C)no3)cnc3cc(C)nn23)C1,-9.1,0.5151,6.3926
O=C(Nc1ccccc1C(F)(F)F)c1cccc(Oc2cnccn2)c1,-9.1,0.7428,4.7943
CCCNC(=O)C[NH+]1CCCC(c2c(-c3cc(C)no3)cnc3cc(C)nn23)C1,-9.1,0.6542,5.7213
NC(=O)c1cccc(OCCC(=O)NCc2cc(=O)[nH]c3ccccc23)c1,-9.1,0.5912,5.5708
CC(=NNC(=O)COc1ccccc1C#N)c1ccc2c(c1)CCCC2,-9.1,0.6656,4.1795
CC1=CC=C(c2nc(C)co2)CC1NC(=O)C(=O)NCC(C)(C)c1ccncc1,-9.1,0.7602,4.4038
Cc1ccc(NC(=O)CC2C(=O)N(C)C(=S)N2NC(=O)c2ccc(Cl)cc2)c(C)c1,-9.1,0.6925,4.718
Cc1c(C(=O)NNC(=O)c2ccc3c(c2)OCO3)oc2ccc(F)cc12,-9.1,0.6893,4.0068
CCC1(CC)NC(=O)[SH](CC(=O)NC2=CC3CCCc4cccc2c43)C1=O,-9.0,0.6792,4.4999
O=C1C2C3C=CC(SC3)C2C(=O)N1N=Cc1c(O)ccc2ccccc12,-9.0,0.5054,4.1631
Cc1ccc(NC(=O)CC2C(=O)N(C)C(=S)N2NC(=O)c2c#cc(Cl)cc2)c(C)c1,-9.0,0.6956,4.5081
O=C(Nc1ccccc1C(F)(F)F)C1=CC=CC(Oc2cnccn2)C1,-9.0,0.9005,4.1072
Cc1ccc(NC(=O)CC2C(=O)N(C)C(=S)N2NC(=O)C2=CC=C(Cl)[SH]=C2)c(C)c1,-9.0,0.4602,4.5857
NC(=O)c1cccc(OCCC(=O)NCC2=C[PH](=O)Nc3ccccc32)c1,-9.0,0.6348,5.0722
CCc1cccc(NC(=O)CN2C(=O)NC(C)(c3ccc4c(c3)CCC4)C2=O)c1,-9.0,0.7688,4.5312
O=C(Nc1ccccc1C(F)(F)F)c1cccc(OC2=C[SH]=CC=N2)c1,-9.0,0.6085,4.6634
Cc1ccc(O)c([N-]S(=N)(=O)c2c(C)cccc2[N+](=O)[O-])c1,-9.0,0.6545,4.2091
Cc1c(C(=O)NPC(=O)c2ccc3c(c2)OCO3)oc2ccc(F)cc12,-9.0,0.7047,4.9805
O=C(NCc1cccc(NC(=O)C2CCC2)c1)Pc1ccc(Cl)cc1F,-9.0,0.7143,4.9086
CC(NC(=O)c1ccoc1)C(=O)NC(C)c1noc(Cc2c#cccc2)n1,-9.0,0.6602,5.594
CC(=NNC(=O)COC1=CC=CCC1C#N)c1ccc2c(c1)CCCC2,-8.9,0.6538,3.9191
Cc1cccc(N2CCN(C(=O)c3poc4c3COC3=CC=CC=S34)CC2C)c1,-8.9,0.6418,4.8094
CCCNC(=O)C[NH+]1CCCC(c2c(C3=CC(C)=[SH]O3)cnc3cc(C)nn23)C1,-8.9,0.4899,5.6264
Cc1ccc(NC(=O)CC2C(=O)N(C)C(=S)N2NC(O)c2ccc(Cl)cn2)c(C)c1,-8.9,0.4614,5.2879
CC(=NNC(=O)COC1CC=CC=C1C#N)c1ccc2c(c1)CCCC2,-8.9,0.6551,3.7689
Cc1cccc(N2CCN(C(c3nnnn3Cc3ccccc3)C(C)O)CC2)c1C,-8.9,0.6786,5.2521
Cc1ccc(PC(=O)CC2C(=O)N(C)C(=S)N2NC(=O)c2ccc(Cl)cc2)c(C)c1,-8.9,0.5289,4.8011
Cc1cccc(N2CCN(C(=O)c3noc4c3COS3=CC=CN=C43)CC2C)c1,-8.9,0.7117,4.1836
Cc1cccc(N2CCN(C(=O)c3noc4c3COS3=CC=CC=C43)CC2C)c1,-8.9,0.7071,4.3144
CC(=O)c1ccc(Oc2nc(C[NH+]3CCCC3)nc3sc(C)c(C)c23)cc1,-8.9,0.6866,4.9748
CCc1c(C(=O)N2CCN(Cc3cc(=O)n4c(n3)SC=I4)CC2)cnn1-c1ccc(F)cc1,-8.9,0.3416,6.196
CC1CC(C)CN(C(=O)C(Cc2ccccc2)NC(=O)c2ccco2)C1,-8.8,0.8972,3.7563
CC1(c2ccc3c(c2)CCC3)NC(=O)N(CC(=O)Nc2cccc(CBr)c2)C1=O,-8.8,0.5345,5.006
CCOC(=O)Nc1cccc(NC(=O)NC(C)C2=CCC(C)C(F)=C2)c1C,-8.8,0.6852,4.6237
CCc1ccc(NC(=O)COC(=O)C2CN(c3ccc(C)cc3)S(=O)C2)cc1,-8.8,0.7568,4.3912
Cc1coc(-c2ccc(C)c(NC(=O)C(=O)NCC(C)(C)[PH]3=CC=NC=C3)c2)n1,-8.8,0.5813,4.8607
Cc1ccc(NC(=O)CNc2ccc(C(=O)N3CC(C)OC(C)C3)cc2)c(Br)c1,-8.8,0.7065,5.1261
C=C1C=C(CN2CCN(C(=O)c3cnn(-c4ccc(F)cc4)c3CC)CC2)N=C2SC=IN12,-8.8,0.3996,6.3605
NCc1ccccc1NC(=O)COC(=O)C1CCCN1C(=O)C1=CC=CC1,-8.8,0.7402,4.745
CN(Cc1nc2ccccc2s1)S(=O)(=O)C1=CCC2OCCCOC2=C1,-8.8,0.8000,4.1744
O=C1N=C(N2CCN(C3=[SH]C=Cc4ccccc43)CC2)SC1=Cc1ccccc1O,-8.8,0.4072,4.6145
O=C1C2C3C=CC(SC3)C2C(=O)N1NCc1c(O)ccc2ccccc12,-8.8,0.6451,4.4559
CC(=O)c1ccc(Oc2nc(C[SH+]3CCCC3)nc3sc(C)c(C)c23)cc1,-8.8,0.3455,5.598
Cc1cc(Br)ccc1NC(=O)CC1C(=O)N(C)C(=S)N1NC(=O)c1c#cc(Cl)cc1,-8.8,0.6080,5.0452
Cc1ccc(O)c([N-]S(=O)(=O)c2c(C)cccc2[N+](=O)[O-])c1,-8.8,0.6855,3.6981
CCC1(CC)NC(=O)N(CC(=O)NC2=CC3CCCc4cccc2c43)C1=O,-8.8,0.7856,3.855
Cc1cccc(N2CCN(C(=O)c3poc4c3COC3=CC=PC=S34)CC2C)c1,-8.7,0.4811,4.9113
CC(=NNC(=O)COc1ccccc1C#N)c1ccc2c(c1)CCNC2,-8.7,0.6401,4.3304
