seed,top_n,avg_docking,avg_qed,avg_sa,internal_diversity,scaffold_count,scaffold_coverage
seed123,48,-9.472916666666668,0.6333979166666667,4.902433333333334,0.85848887030344,47,0.9791666666666666
seed123,96,-9.2125,0.6129875,4.9049427083333335,0.8597761138520875,89,0.9270833333333334
seed123,384,-8.1390625,0.6439830729166666,4.446886197916666,0.878253214588951,331,0.8619791666666666
seed333,48,-9.36875,0.61658125,4.853877083333334,0.8398668047686385,43,0.8958333333333334
seed333,96,-9.063541666666666,0.6340802083333333,4.834486458333333,0.8595405078475575,84,0.875
seed333,384,-7.910416666666667,0.6653083333333334,4.158625520833334,0.8833608205420078,318,0.828125
seed42,48,-9.34375,0.6107291666666667,4.895889583333333,0.8537077168206724,45,0.9375
seed42,96,-9.058333333333334,0.6163458333333334,4.972389583333333,0.8595948903975787,83,0.8645833333333334
seed42,384,-8.046093749999999,0.65255078125,4.351908072916667,0.876209642158154,316,0.8229166666666666
seed999,48,-9.331249999999999,0.6500979166666667,4.633570833333334,0.8518256154585874,45,0.9375
seed999,96,-9.095833333333333,0.6364302083333333,4.726612500000001,0.8593143474522857,89,0.9270833333333334
seed999,384,-8.089843749999998,0.6668231770833334,4.3451992187499995,0.8770929381133468,340,0.8854166666666666
