SMILES,Dock,QED,SA
Cc1cnc(-c2ccco2)cc1C(=O)N1CCCN(S(=O)(=O)c2ccc(Cl)c(C)c2)CC1,-10.5000,0.5680,5.2594
Cc1n[nH]c(-n2ccnc2-c2ccc(-c3ccc4c(c3)C[C@@H](C)C4)o2)n1,-9.9000,0.6099,5.1073
Cn1c(CN2CCN(C(=O)c3cnn(-c4ccccc4)n3)CC2)nc2ccccc21,-9.6000,0.5238,5.2832
O=C(Cc1ccc(S(=O)(=O)N2CCOCC2)cc1)Nc1cccc2ccccc12,-9.5000,0.7015,4.7598
CC(C)(NC(=O)N[C@@H]1C[C@H]1c1cccc(Cl)c1)c1c(F)cccc1F,-9.5000,0.8102,4.0547
CC[C@@H](c1ccccc1)c1nnc(NC(=O)[C@H]2CC(=O)Nc3ccccc32)s1,-9.5000,0.6833,5.7466
N#C/C(=C/c1ccc(-n2cncn2)cc1)C(=O)N1CCC#CC[NH+](Cc2ccccc2)C1,-9.5000,0.3828,5.4012
Cc1ccc2nc(C)cc(C(=O)N[C@@H]3CCCc4ccccc43)c2c1,-9.5000,0.7424,3.9589
CC(C)[C@H](NC(=O)Nc1nccs1)C(=O)Nc1nnc(-c2ccccc2)o1,-9.5000,0.5986,5.7358
O=C(NC[C@@H]1CCCO1)c1cn(-c2ccc(C(F)(F)F)cc2)nc1-c1ccccc1,-9.4000,0.6692,5.406
COc1ccc([C@@H](Cc2c[nH]c3ccccc23)N2CCOCC2)Oc2ccccc2C1=O,-9.4000,0.6603,5.9067
Cc1ccc(S(=O)(=O)/N=c2\[nH]cc(-c3ccc4c(c3)OCO4)cc2[N+](=O)[O-])cc1,-9.4000,0.5180,5.0175
C[C@@H]1Sc2ccc(S(=O)(=O)N3CCC(C4CCCCC4)CC3)cc2NC1=O,-9.4000,0.8176,3.8431
CC1=C(C(=O)Nc2ccccc2F)[C@H](c2cccc3ccccc23)NC(=S)N1,-9.4000,0.5791,4.9762
Cc1ccc(CNC(=O)N[C@H](Cc2c[nH]c3ccccc23)C(=O)[O-])cc1Cl,-9.3000,0.6079,4.7792
O=C(NCC1(c2ccc(F)cc2)CCCCC1)NC1CCN(c2ncccn2)CC1,-9.3000,0.7855,4.9353
C[C@H](OC(=O)c1cn(C)nc1-c1ccccc1)c1ccc2c(c1)CCCC2,-9.3000,0.6227,4.9899
Cc1cccc(N2C[C@H](c3nc4ccccc4n3CC(=O)N3CCCCCC3)CC2=O)c1,-9.3000,0.6212,5.2136
COc1cccc(N2CC[NH+]([C@@H]3CCCN(Cc4ccc(C)c(C)c4)C3=O)CC2)c1,-9.3000,0.8243,4.0688
O=C(NCC1(c2ccc(Cl)cc2)CCOCC1)c1cccc(C(F)(F)F)c1,-9.2000,0.8015,4.1576
O=C(N/N=C\c1cc([N+](=O)[O-])ccc1Br)c1cc2ccccc2oc1=O,-9.2000,0.3036,4.9859
O=C(C[NH+]1CCC[C@H]1c1nc2ccccc2s1)Nc1ccc(N2CCCC2=O)cc1,-9.2000,0.6658,5.1572
O=C1CCC(=O)N1c1ccc(CCC(=O)Nc2cccc(Cl)c2)cc1,-9.2000,0.8328,4.1532
O=C(N[C@H]1CCOc2ccccc21)c1cccc(NC(=O)c2nccn2C)c1,-9.2000,0.7332,4.8046
C[C@@H](C(=O)Nc1c(F)cccc1F)N1CCn2c(nnc2-c2ccccc2)C1,-9.2000,0.7522,4.5001
Cn1cc(Nc2cccc(F)c2C#N)c2ccccc2c1=O,-9.2000,0.7884,3.3453
CNC(=O)c1cc(-c2cnccn2)nc2c1cnn2-c1ccc(F)cc1,-9.1000,0.6143,4.4925
O=C([O-])C[C@@H](Cc1cccc2ccccc12)Oc1cc(F)cc(F)c1F,-9.1000,0.6342,4.3402
Cc1cc(C)c(C(=O)Nc2nnc(-c3ccc(Cl)cc3Cl)o2)c(C)c1,-9.1000,0.6805,4.8639
C[C@H](OC(=O)c1ccc(S(=O)(=O)N2CCCCC2)cc1)C(=O)Nc1ccc(Cl)c(Cl)c1,-9.1000,0.6145,5.6291
Cc1cc(=O)n(CCC(=O)N2CCC(n3c(C)nc4ccccc43)CC2)c(C)n1,-9.1000,0.6832,4.3489
Cc1nnc(-c2ccc(C(=O)N[C@H]3CCCC[C@@H]3CC3CCCC3)cc2)o1,-9.1000,0.8148,5.0535
C[C@@H](NC(=O)N1CCO[C@@H](c2ccc(C(F)(F)F)cc2)C1)c1ccc(F)cc1F,-9.0000,0.7316,3.8857
Cc1ccc(OC(=O)COC(=O)c2c3c(nc4ccccc24)CCC3)cc1,-9.0000,0.5224,4.7269
CC(C)[C@@H](NC(=O)c1cccc(S(C)(=O)=O)c1)c1nc2ccccc2c(=O)[nH]1,-9.0000,0.6849,4.6205
CC1(C)[C@@H](Nc2ccc(S(C)(=O)=O)cc2[N+](=O)[O-])C2=[NH+][C@@H](c3ccccc3)[C@@H]21,-9.0000,0.5875,4.9967
Cc1ccc([C@@H](CNC(=O)c2ccc(F)c(C)c2)N2CCOCC2)cc1,-9.0000,0.8942,3.7313
O=C(NCCN1[C@@H](Cl)C(=O)c2ccccc21)c1ccc(-n2cccc2)cc1,-9.0000,0.5452,4.9962
Cc1ccc(Cl)cc1N1CCN([C@H](C)C(=O)Nc2c(C)cc(C)cc2C)CC1,-9.0000,0.8072,4.3895
CCOc1ccc2cc(C(=O)Nc3ccc(F)cc3)c(=O)[nH]c2c1,-9.0000,0.7724,4.0741
CC(C)[C@H](NC(=O)c1ccc(N2C(=O)[C@H]3CCCC[C@@H]3C2=O)cc1)c1ccccc1,-9.0000,0.7467,5.0192
CC(C)c1noc(-c2ccc(C(=O)NCC3(c4ccc(F)cc4F)CC3)cc2)n1,-9.0000,0.6601,5.7279
CN(Cc1cccc(Cl)c1)C(=O)Nc1ccccc1SC1CCCC1,-8.9000,0.6915,5.094
COc1ccc2[nH]c3c(c2c1)CCN(S(=O)(=O)c1ccc([N+](=O)[O-])cc1C)C3,-8.9000,0.5340,4.6589
Cn1c(-c2ccccc2)nn(C[NH+]2CCC[C@H]2C2CCCCC2)c1=S,-8.9000,0.8510,3.7893
NC(=O)c1ccc(C(=O)N2CCN([C@H]3CCC[NH+](Cc4ccccn4)C3)CC2)cc1,-8.9000,0.7397,5.478
Cc1cccc(C(=O)[O-])c1/N=N/c1ccc(S(=O)(=O)N2CCCCCC2)cc1,-8.9000,0.7182,4.4717
C[C@@H](NC(=O)CN1CC[NH+](Cc2ccc(Cl)c(F)c2)CC1)c1ccc(F)cc1,-8.9000,0.7685,3.9774
O=C1O[C@@H](C(=O)N2C[C@H]3CC[C@@H]2CN(C2CCCC3)C2=O)CC(C)(C)C1,-8.8000,0.5293,2.2573
C[C@@H]1CCc2c(F)ccc(F)c2C12CCN(C(=O)c1cnccn1)CC2,-8.8000,0.7846,2.7426
COC(=O)C1=C(C)/C(=C/c2c(C)n(C)c3ccccc23)C(=O)N1c1nc(C)c(C)s1,-8.8000,0.4634,5.2154
CCc1nn(C)c(CC)c1C[NH2+][C@@H]1CCc2[nH]c3ccccc3c2C1,-8.8000,0.7387,3.8372
CCN(C(=O)c1cc(-c2ccccc2C)ncn1)c1ccccn1,-8.8000,0.7384,3.9409
CC(C)[C@H]1CC[C@@H](C)C[C@@H]1OC(=O)Cc1c(C)nc2c3ccccc3ncn12,-8.8000,0.6146,4.9945
O=C(Cn1cnc2ccc(Br)cc2c1=O)N1CCC(Cc2ccccc2)CC1,-8.8000,0.6228,4.7082
CN(C)c1ncc(Nc2cccc(OCc3c(F)cccc3Cl)c2)cn1,-8.8000,0.6817,5.6798
O=C(c1cnc(Oc2ccccc2)cn1)N1CCC[C@H]1c1ccco1,-8.8000,0.7244,4.6359
O=C(Cn1c(=O)oc2ccccc21)N[C@@H]1CCCC[C@@H]1OC1CCCC1,-8.8000,0.8917,4.1827
O=C(NOCC1CC1)c1cc2c(s1)-c1ccccc1S(=O)(=O)C2,-8.8000,0.8617,3.9466
Cn1cc(Br)c(N(Cc2ccccn2)C(=O)C[C@@H]2CSc3ccccc32)n1,-8.8000,0.5872,5.6121
Cc1ccc(NC(=O)CNC(=O)N2CCCN(c3ccc(C)cc3)CC2)c(Br)c1,-8.7000,0.7287,4.601
COc1ccc(CC(=O)N[C@H](c2cccc(OC)c2)C2CCOCC2)cc1,-8.7000,0.8112,4.808
O=C(Cc1ccc(-c2ccc(F)cc2)o1)N(CC(F)F)c1cccc(F)c1,-8.7000,0.5625,5.0195
O=C(CSc1nnc(-c2ccccn2)o1)N[C@H]1CCCc2ccccc21,-8.7000,0.6970,5.1752
O=C(NCC1CCN(c2cc[nH+]cc2)CC1)NCc1ccc2c(c1)OCO2,-8.7000,0.8445,4.5246
C[C@@H]1CCC[NH+](CCNC(=O)Nc2cccc(N3CCOC3=O)c2)C1,-8.7000,0.7461,4.1363
O=C(NC(=S)N1CCN(c2cccc[nH+]2)CC1)C12CC3CC(CC(C3)C1)C2,-8.7000,0.7936,3.291
CNC(=O)c1ccc(NC(=O)c2c[nH]c3ccc(Cl)cc23)c(C(F)(F)F)c1,-8.7000,0.6125,4.5215
Cc1cnc(C(=O)Nc2cccc(-c3nncn3C)c2)c(O)c1,-8.7000,0.7730,4.0999
O=C(Nc1ccc(Br)cn1)c1cnoc1C1CCCCC1,-8.6000,0.9037,3.8005
CC(C)n1cc(C(=O)N2CCN(c3cccc(C(F)(F)F)c3)CC2)c(=O)c2ccc(Cl)nc21,-8.6000,0.5157,5.1288
