iteration,timestamp,num_pareto,num_history,Nov_P_mean,Nov_H_mean,Rep_mean,IER_mean,pareto_pool_size,active_history_size
5,1787992126.956953,15,23,0.000000,0.000000,0.000000,0.000000,15,23
10,1787992408.0903296,21,42,0.000000,0.000000,0.000000,0.000000,21,42
15,1787992616.88609,24,49,0.000000,0.000000,0.000000,0.000000,24,49
20,1787992913.275647,26,57,0.000000,0.000000,0.000000,0.000000,26,57
25,1787993050.1890802,27,66,0.000000,0.000000,0.000000,0.000000,27,66
30,1787993177.551281,27,73,0.000000,0.000000,0.000000,0.000000,27,73
35,1787993467.4710004,28,82,0.000000,0.000000,0.000000,0.000000,28,82
40,1787993695.1048245,29,90,0.000000,0.000000,0.000000,0.000000,29,90
45,1787993962.1224902,32,106,0.000000,0.000000,0.000000,0.000000,32,100
50,1787994154.3444045,34,113,0.000000,0.000000,0.000000,0.000000,34,100
55,1787994305.6531296,35,122,0.000000,0.000000,0.000000,0.000000,35,100
60,1787994401.3993487,36,128,0.000000,0.000000,0.000000,0.000000,36,100
65,1787994564.5441973,38,137,0.000000,0.000000,0.000000,0.000000,38,100
70,1787994831.7887177,38,147,0.000000,0.000000,0.000000,0.000000,38,100
75,1787995058.3587954,39,155,0.000000,0.000000,0.000000,0.000000,39,100
80,1787995206.1960084,41,162,0.000000,0.000000,0.000000,0.000000,41,100
85,1787995369.2259681,42,172,0.000000,0.000000,0.000000,0.000000,42,100
90,1787995486.151482,43,179,0.000000,0.000000,0.000000,0.000000,43,100
95,1787995630.1564615,43,189,0.000000,0.000000,0.000000,0.000000,43,100
100,1787995756.296181,45,197,0.000000,0.000000,0.000000,0.000000,45,100
105,1787995864.299267,46,204,0.000000,0.000000,0.000000,0.000000,46,100
110,1787996008.558427,46,212,0.000000,0.000000,0.000000,0.000000,46,100
115,1787996150.6072805,46,221,0.000000,0.000000,0.000000,0.000000,46,100
120,1787996267.911291,47,229,0.000000,0.000000,0.000000,0.000000,47,100
125,1787996406.7328503,50,239,0.000000,0.000000,0.000000,0.000000,50,100
130,1787996518.3619323,50,246,0.000000,0.000000,0.000000,0.000000,50,100
135,1787996603.570128,51,253,0.000000,0.000000,0.000000,0.000000,51,100
140,1787996705.189878,52,259,0.000000,0.000000,0.000000,0.000000,52,100
145,1787996866.4701176,54,270,0.000000,0.000000,0.000000,0.000000,54,100
150,1787996963.2647567,54,276,0.000000,0.000000,0.000000,0.000000,54,100
155,1787997097.747669,55,283,0.000000,0.000000,0.000000,0.000000,55,100
160,1787997269.8345118,56,295,0.000000,0.000000,0.000000,0.000000,56,100
165,1787997415.3270922,56,302,0.000000,0.000000,0.000000,0.000000,56,100
170,1787997572.638099,57,310,0.000000,0.000000,0.000000,0.000000,57,100
175,1787997701.495453,57,317,0.000000,0.000000,0.000000,0.000000,57,100
180,1787997880.0525348,59,330,0.000000,0.000000,0.000000,0.000000,59,100
185,1787998284.5818133,60,340,0.000000,0.000000,0.000000,0.000000,60,100
190,1787998501.9751015,61,347,0.000000,0.000000,0.000000,0.000000,61,100
195,1787998683.8438895,62,352,0.000000,0.000000,0.000000,0.000000,62,100
200,1787998855.8411474,63,363,0.000000,0.000000,0.000000,0.000000,63,100
205,1787999081.4207196,64,372,0.000000,0.000000,0.000000,0.000000,64,100
210,1787999267.129208,64,381,0.000000,0.000000,0.000000,0.000000,64,100
215,1787999442.750671,64,392,0.000000,0.000000,0.000000,0.000000,64,100
220,1787999568.396125,66,401,0.000000,0.000000,0.000000,0.000000,66,100
225,1787999699.4643025,66,409,0.000000,0.000000,0.000000,0.000000,66,100
230,1787999829.822649,67,417,0.000000,0.000000,0.000000,0.000000,67,100
235,1787999960.4311285,67,426,0.000000,0.000000,0.000000,0.000000,67,100
240,1788000140.6978414,69,435,0.000000,0.000000,0.000000,0.000000,69,100
245,1788000265.7903283,69,443,0.000000,0.000000,0.000000,0.000000,69,100
250,1788000666.3529084,71,450,0.000000,0.000000,0.000000,0.000000,71,100
255,1788000935.0931358,72,457,0.000000,0.000000,0.000000,0.000000,72,100
260,1788001064.0368516,72,464,0.000000,0.000000,0.000000,0.000000,72,100
265,1788001347.4148467,73,473,0.000000,0.000000,0.000000,0.000000,73,100
270,1788001495.4047983,73,480,0.000000,0.000000,0.000000,0.000000,73,100
275,1788001602.248768,75,486,0.000000,0.000000,0.000000,0.000000,75,100
280,1788001685.862033,75,493,0.000000,0.000000,0.000000,0.000000,75,100
285,1788001806.1199083,75,503,0.000000,0.000000,0.000000,0.000000,75,100
290,1788001887.5199728,76,509,0.000000,0.000000,0.000000,0.000000,76,100
295,1788001990.9906561,76,516,0.000000,0.000000,0.000000,0.000000,76,100
300,1788002092.055513,76,523,0.000000,0.000000,0.000000,0.000000,76,100
305,1788002169.9514933,76,529,0.000000,0.000000,0.000000,0.000000,76,100
310,1788002245.2377377,76,534,0.000000,0.000000,0.000000,0.000000,76,100
315,1788002376.3945942,77,543,0.000000,0.000000,0.000000,0.000000,77,100
320,1788002475.2202914,77,550,0.000000,0.000000,0.000000,0.000000,77,100
325,1788002542.1792407,77,555,0.000000,0.000000,0.000000,0.000000,77,100
330,1788002630.9292767,78,561,0.000000,0.000000,0.000000,0.000000,78,100
335,1788002717.0436456,78,568,0.000000,0.000000,0.000000,0.000000,78,100
340,1788002857.8548641,78,579,0.000000,0.000000,0.000000,0.000000,78,100
345,1788002946.8798826,79,586,0.000000,0.000000,0.000000,0.000000,79,100
350,1788003020.6685758,79,592,0.000000,0.000000,0.000000,0.000000,79,100
355,1788003140.2348194,80,599,0.000000,0.000000,0.000000,0.000000,80,100
360,1788003235.4412427,80,605,0.000000,0.000000,0.000000,0.000000,80,100
365,1788003296.7950351,80,610,0.000000,0.000000,0.000000,0.000000,80,100
370,1788003401.2255335,80,616,0.000000,0.000000,0.000000,0.000000,80,100
375,1788003481.4230227,80,622,0.000000,0.000000,0.000000,0.000000,80,100
380,1788003566.9923234,80,629,0.000000,0.000000,0.000000,0.000000,80,100
385,1788003695.0230262,81,638,0.000000,0.000000,0.000000,0.000000,81,100
390,1788003812.7343678,82,645,0.000000,0.000000,0.000000,0.000000,82,100
395,1788003926.0321286,83,653,0.000000,0.000000,0.000000,0.000000,83,100
400,1788004036.4179626,84,661,0.000000,0.000000,0.000000,0.000000,84,100
405,1788004116.498461,84,666,0.000000,0.000000,0.000000,0.000000,84,100
410,1788004212.6318438,84,672,0.000000,0.000000,0.000000,0.000000,84,100
415,1788004290.9773593,84,677,0.000000,0.000000,0.000000,0.000000,84,100
420,1788004393.5072136,85,683,0.000000,0.000000,0.000000,0.000000,85,100
425,1788004503.9562619,85,692,0.000000,0.000000,0.000000,0.000000,85,100
430,1788004630.2561085,85,700,0.000000,0.000000,0.000000,0.000000,85,100
435,1788004748.9685585,85,707,0.000000,0.000000,0.000000,0.000000,85,100
440,1788004853.4034705,85,713,0.000000,0.000000,0.000000,0.000000,85,100
445,1788004940.233984,85,720,0.000000,0.000000,0.000000,0.000000,85,100
450,1788005016.7484643,85,725,0.000000,0.000000,0.000000,0.000000,85,100
455,1788005091.8479204,85,731,0.000000,0.000000,0.000000,0.000000,85,100
460,1788005439.4081213,85,738,0.000000,0.000000,0.000000,0.000000,85,100
465,1788006028.6836522,86,747,0.000000,0.000000,0.000000,0.000000,86,100
470,1788006371.4080095,86,758,0.000000,0.000000,0.000000,0.000000,86,100
475,1788007733.584926,88,770,0.000000,0.000000,0.000000,0.000000,88,100
480,1788007881.8451104,89,777,0.000000,0.000000,0.000000,0.000000,89,100
485,1788008109.7795103,89,786,0.000000,0.000000,0.000000,0.000000,89,100
490,1788008344.4745162,89,792,0.000000,0.000000,0.000000,0.000000,89,100
495,1788008684.1847942,89,800,0.000000,0.000000,0.000000,0.000000,89,100
500,1788008884.8522224,89,807,0.000000,0.000000,0.000000,0.000000,89,100
505,1788009437.9187257,89,817,0.000000,0.000000,0.000000,0.000000,89,100
510,1788009751.8086889,89,827,0.000000,0.000000,0.000000,0.000000,89,100
515,1788010088.10492,89,832,0.000000,0.000000,0.000000,0.000000,89,100
520,1788010808.1024466,89,838,0.000000,0.000000,0.000000,0.000000,89,100
525,1788011161.7308178,89,846,0.000000,0.000000,0.000000,0.000000,89,100
530,1788011754.0043366,91,856,0.000000,0.000000,0.000000,0.000000,91,100
535,1788012442.856139,91,863,0.000000,0.000000,0.000000,0.000000,91,100
540,1788012813.4102345,91,871,0.000000,0.000000,0.000000,0.000000,91,100
545,1788013296.3380983,91,879,0.000000,0.000000,0.000000,0.000000,91,100
550,1788013743.8681753,92,887,0.000000,0.000000,0.000000,0.000000,92,100
555,1788014282.8023188,92,898,0.000000,0.000000,0.000000,0.000000,92,100
560,1788014586.8196285,93,907,0.000000,0.000000,0.000000,0.000000,93,100
565,1788014911.4545157,94,914,0.000000,0.000000,0.000000,0.000000,94,100
570,1788015159.1412938,95,923,0.000000,0.000000,0.000000,0.000000,95,100
575,1788015289.9792511,97,931,0.000000,0.000000,0.000000,0.000000,97,100
580,1788015456.6332915,97,942,0.000000,0.000000,0.000000,0.000000,97,100
585,1788015635.2743967,97,954,0.000000,0.000000,0.000000,0.000000,97,100
590,1788015760.7249322,98,961,0.000000,0.000000,0.000000,0.000000,98,100
595,1788015887.505483,98,969,0.000000,0.000000,0.000000,0.000000,98,100
600,1788016004.6611314,99,977,0.000000,0.000000,0.000000,0.000000,99,100
605,1788016126.6864007,100,984,0.000000,0.000000,0.000000,0.000000,100,100
610,1788016268.8739886,100,993,0.000000,0.000000,0.000000,0.000000,100,100
615,1788016414.428464,101,1003,0.000000,0.000000,0.000000,0.000000,101,100
620,1788016559.9393792,102,1012,0.000000,0.000000,0.000000,0.000000,102,100
625,1788016669.422251,102,1020,0.000000,0.000000,0.000000,0.000000,102,100
630,1788016803.5245037,102,1029,0.000000,0.000000,0.000000,0.000000,102,100
635,1788016944.1758683,102,1039,0.000000,0.000000,0.000000,0.000000,102,100
640,1788017107.1721456,102,1049,0.000000,0.000000,0.000000,0.000000,102,100
645,1788017218.4397268,103,1058,0.000000,0.000000,0.000000,0.000000,103,100
650,1788017343.4810143,103,1066,0.000000,0.000000,0.000000,0.000000,103,100
655,1788017496.6297781,103,1076,0.000000,0.000000,0.000000,0.000000,103,100
660,1788017604.8817995,105,1083,0.000000,0.000000,0.000000,0.000000,105,100
665,1788017706.0081816,105,1091,0.000000,0.000000,0.000000,0.000000,105,100
670,1788017851.7500553,106,1103,0.000000,0.000000,0.000000,0.000000,106,100
675,1788017984.2818289,106,1114,0.000000,0.000000,0.000000,0.000000,106,100
680,1788018118.250471,107,1124,0.000000,0.000000,0.000000,0.000000,107,100
685,1788018220.7006667,108,1131,0.000000,0.000000,0.000000,0.000000,108,100
690,1788018384.3903124,109,1142,0.000000,0.000000,0.000000,0.000000,109,100
695,1788018536.375864,109,1153,0.000000,0.000000,0.000000,0.000000,109,100
700,1788018643.5860105,109,1160,0.000000,0.000000,0.000000,0.000000,109,100
705,1788018756.958427,110,1168,0.000000,0.000000,0.000000,0.000000,110,100
710,1788018893.109691,110,1178,0.000000,0.000000,0.000000,0.000000,110,100
715,1788019013.68032,112,1186,0.000000,0.000000,0.000000,0.000000,112,100
720,1788019145.6793373,113,1197,0.000000,0.000000,0.000000,0.000000,113,100
725,1788019259.330456,114,1204,0.000000,0.000000,0.000000,0.000000,114,100
730,1788019372.8677082,115,1211,0.000000,0.000000,0.000000,0.000000,115,100
735,1788019480.0007672,115,1220,0.000000,0.000000,0.000000,0.000000,115,100
740,1788019594.420842,117,1229,0.000000,0.000000,0.000000,0.000000,117,100
745,1788019716.7472785,117,1239,0.000000,0.000000,0.000000,0.000000,117,100
750,1788019817.6801755,117,1248,0.000000,0.000000,0.000000,0.000000,117,100
755,1788019913.10794,117,1254,0.000000,0.000000,0.000000,0.000000,117,100
760,1788020014.8500412,117,1262,0.000000,0.000000,0.000000,0.000000,117,100
765,1788020107.9673088,118,1269,0.000000,0.000000,0.000000,0.000000,118,100
770,1788020311.8417904,119,1279,0.000000,0.000000,0.000000,0.000000,119,100
775,1788020520.1683936,119,1287,0.000000,0.000000,0.000000,0.000000,119,100
780,1788021778.5181692,119,1293,0.000000,0.000000,0.000000,0.000000,119,100
785,1788021996.0518076,120,1306,0.000000,0.000000,0.000000,0.000000,120,100
790,1788022218.3279202,121,1322,0.000000,0.000000,0.000000,0.000000,121,100
795,1788022444.205276,121,1331,0.000000,0.000000,0.000000,0.000000,121,100
800,1788022599.111396,121,1336,0.000000,0.000000,0.000000,0.000000,121,100
